,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Free Cash Flow,251808000.0,390362000.0,508064000.0,650213000.0
Repurchase Of Capital Stock,-155180000.0,-172288000.0,-194316000.0,-106203000.0
Repayment Of Debt,-1183041000.0,-1367655000.0,-360000000.0,-1577297000.0
Issuance Of Debt,1073681000.0,1484998000.0,7692000.0,1001056000.0
Issuance Of Capital Stock,,,,0.0
Capital Expenditure,-467075000.0,-397803000.0,-323591000.0,-218333000.0
Interest Paid Supplemental Data,59114000.0,36600000.0,45148000.0,65274000.0
Income Tax Paid Supplemental Data,198559000.0,179325000.0,117567000.0,154668000.0
End Cash Position,36049000.0,33915000.0,45436000.0,43518000.0
Beginning Cash Position,33915000.0,45436000.0,43518000.0,30204000.0
Changes In Cash,2134000.0,-11521000.0,1918000.0,13314000.0
Financing Cash Flow,-261984000.0,-52628000.0,-525226000.0,-662792000.0
Cash Flow From Continuing Financing Activities,-261984000.0,-52628000.0,-525226000.0,-662792000.0
Net Other Financing Charges,-6289000.0,-10926000.0,-1112000.0,-984000.0
Proceeds From Stock Option Exercised,8870000.0,13268000.0,22535000.0,20661000.0
Cash Dividends Paid,-25000.0,-25000.0,-25000.0,-25000.0
Common Stock Dividend Paid,-25000.0,-25000.0,-25000.0,-25000.0
Net Common Stock Issuance,-155180000.0,-172288000.0,-194316000.0,-106203000.0
Common Stock Payments,-155180000.0,-172288000.0,-194316000.0,-106203000.0
Common Stock Issuance,,,,0.0
Net Issuance Payments Of Debt,-109360000.0,117343000.0,-352308000.0,-576241000.0
Net Short Term Debt Issuance,-86000000.0,405000000.0,-260000000.0,-68000000.0
Short Term Debt Payments,-828000000.0,-997000000.0,-260000000.0,-1064000000.0
Short Term Debt Issuance,742000000.0,1402000000.0,0.0,996000000.0
Net Long Term Debt Issuance,-23360000.0,-287657000.0,-92308000.0,-508241000.0
Long Term Debt Payments,-355041000.0,-370655000.0,-100000000.0,-513297000.0
Long Term Debt Issuance,331681000.0,82998000.0,7692000.0,5056000.0
Investing Cash Flow,-454765000.0,-747058000.0,-304511000.0,-192440000.0
Cash Flow From Continuing Investing Activities,-454765000.0,-747058000.0,-304511000.0,-192440000.0
Net Business Purchase And Sale,0.0,-376521000.0,0.0,0.0
Purchase Of Business,0.0,-376521000.0,0.0,0.0
Net PPE Purchase And Sale,-454765000.0,-370537000.0,-304511000.0,-192440000.0
Sale Of PPE,12310000.0,27266000.0,19080000.0,25893000.0
Purchase Of PPE,-467075000.0,-397803000.0,-323591000.0,-218333000.0
Operating Cash Flow,718883000.0,788165000.0,831655000.0,868546000.0
Cash Flow From Continuing Operating Activities,718883000.0,788165000.0,831655000.0,868546000.0
Change In Working Capital,-78565000.0,-376000.0,157855000.0,239281000.0
Change In Other Working Capital,,,,35665000.0
Change In Other Current Liabilities,-5731000.0,22882000.0,4453000.0,35665000.0
Change In Other Current Assets,-13684000.0,-6580000.0,-4301000.0,-1682000.0
Change In Payables And Accrued Expense,20964000.0,87698000.0,206128000.0,299353000.0
Change In Accrued Expense,33380000.0,4784000.0,81419000.0,97690000.0
Change In Payable,-12416000.0,82914000.0,124709000.0,201663000.0
Change In Account Payable,-12416000.0,82914000.0,124709000.0,201663000.0
Change In Prepaid Assets,-14607000.0,4135000.0,-9953000.0,-3496000.0
Change In Inventory,-76271000.0,-47544000.0,-37240000.0,-124193000.0
Change In Receivables,10764000.0,-60967000.0,-1232000.0,33634000.0
Changes In Account Receivables,10764000.0,-60967000.0,-1232000.0,33634000.0
Other Non Cash Items,-20412000.0,30495000.0,12613000.0,13751000.0
Stock Based Compensation,39021000.0,42617000.0,53837000.0,32150000.0
Asset Impairment Charge,,,0.0,0.0
Deferred Tax,25572000.0,-1938000.0,-507000.0,-9197000.0
Deferred Income Tax,25572000.0,-1938000.0,-507000.0,-9197000.0
Depreciation Amortization Depletion,227696000.0,200934000.0,180548000.0,167454000.0
Depreciation And Amortization,227696000.0,200934000.0,180548000.0,167454000.0
Amortization Cash Flow,7900000.0,9200000.0,10500000.0,
Amortization Of Intangibles,7900000.0,9200000.0,10500000.0,
Depreciation,219800000.0,191700000.0,170100000.0,
Operating Gains Losses,1830000.0,3256000.0,657000.0,4077000.0
Net Income From Continuing Operations,523741000.0,513177000.0,426652000.0,421030000.0
