,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-32695000.0,-56133000.0,-55145000.0,-31955000.0
Repayment Of Debt,,0.0,-22200000.0,-39000.0
Issuance Of Debt,,0.0,58573000.0,3600000.0
Issuance Of Capital Stock,32733000.0,0.0,244880000.0,0.0
Capital Expenditure,-15274000.0,-11677000.0,-1273000.0,-281000.0
Interest Paid Supplemental Data,989000.0,5000.0,378000.0,
Income Tax Paid Supplemental Data,460000.0,0.0,,
End Cash Position,33434000.0,37016000.0,168104000.0,10573000.0
Other Cash Adjustment Outside Changein Cash,,,0.0,11383000.0
Beginning Cash Position,37016000.0,168104000.0,10573000.0,37190000.0
Changes In Cash,-3582000.0,-131088000.0,157531000.0,-38000000.0
Financing Cash Flow,29050000.0,-5053000.0,275017000.0,3444000.0
Cash From Discontinued Financing Activities,,,0.0,0.0
Cash Flow From Continuing Financing Activities,29050000.0,-5053000.0,275017000.0,3444000.0
Net Other Financing Charges,-3693000.0,-5100000.0,-6529000.0,-147000.0
Proceeds From Stock Option Exercised,10000.0,47000.0,293000.0,30000.0
Net Common Stock Issuance,32733000.0,0.0,244880000.0,0.0
Common Stock Issuance,32733000.0,0.0,244880000.0,0.0
Net Issuance Payments Of Debt,,0.0,36373000.0,3561000.0
Net Long Term Debt Issuance,,0.0,36373000.0,3561000.0
Long Term Debt Payments,,0.0,-22200000.0,-39000.0
Long Term Debt Issuance,,0.0,58573000.0,3600000.0
Investing Cash Flow,-15211000.0,-81579000.0,-63614000.0,-9770000.0
Cash From Discontinued Investing Activities,0.0,-978000.0,0.0,8607000.0
Cash Flow From Continuing Investing Activities,-15211000.0,-80601000.0,-63614000.0,-18377000.0
Net Other Investing Changes,-28441000.0,-32385000.0,-62643000.0,-18096000.0
Net Investment Purchase And Sale,19032000.0,-37343000.0,0.0,
Sale Of Investment,59110000.0,13000000.0,0.0,
Purchase Of Investment,-40078000.0,-50343000.0,0.0,
Net Business Purchase And Sale,9450000.0,804000.0,302000.0,0.0
Sale Of Business,9450000.0,804000.0,302000.0,0.0
Net Intangibles Purchase And Sale,,0.0,-7000.0,0.0
Purchase Of Intangibles,,0.0,-7000.0,0.0
Net PPE Purchase And Sale,-15252000.0,-11677000.0,-1266000.0,-281000.0
Sale Of PPE,22000.0,0.0,,
Purchase Of PPE,-15274000.0,-11677000.0,-1266000.0,-281000.0
Operating Cash Flow,-17421000.0,-44456000.0,-53872000.0,-31674000.0
Cash From Discontinued Operating Activities,,,0.0,-16374000.0
Cash Flow From Continuing Operating Activities,-17352000.0,-44417000.0,-53872000.0,-15300000.0
Change In Working Capital,-19306000.0,-14237000.0,-5759000.0,18271000.0
Change In Other Working Capital,-3053000.0,-4942000.0,-5460000.0,15271000.0
Change In Other Current Liabilities,-1579000.0,-4165000.0,340000.0,3512000.0
Change In Other Current Assets,1328000.0,-12000.0,-309000.0,-1024000.0
Change In Payables And Accrued Expense,3316000.0,-74000.0,2543000.0,2483000.0
Change In Prepaid Assets,1118000.0,1413000.0,-5207000.0,400000.0
Change In Receivables,-20436000.0,-6457000.0,2334000.0,-2371000.0
Changes In Account Receivables,-4137000.0,-461000.0,216000.0,1425000.0
Other Non Cash Items,11956000.0,1216000.0,101476000.0,1137000.0
Stock Based Compensation,10862000.0,20025000.0,42571000.0,1982000.0
Asset Impairment Charge,260000.0,-22000.0,18465000.0,0.0
Depreciation Amortization Depletion,44383000.0,37340000.0,14306000.0,9803000.0
Depreciation And Amortization,44383000.0,37340000.0,14306000.0,9803000.0
Amortization Cash Flow,600000.0,600000.0,,
Amortization Of Intangibles,600000.0,600000.0,,
Depreciation,43783000.0,36740000.0,14306000.0,
Operating Gains Losses,-11717000.0,-13899000.0,19062000.0,1227000.0
Earnings Losses From Equity Investments,-4165000.0,-2087000.0,-1027000.0,953000.0
Gain Loss On Investment Securities,-7679000.0,-11812000.0,24124000.0,558000.0
Gain Loss On Sale Of PPE,127000.0,0.0,24000.0,0.0
Net Income From Continuing Operations,-53859000.0,-74879000.0,-243993000.0,-47720000.0
