,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,290080.0,290080.0,290080.0,290080.0
Ordinary Shares Number,3577002.0,3396859.0,3369719.0,2502393.0
Share Issued,3867082.0,3686939.0,3659799.0,2792473.0
Net Debt,3091000.0,4542000.0,,
Total Debt,8332000.0,8730000.0,5058000.0,3556000.0
Tangible Book Value,21311000.0,20135000.0,32618000.0,23628000.0
Invested Capital,27858000.0,26595000.0,34960000.0,23957000.0
Working Capital,16784000.0,13247000.0,25234000.0,16249000.0
Net Tangible Assets,21311000.0,20135000.0,32618000.0,23628000.0
Capital Lease Obligations,1785000.0,2270000.0,2716000.0,3227000.0
Common Stock Equity,21311000.0,20135000.0,32618000.0,23628000.0
Total Capitalization,21311000.0,20464000.0,33223000.0,23875000.0
Total Equity Gross Minority Interest,21311000.0,20135000.0,32618000.0,23628000.0
Stockholders Equity,21311000.0,20135000.0,32618000.0,23628000.0
Treasury Stock,5402000.0,5402000.0,5402000.0,5402000.0
Retained Earnings,-24209000.0,-21979000.0,-8821000.0,-5693000.0
Additional Paid In Capital,48602000.0,45304000.0,35862000.0,26346000.0
Capital Stock,2320000.0,2212000.0,10979000.0,8377000.0
Common Stock,2320000.0,2212000.0,10979000.0,8377000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,28097000.0,28697000.0,17767000.0,14966000.0
Total Non Current Liabilities Net Minority Interest,7679000.0,5727000.0,5580000.0,5500000.0
Non Current Deferred Liabilities,6419000.0,3613000.0,2706000.0,2551000.0
Non Current Deferred Revenue,6419000.0,3613000.0,2706000.0,2551000.0
Long Term Debt And Capital Lease Obligation,1260000.0,2114000.0,2874000.0,2949000.0
Long Term Capital Lease Obligation,1260000.0,1785000.0,2269000.0,2702000.0
Long Term Debt,,329000.0,605000.0,247000.0
Current Liabilities,20418000.0,22970000.0,12187000.0,9466000.0
Current Deferred Liabilities,1137000.0,1022000.0,1045000.0,757000.0
Current Deferred Revenue,1137000.0,1022000.0,1045000.0,757000.0
Current Debt And Capital Lease Obligation,7072000.0,6616000.0,2184000.0,607000.0
Current Capital Lease Obligation,525000.0,485000.0,447000.0,525000.0
Current Debt,6547000.0,6131000.0,1737000.0,82000.0
Other Current Borrowings,71000.0,277000.0,267000.0,82000.0
Line Of Credit,6476000.0,5854000.0,1470000.0,0.0
Pensionand Other Post Retirement Benefit Plans Current,,1143000.0,1099000.0,1635000.0
Payables And Accrued Expenses,12209000.0,15332000.0,8958000.0,8102000.0
Current Accrued Expenses,1085000.0,1291000.0,1471000.0,1098000.0
Payables,11124000.0,14041000.0,7487000.0,7004000.0
Dividends Payable,,0.0,505000.0,250000.0
Total Tax Payable,1302000.0,1143000.0,1099000.0,1635000.0
Accounts Payable,9822000.0,12898000.0,5883000.0,5119000.0
Total Assets,49408000.0,48832000.0,50385000.0,38594000.0
Total Non Current Assets,12206000.0,12615000.0,12964000.0,12879000.0
Other Non Current Assets,422000.0,143000.0,98000.0,112000.0
Non Current Deferred Assets,4116000.0,4116000.0,4116000.0,4300000.0
Non Current Deferred Taxes Assets,4116000.0,4116000.0,4116000.0,4300000.0
Investments And Advances,742000.0,1481000.0,1795000.0,2014000.0
Investmentin Financial Assets,,1481000.0,1795000.0,2014000.0
Net PPE,6926000.0,6875000.0,6955000.0,6453000.0
Accumulated Depreciation,-13086000.0,-11451000.0,-10150000.0,-9132000.0
Gross PPE,20012000.0,18326000.0,17105000.0,15585000.0
Leases,659000.0,614000.0,586000.0,727000.0
Other Properties,1560000.0,1991000.0,2399000.0,2887000.0
Machinery Furniture Equipment,17793000.0,15721000.0,14120000.0,11971000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,37202000.0,36217000.0,37421000.0,25715000.0
Other Current Assets,1892000.0,1578000.0,1634000.0,1878000.0
Prepaid Assets,,,1634000.0,1878000.0
Inventory,23952000.0,22105000.0,16978000.0,10545000.0
Finished Goods,4622000.0,2965000.0,2335000.0,2206000.0
Work In Process,8275000.0,7313000.0,4527000.0,3672000.0
Raw Materials,11055000.0,11827000.0,10116000.0,4667000.0
Receivables,7902000.0,10616000.0,8229000.0,6466000.0
Accounts Receivable,7902000.0,10616000.0,8229000.0,6466000.0
Allowance For Doubtful Accounts Receivable,-50000.0,-50000.0,-50000.0,-50000.0
Gross Accounts Receivable,7952000.0,10666000.0,8279000.0,6516000.0
Cash Cash Equivalents And Short Term Investments,3456000.0,1918000.0,10580000.0,6826000.0
Cash And Cash Equivalents,3456000.0,1918000.0,10580000.0,6826000.0
