,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,74372505.0,75674587.0,85647986.0,93067500.0
Share Issued,74372505.0,75674587.0,85647986.0,93067500.0
Net Debt,5209189000.0,5539887000.0,2281343000.0,3415215000.0
Total Debt,5823973000.0,6140923000.0,2626416000.0,3845494000.0
Tangible Book Value,2500284000.0,2358344000.0,2960124000.0,2905375000.0
Invested Capital,8375393000.0,8548515000.0,5633961000.0,6795943000.0
Net Tangible Assets,2500284000.0,2358344000.0,2960124000.0,2905375000.0
Capital Lease Obligations,26501000.0,28389000.0,30216000.0,32563000.0
Common Stock Equity,2577921000.0,2435981000.0,3037761000.0,2983012000.0
Total Capitalization,8375393000.0,8548515000.0,5633961000.0,6795943000.0
Total Equity Gross Minority Interest,2577921000.0,2435981000.0,3037761000.0,2983012000.0
Stockholders Equity,2577921000.0,2435981000.0,3037761000.0,2983012000.0
Gains Losses Not Affecting Retained Earnings,-357421000.0,-437905000.0,-15940000.0,-49152000.0
Other Equity Adjustments,-357421000.0,-437905000.0,-15940000.0,-49152000.0
Retained Earnings,2650956000.0,2551400000.0,2345342000.0,2013715000.0
Additional Paid In Capital,283642000.0,321729000.0,707503000.0,1017518000.0
Capital Stock,744000.0,757000.0,856000.0,931000.0
Common Stock,744000.0,757000.0,856000.0,931000.0
Total Liabilities Net Minority Interest,33183686000.0,34590731000.0,32777635000.0,32027481000.0
Long Term Debt And Capital Lease Obligation,5823973000.0,6140923000.0,2626416000.0,3845494000.0
Long Term Capital Lease Obligation,26501000.0,28389000.0,30216000.0,32563000.0
Long Term Debt,5797472000.0,6112534000.0,2596200000.0,3812931000.0
Total Assets,35761607000.0,37026712000.0,35815396000.0,35010493000.0
Investments And Advances,9187438000.0,10049499000.0,10200057000.0,9372548000.0
Available For Sale Securities,9187438000.0,10049499000.0,10200057000.0,9372548000.0
Goodwill And Other Intangible Assets,77637000.0,77637000.0,77637000.0,77637000.0
Goodwill,77637000.0,77637000.0,77637000.0,77637000.0
Net PPE,371909000.0,539799000.0,640726000.0,663517000.0
Accumulated Depreciation,-210238000.0,-232468000.0,-207578000.0,-181436000.0
Gross PPE,582147000.0,772267000.0,848304000.0,844953000.0
Other Properties,582147000.0,772267000.0,848304000.0,844953000.0
Cash And Cash Equivalents,588283000.0,572647000.0,314857000.0,397716000.0
Cash Cash Equivalents And Federal Funds Sold,588283000.0,572647000.0,314857000.0,397716000.0
