,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2021-02-28,2020-02-29
Free Cash Flow,36366343.0,165869907.0,-74864361.0,159659241.0,,
Repurchase Of Capital Stock,,,,-178371850.0,-123589063.0,
Repayment Of Debt,-94071524.0,-227600000.0,-94000000.0,,-638200000.0,
Issuance Of Debt,120600000.0,111571524.0,219500000.0,27400000.0,,
End Cash Position,255325340.0,11292302.0,5639015.0,0.0,,
Beginning Cash Position,242815969.0,5639015.0,0.0,8052302.0,,
Effect Of Exchange Rate Changes,-2144669.0,,,6885.0,-13705.0,6802.0
Changes In Cash,14654040.0,5653287.0,5639015.0,-8059187.0,,
Financing Cash Flow,-21712303.0,-160216620.0,80503376.0,-167718428.0,,
Net Other Financing Charges,0.0,0.0,0.0,0.0,,
Cash Dividends Paid,-48240779.0,-44188144.0,-44996624.0,-16746578.0,,
Common Stock Dividend Paid,-48240779.0,-44188144.0,-44996624.0,-16746578.0,,
Net Common Stock Issuance,,,,-178371850.0,-123589063.0,
Common Stock Payments,,,,-178371850.0,-123589063.0,
Net Issuance Payments Of Debt,26528476.0,-116028476.0,125500000.0,27400000.0,,
Net Long Term Debt Issuance,26528476.0,-116028476.0,125500000.0,27400000.0,,
Long Term Debt Payments,-94071524.0,-227600000.0,-94000000.0,,-638200000.0,
Long Term Debt Issuance,120600000.0,111571524.0,219500000.0,27400000.0,,
Operating Cash Flow,36366343.0,165869907.0,-74864361.0,159659241.0,,
Change In Working Capital,350596.0,-302925601.0,-11006541.0,2546549.0,,
Change In Other Current Liabilities,0.0,0.0,-2335961.0,1811471.0,,
Change In Other Current Assets,,1268277.0,-1266620.0,12886.0,-319228.0,
Change In Accrued Expense,-778908.0,-333911.0,558102.0,-214.0,,
Change In Payable,-6164.0,1415595.0,301212.0,-548734.0,,
Change In Prepaid Assets,196674.0,-220552.0,188741.0,-78257.0,,
Change In Receivables,938994.0,-305055010.0,-8452015.0,1349397.0,,
Other Non Cash Items,-6020495.0,-4824850.0,-4667632.0,-1238429.0,,
Gain Loss On Investment Securities,2366988.0,444251523.0,-51894929.0,149189216.0,,
Net Foreign Currency Exchange Gain Loss,2144669.0,-1227361.0,-41204.0,-131129.0,,
Net Income From Continuing Operations,37524585.0,30596196.0,-7254055.0,9293034.0,,
Cash Flowsfromusedin Operating Activities Direct,,,,,450590631.0,51453437.0
Classesof Cash Payments,,,,,-527046057.0,-620527951.0
Other Cash Paymentsfrom Operating Activities,,,,,-523495387.0,-610846266.0
Classesof Cash Receiptsfrom Operating Activities,,,,,977636688.0,671981388.0
Other Cash Receiptsfrom Operating Activities,,,,,84813.0,789981.0
