,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2021-02-28
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,37524585.0,30596196.0,-7254055.0,9293034.0,
Net Interest Income,21065940.0,10327504.0,6097156.0,-172028.0,
Interest Expense,12182518.0,8471630.0,2712236.0,172028.0,
Interest Income,33248458.0,18799134.0,8809392.0,0.0,
Normalized Income,37524585.0,30596196.0,-7254055.0,9293034.0,
Net Income From Continuing And Discontinued Operation,37524585.0,30596196.0,-7254055.0,9293034.0,
Diluted Average Shares,,42494717.0,45337844.0,35742438.0,60920745.0
Basic Average Shares,,42494717.0,45337844.0,35742438.0,60920745.0
Diluted EPS,,0.72,-0.16,0.26,-0.32
Basic EPS,,0.72,-0.16,0.26,-0.32
Diluted NI Availto Com Stockholders,37524585.0,30596196.0,-7254055.0,9293034.0,
Net Income Common Stockholders,37524585.0,30596196.0,-7254055.0,9293034.0,
Net Income,37524585.0,30596196.0,-7254055.0,9293034.0,
Net Income Including Noncontrolling Interests,37524585.0,30596196.0,-7254055.0,9293034.0,
Net Income Continuous Operations,37524585.0,30596196.0,-7254055.0,9293034.0,
Pretax Income,37524585.0,30596196.0,-7254055.0,9293034.0,
Gain On Sale Of Security,-20457093.0,20637452.0,8751639.0,3663614.0,
Operating Expense,3060424.0,3651357.0,1138838.0,1020810.0,
Other Operating Expenses,1236183.0,2237016.0,-1280539.0,-546184.0,
Selling General And Administration,1824241.0,1414341.0,2419377.0,1566994.0,
General And Administrative Expense,1824241.0,1414341.0,2419377.0,1566994.0,
Total Revenue,40585009.0,34247553.0,-6115217.0,10313844.0,
Operating Revenue,40585009.0,34247553.0,-6115217.0,10313844.0,
