,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,588794000.0,566382000.0,552239000.0,443101000.0
Repurchase Of Capital Stock,,0.0,0.0,-25007000.0
Repayment Of Debt,-826254000.0,-925000000.0,-850000000.0,-1160000000.0
Issuance Of Debt,725500000.0,800000000.0,847735000.0,1466396000.0
Issuance Of Capital Stock,0.0,53100000.0,5146000.0,0.0
Interest Paid Supplemental Data,186957000.0,187293000.0,191048000.0,183187000.0
Income Tax Paid Supplemental Data,2323000.0,1951000.0,1652000.0,3577000.0
End Cash Position,18904000.0,21259000.0,297743000.0,370087000.0
Beginning Cash Position,21259000.0,297743000.0,370087000.0,21523000.0
Changes In Cash,-2355000.0,-276484000.0,-72344000.0,348564000.0
Financing Cash Flow,-428069000.0,-380413000.0,-293578000.0,72712000.0
Cash Flow From Continuing Financing Activities,-428069000.0,-380413000.0,-293578000.0,72712000.0
Net Other Financing Charges,-783000.0,-8387000.0,-33718000.0,-34740000.0
Proceeds From Stock Option Exercised,-11245000.0,-10494000.0,-5512000.0,-3540000.0
Cash Dividends Paid,-315287000.0,-289632000.0,-257229000.0,-170397000.0
Common Stock Dividend Paid,-315287000.0,-289632000.0,-257229000.0,-170397000.0
Net Common Stock Issuance,0.0,53100000.0,5146000.0,-25007000.0
Common Stock Payments,,0.0,0.0,-25007000.0
Common Stock Issuance,0.0,53100000.0,5146000.0,0.0
Net Issuance Payments Of Debt,-100754000.0,-125000000.0,-2265000.0,306396000.0
Net Short Term Debt Issuance,-106500000.0,125000000.0,0.0,-7000000.0
Short Term Debt Payments,-632000000.0,-675000000.0,0.0,-653000000.0
Short Term Debt Issuance,525500000.0,800000000.0,0.0,646000000.0
Net Long Term Debt Issuance,-100754000.0,-125000000.0,-2265000.0,313396000.0
Long Term Debt Payments,-826254000.0,-925000000.0,-850000000.0,-507000000.0
Long Term Debt Issuance,725500000.0,800000000.0,847735000.0,820396000.0
Investing Cash Flow,-163080000.0,-462453000.0,-331005000.0,-167249000.0
Cash Flow From Continuing Investing Activities,-163080000.0,-462453000.0,-331005000.0,-167249000.0
Net Investment Purchase And Sale,2091000.0,-2224000.0,-1027000.0,-1455000.0
Sale Of Investment,23437000.0,23070000.0,16448000.0,21110000.0
Purchase Of Investment,-21346000.0,-25294000.0,-17475000.0,-22565000.0
Net Investment Properties Purchase And Sale,-165171000.0,-460229000.0,-329978000.0,-165794000.0
Sale Of Investment Properties,182255000.0,279815000.0,237404000.0,122387000.0
Purchase Of Investment Properties,-347426000.0,-740044000.0,-567382000.0,-288181000.0
Operating Cash Flow,588794000.0,566382000.0,552239000.0,443101000.0
Cash Flow From Continuing Operating Activities,588794000.0,566382000.0,552239000.0,443101000.0
Change In Working Capital,-42418000.0,-46289000.0,-16316000.0,-31253000.0
Change In Other Working Capital,-40497000.0,-38445000.0,-30377000.0,-22560000.0
Change In Other Current Assets,-845000.0,-551000.0,-448000.0,-475000.0
Change In Payables And Accrued Expense,15436000.0,24658000.0,12320000.0,1577000.0
Change In Payable,15436000.0,24658000.0,12320000.0,1577000.0
Change In Account Payable,15436000.0,24658000.0,12320000.0,1577000.0
Change In Receivables,-16512000.0,-31951000.0,2189000.0,-9795000.0
Other Non Cash Items,-4970000.0,-4042000.0,-3025000.0,10038000.0
Stock Based Compensation,20777000.0,23407000.0,17090000.0,10951000.0
Asset Impairment Charge,17836000.0,5724000.0,1898000.0,19551000.0
Depreciation Amortization Depletion,362277000.0,344731000.0,327152000.0,319088000.0
Depreciation And Amortization,362277000.0,344731000.0,327152000.0,319088000.0
Amortization Cash Flow,,-12156000.0,-12603000.0,-16495000.0
Amortization Of Intangibles,,-12156000.0,-12603000.0,-16495000.0
Depreciation,362277000.0,344731000.0,327152000.0,335583000.0
Operating Gains Losses,-69795000.0,-111342000.0,-44747000.0,-6447000.0
Gain Loss On Investment Securities,-65439000.0,-111563000.0,-73092000.0,-34499000.0
Net Income From Continuing Operations,305087000.0,354193000.0,270187000.0,121173000.0
