,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,12003811.0,10583268.0,5583268.0,5112246.0
Ordinary Shares Number,75667430.0,75767503.0,80007149.0,79929335.0
Share Issued,87671241.0,86350771.0,85590417.0,85041581.0
Net Debt,423158000.0,349485000.0,379283000.0,312923000.0
Total Debt,430937000.0,397401000.0,394566000.0,393480000.0
Tangible Book Value,757976000.0,800485000.0,692648000.0,714036000.0
Invested Capital,1185969000.0,1196220000.0,1087214000.0,1107516000.0
Working Capital,-82382000.0,-16152000.0,-39651000.0,-20815000.0
Net Tangible Assets,757976000.0,800485000.0,692648000.0,714036000.0
Capital Lease Obligations,2944000.0,1666000.0,0.0,
Common Stock Equity,757976000.0,800485000.0,692648000.0,714036000.0
Total Capitalization,1185969000.0,1196220000.0,1087214000.0,1107516000.0
Total Equity Gross Minority Interest,757976000.0,800485000.0,692648000.0,714036000.0
Stockholders Equity,757976000.0,800485000.0,692648000.0,714036000.0
Treasury Stock,113768000.0,103739000.0,52436000.0,49995000.0
Retained Earnings,52499000.0,82695000.0,-167473000.0,-151931000.0
Additional Paid In Capital,819157000.0,821443000.0,912471000.0,915877000.0
Capital Stock,88000.0,86000.0,86000.0,85000.0
Common Stock,88000.0,86000.0,86000.0,85000.0
Total Liabilities Net Minority Interest,836182000.0,830545000.0,763831000.0,705774000.0
Total Non Current Liabilities Net Minority Interest,613000000.0,596338000.0,576682000.0,530468000.0
Other Non Current Liabilities,5126000.0,28470000.0,17782000.0,785000.0
Derivative Product Liabilities,959000.0,13642000.0,18577000.0,0.0
Non Current Deferred Liabilities,2344000.0,0.0,1831000.0,1011000.0
Non Current Deferred Taxes Liabilities,2344000.0,0.0,1831000.0,1011000.0
Long Term Debt And Capital Lease Obligation,427993000.0,395735000.0,394566000.0,393480000.0
Long Term Debt,427993000.0,395735000.0,394566000.0,393480000.0
Long Term Provisions,176578000.0,158491000.0,143926000.0,135192000.0
Current Liabilities,223182000.0,234207000.0,187149000.0,175306000.0
Other Current Liabilities,9781000.0,31106000.0,29625000.0,23321000.0
Current Debt And Capital Lease Obligation,2944000.0,1666000.0,,
Current Capital Lease Obligation,2944000.0,1666000.0,0.0,
Current Provisions,20000000.0,20000000.0,20000000.0,25000000.0
Payables And Accrued Expenses,190457000.0,181435000.0,137524000.0,126985000.0
Current Accrued Expenses,105607000.0,96245000.0,81211000.0,89789000.0
Interest Payable,11999000.0,10885000.0,10736000.0,10783000.0
Payables,84850000.0,85190000.0,56313000.0,37196000.0
Other Payable,47178000.0,38264000.0,25541000.0,16023000.0
Dividends Payable,,0.0,4800000.0,0.0
Total Tax Payable,6488000.0,6640000.0,8273000.0,10118000.0
Accounts Payable,31184000.0,40286000.0,17699000.0,11055000.0
Total Assets,1594158000.0,1631030000.0,1456479000.0,1419810000.0
Total Non Current Assets,1453358000.0,1412975000.0,1308981000.0,1265319000.0
Other Non Current Assets,10975000.0,10242000.0,6562000.0,7235000.0
Non Current Deferred Assets,30308000.0,42844000.0,0.0,
Non Current Deferred Taxes Assets,30308000.0,42844000.0,0.0,
Financial Assets,5463000.0,76000.0,1070000.0,0.0
Net PPE,1406612000.0,1359813000.0,1301349000.0,1258084000.0
Accumulated Depreciation,-667289000.0,-521670000.0,-377255000.0,-266627000.0
Gross PPE,2073901000.0,1881483000.0,1678604000.0,1524711000.0
Other Properties,62818000.0,58357000.0,54237000.0,72999000.0
Machinery Furniture Equipment,82630000.0,76424000.0,78186000.0,30393000.0
Buildings And Improvements,8416000.0,6936000.0,2186000.0,2241000.0
Land And Improvements,13903000.0,13902000.0,6101000.0,6512000.0
Current Assets,140800000.0,218055000.0,147498000.0,154491000.0
Other Current Assets,1298000.0,1117000.0,225000.0,652000.0
Hedging Assets Current,5288000.0,36367000.0,0.0,2507000.0
Prepaid Assets,21342000.0,19596000.0,33255000.0,3592000.0
Inventory,21119000.0,13012000.0,12466000.0,15156000.0
Raw Materials,21119000.0,13012000.0,12466000.0,15156000.0
Receivables,86918000.0,101713000.0,86269000.0,52027000.0
Accounts Receivable,86918000.0,101713000.0,86269000.0,52027000.0
Allowance For Doubtful Accounts Receivable,-655000.0,-866000.0,-866000.0,-2215000.0
Gross Accounts Receivable,87573000.0,102579000.0,87135000.0,54242000.0
Cash Cash Equivalents And Short Term Investments,4835000.0,46250000.0,15283000.0,80557000.0
Cash And Cash Equivalents,4835000.0,46250000.0,15283000.0,80557000.0
