,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,100210423.0,95975426.0,92968030.0,90255816.0
Share Issued,100210423.0,95975426.0,92968030.0,90255816.0
Total Debt,90612000.0,51285000.0,0.0,
Tangible Book Value,412095000.0,444803000.0,501583000.0,-108507000.0
Invested Capital,444233000.0,445303000.0,501583000.0,-108507000.0
Working Capital,311682000.0,365868000.0,448219000.0,32826000.0
Net Tangible Assets,412095000.0,444803000.0,501583000.0,-108507000.0
Capital Lease Obligations,90612000.0,51285000.0,0.0,
Common Stock Equity,444233000.0,445303000.0,501583000.0,-108507000.0
Total Capitalization,444233000.0,445303000.0,501583000.0,-108507000.0
Total Equity Gross Minority Interest,444425000.0,446758000.0,504818000.0,-106274000.0
Minority Interest,192000.0,1455000.0,3235000.0,2233000.0
Stockholders Equity,444233000.0,445303000.0,501583000.0,-108507000.0
Gains Losses Not Affecting Retained Earnings,-1178000.0,-6824000.0,-640000.0,-42000.0
Other Equity Adjustments,-1178000.0,-6824000.0,-640000.0,-42000.0
Retained Earnings,-483093000.0,-353927000.0,-214961000.0,-138242000.0
Additional Paid In Capital,928494000.0,806044000.0,717175000.0,29777000.0
Capital Stock,10000.0,10000.0,9000.0,0.0
Common Stock,10000.0,10000.0,9000.0,0.0
Preferred Stock,,,0.0,0.0
Total Liabilities Net Minority Interest,366516000.0,258648000.0,161444000.0,277668000.0
Total Non Current Liabilities Net Minority Interest,77077000.0,41345000.0,1478000.0,176536000.0
Other Non Current Liabilities,2050000.0,755000.0,1478000.0,2227000.0
Preferred Securities Outside Stock Equity,,,0.0,174229000.0
Non Current Deferred Liabilities,,,0.0,80000.0
Non Current Deferred Taxes Liabilities,,,0.0,80000.0
Long Term Debt And Capital Lease Obligation,75027000.0,40590000.0,0.0,
Long Term Capital Lease Obligation,75027000.0,40590000.0,0.0,
Current Liabilities,289439000.0,217303000.0,159966000.0,101132000.0
Other Current Liabilities,5691000.0,3224000.0,3541000.0,4490000.0
Current Deferred Liabilities,204269000.0,166092000.0,126260000.0,74789000.0
Current Deferred Revenue,204269000.0,166092000.0,126260000.0,74789000.0
Current Debt And Capital Lease Obligation,15585000.0,10695000.0,,
Current Capital Lease Obligation,15585000.0,10695000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,26912000.0,12622000.0,14075000.0,8117000.0
Payables And Accrued Expenses,36982000.0,24670000.0,16090000.0,13736000.0
Current Accrued Expenses,21613000.0,17360000.0,12056000.0,13297000.0
Payables,15369000.0,7310000.0,4034000.0,439000.0
Total Tax Payable,9048000.0,4209000.0,1951000.0,
Accounts Payable,6321000.0,3101000.0,2083000.0,439000.0
Total Assets,810941000.0,705406000.0,666262000.0,171394000.0
Total Non Current Assets,209820000.0,122235000.0,58077000.0,37436000.0
Other Non Current Assets,3500000.0,6684000.0,8995000.0,4517000.0
Non Current Deferred Assets,63661000.0,48451000.0,41689000.0,27433000.0
Goodwill And Other Intangible Assets,32138000.0,500000.0,,
Other Intangible Assets,3690000.0,500000.0,,
Goodwill,28448000.0,0.0,,
Net PPE,110521000.0,66600000.0,7393000.0,5486000.0
Accumulated Depreciation,-14136000.0,-8611000.0,-5229000.0,-2640000.0
Gross PPE,124657000.0,75211000.0,12622000.0,8126000.0
Leases,18789000.0,9410000.0,2470000.0,1977000.0
Other Properties,81163000.0,46261000.0,,
Machinery Furniture Equipment,24705000.0,19540000.0,10152000.0,6149000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,601121000.0,583171000.0,608185000.0,133958000.0
Other Current Assets,4599000.0,5435000.0,3625000.0,2581000.0
Restricted Cash,3373000.0,0.0,0.0,472000.0
Prepaid Assets,19735000.0,17670000.0,25037000.0,9621000.0
Receivables,97288000.0,81396000.0,65430000.0,34771000.0
Taxes Receivable,1606000.0,1045000.0,667000.0,
Accrued Interest Receivable,3426000.0,2013000.0,259000.0,
Accounts Receivable,92256000.0,78338000.0,64504000.0,34771000.0
Allowance For Doubtful Accounts Receivable,-2772000.0,-1613000.0,-743000.0,-934000.0
Gross Accounts Receivable,95028000.0,79951000.0,65247000.0,35705000.0
Cash Cash Equivalents And Short Term Investments,476126000.0,478670000.0,514093000.0,86513000.0
Other Short Term Investments,407898000.0,410083000.0,35156000.0,58004000.0
Cash And Cash Equivalents,68228000.0,68587000.0,478937000.0,28509000.0
