,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,188446126794.0,188446126794.0,188446126794.0,188446126794.0
Share Issued,188446126794.0,188446126794.0,188446126794.0,188446126794.0
Net Debt,6543152000000.0,5176770000000.0,4889610000000.0,10679905000000.0
Total Debt,12423193000000.0,10583657000000.0,10290362000000.0,14694865000000.0
Tangible Book Value,5095302000000.0,4746594000000.0,4237802000000.0,3537554000000.0
Invested Capital,17511530000000.0,15300951000000.0,14483780000000.0,18165371000000.0
Net Tangible Assets,5095302000000.0,4746594000000.0,4237802000000.0,3537554000000.0
Capital Lease Obligations,104516000000.0,137089000000.0,139795000000.0,149585000000.0
Common Stock Equity,5192853000000.0,4854383000000.0,4333213000000.0,3620091000000.0
Total Capitalization,17511530000000.0,15300951000000.0,14483780000000.0,18165371000000.0
Total Equity Gross Minority Interest,5317588000000.0,4963947000000.0,4427573000000.0,3704774000000.0
Minority Interest,124735000000.0,109564000000.0,94360000000.0,84683000000.0
Stockholders Equity,5192853000000.0,4854383000000.0,4333213000000.0,3620091000000.0
Other Equity Interest,608721000000.0,590247000000.0,598136000000.0,
Gains Losses Not Affecting Retained Earnings,3155368000000.0,2693394000000.0,2196709000000.0,2318287000000.0
Other Equity Adjustments,3160610000000.0,2860541000000.0,2550559000000.0,2343580000000.0
Unrealized Gain Loss,-5242000000.0,-167147000000.0,-353850000000.0,-25293000000.0
Retained Earnings,537461000000.0,679439000000.0,647065000000.0,410501000000.0
Capital Stock,891303000000.0,891303000000.0,891303000000.0,891303000000.0
Common Stock,891303000000.0,891303000000.0,891303000000.0,891303000000.0
Total Liabilities Net Minority Interest,65771851000000.0,63458079000000.0,59414377000000.0,51998449000000.0
Derivative Product Liabilities,13138349000000.0,15211807000000.0,11797444000000.0,9693954000000.0
Non Current Deferred Liabilities,220615000000.0,383081000000.0,434289000000.0,130321000000.0
Non Current Deferred Revenue,2679000000.0,6354000000.0,6634000000.0,828000000.0
Non Current Deferred Taxes Liabilities,217936000000.0,376727000000.0,427655000000.0,129493000000.0
Long Term Debt And Capital Lease Obligation,12402477000000.0,10557755000000.0,10266971000000.0,14694865000000.0
Long Term Capital Lease Obligation,83800000000.0,111187000000.0,116404000000.0,149585000000.0
Long Term Debt,12318677000000.0,10446568000000.0,10150567000000.0,14545280000000.0
Long Term Provisions,283971000000.0,461022000000.0,463949000000.0,330664000000.0
Current Debt And Capital Lease Obligation,20716000000.0,25902000000.0,23391000000.0,
Current Capital Lease Obligation,20716000000.0,25902000000.0,23391000000.0,
Payables And Accrued Expenses,831296000000.0,1054295000000.0,691768000000.0,542947000000.0
Payables,831296000000.0,1054295000000.0,691768000000.0,542947000000.0
Other Payable,36819000000.0,265793000000.0,48031000000.0,139622000000.0
Total Tax Payable,302197000000.0,185494000000.0,35792000000.0,27106000000.0
Income Tax Payable,302197000000.0,185494000000.0,35792000000.0,27106000000.0
Accounts Payable,492280000000.0,603008000000.0,607945000000.0,376219000000.0
Total Assets,71089439000000.0,68422026000000.0,63841950000000.0,55703223000000.0
Defined Pension Benefit,233000000.0,542000000.0,523000000.0,673000000.0
Investments And Advances,12971769000000.0,11091262000000.0,10604150000000.0,7310395000000.0
Available For Sale Securities,8176895000000.0,4867591000000.0,4691730000000.0,3191000000.0
Long Term Equity Investment,55284000000.0,46586000000.0,37694000000.0,10396000000.0
Goodwill And Other Intangible Assets,97551000000.0,107789000000.0,95411000000.0,82537000000.0
Other Intangible Assets,97551000000.0,107789000000.0,95411000000.0,82537000000.0
Net PPE,352272000000.0,371890000000.0,374818000000.0,388851000000.0
Accumulated Depreciation,-639421000000.0,-581655000000.0,-519868000000.0,-435464000000.0
Gross PPE,991693000000.0,953545000000.0,894686000000.0,824315000000.0
Leases,215411000000.0,231603000000.0,,
Other Properties,442770000000.0,395558000000.0,360609000000.0,318243000000.0
Buildings And Improvements,318881000000.0,311363000000.0,306153000000.0,
Land And Improvements,14631000000.0,15021000000.0,227924000000.0,506072000000.0
Prepaid Assets,169603000000.0,245937000000.0,322887000000.0,387668000000.0
Receivables,382226000000.0,509030000000.0,338472000000.0,203550000000.0
Other Receivables,182480000000.0,324041000000.0,246433000000.0,61086000000.0
Notes Receivable,,,44860000000.0,41960000000.0
Accounts Receivable,199746000000.0,184989000000.0,92039000000.0,100504000000.0
Other Short Term Investments,4739590000000.0,6177085000000.0,5874726000000.0,7296808000000.0
Cash And Cash Equivalents,5775525000000.0,5269798000000.0,5260957000000.0,3865375000000.0
Cash Equivalents,819000000.0,715000000.0,718000000.0,765000000.0
Cash Financial,1198568000000.0,1110830000000.0,883322000000.0,665397000000.0
Cash Cash Equivalents And Federal Funds Sold,5788978000000.0,5301507000000.0,5276120000000.0,3865375000000.0
