,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-48025000.0,-35994000.0
Total Unusual Items,1032000.0,8376000.0
Total Unusual Items Excluding Goodwill,1032000.0,8376000.0
Net Income From Continuing Operation Net Minority Interest,-51701000.0,-38503000.0
Reconciled Depreciation,3794000.0,4304000.0
Reconciled Cost Of Revenue,734000.0,880000.0
EBITDA,-46993000.0,-27618000.0
EBIT,-50787000.0,-31922000.0
Net Interest Income,-914000.0,-6581000.0
Interest Expense,914000.0,6581000.0
Normalized Income,-52733000.0,-46879000.0
Net Income From Continuing And Discontinued Operation,-51701000.0,-38503000.0
Total Expenses,53395000.0,41542000.0
Total Operating Income As Reported,-53049000.0,-41237000.0
Diluted Average Shares,31660231.0,31660231.0
Basic Average Shares,31660231.0,31660231.0
Diluted EPS,-1.632995,-1.216131
Basic EPS,-1.632995,-1.216131
Diluted NI Availto Com Stockholders,-51701000.0,-38503000.0
Net Income Common Stockholders,-51701000.0,-38503000.0
Net Income,-51701000.0,-38503000.0
Net Income Including Noncontrolling Interests,-51701000.0,-38503000.0
Net Income Continuous Operations,-51701000.0,-38503000.0
Tax Provision,0.0,0.0
Pretax Income,-51701000.0,-38503000.0
Other Income Expense,2262000.0,9315000.0
Other Non Operating Income Expenses,1230000.0,939000.0
Special Income Charges,0.0,8812000.0
Other Special Charges,,-8812000.0
Gain On Sale Of Security,1032000.0,-436000.0
Net Non Operating Interest Income Expense,-914000.0,-6581000.0
Interest Expense Non Operating,914000.0,6581000.0
Operating Income,-53049000.0,-41237000.0
Operating Expense,52661000.0,40662000.0
Research And Development,15857000.0,23572000.0
Selling General And Administration,36804000.0,17090000.0
Selling And Marketing Expense,1699000.0,3323000.0
General And Administrative Expense,35105000.0,13767000.0
Other Gand A,35105000.0,13767000.0
Gross Profit,-388000.0,-575000.0
Cost Of Revenue,734000.0,880000.0
Total Revenue,346000.0,305000.0
Operating Revenue,346000.0,305000.0
