,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,9197696.0,9131973.0,9071417.0,9044765.0
Share Issued,9197696.0,9131973.0,9071417.0,9044765.0
Tangible Book Value,160837000.0,134161000.0,117286000.0,105736000.0
Net Tangible Assets,160837000.0,134161000.0,117286000.0,105736000.0
Common Stock Equity,170326000.0,144100000.0,127408000.0,107319000.0
Total Equity Gross Minority Interest,170326000.0,144100000.0,127408000.0,107319000.0
Stockholders Equity,170326000.0,144100000.0,127408000.0,107319000.0
Gains Losses Not Affecting Retained Earnings,-6145000.0,-9303000.0,144000.0,0.0
Other Equity Adjustments,-6145000.0,-9303000.0,144000.0,
Retained Earnings,78962000.0,58049000.0,33149000.0,14067000.0
Additional Paid In Capital,97417000.0,95263000.0,94024000.0,93162000.0
Capital Stock,92000.0,91000.0,91000.0,90000.0
Common Stock,92000.0,91000.0,91000.0,90000.0
Preferred Stock,,,,0.0
Total Liabilities Net Minority Interest,1601340000.0,1440069000.0,1223141000.0,909350000.0
Payables And Accrued Expenses,302000.0,1054000.0,0.0,3836000.0
Payables,302000.0,1054000.0,0.0,3836000.0
Total Tax Payable,302000.0,1054000.0,0.0,9000.0
Income Tax Payable,302000.0,1054000.0,0.0,9000.0
Accounts Payable,,9715000.0,5670000.0,3836000.0
Total Assets,1771666000.0,1584169000.0,1350549000.0,1016669000.0
Investments And Advances,170770000.0,174374000.0,86010000.0,1172000.0
Available For Sale Securities,1283000.0,1209000.0,1202000.0,1172000.0
Goodwill And Other Intangible Assets,9489000.0,9939000.0,10122000.0,1583000.0
Other Intangible Assets,1031000.0,1336000.0,1643000.0,572000.0
Goodwill,8458000.0,8603000.0,8479000.0,1011000.0
Net PPE,14942000.0,13106000.0,17257000.0,9151000.0
Accumulated Depreciation,-6797000.0,-6159000.0,-5116000.0,-4044000.0
Gross PPE,21739000.0,19265000.0,22373000.0,13195000.0
Other Properties,976000.0,958000.0,946000.0,846000.0
Machinery Furniture Equipment,2625000.0,2803000.0,3100000.0,2177000.0
Properties,18138000.0,15504000.0,18327000.0,10172000.0
Receivables,,16439000.0,10522000.0,7152000.0
Accounts Receivable,,16439000.0,10522000.0,7152000.0
Other Short Term Investments,169487000.0,173165000.0,84808000.0,0.0
Cash And Cash Equivalents,198721000.0,114589000.0,198596000.0,170313000.0
Cash Financial,181042000.0,109115000.0,195359000.0,153901000.0
Cash Cash Equivalents And Federal Funds Sold,198721000.0,114589000.0,208089000.0,170313000.0
