,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.24,0.245026,0.250857,0.255679
Net Income From Continuing Operation Net Minority Interest,28275000.0,29638000.0,23159000.0,19266000.0
Reconciled Depreciation,1302000.0,1406000.0,1031000.0,1093000.0
Net Interest Income,82546000.0,69427000.0,53236000.0,47161000.0
Interest Expense,38998000.0,9322000.0,3053000.0,6153000.0
Interest Income,121544000.0,78749000.0,56289000.0,53314000.0
Normalized Income,28275000.0,29638000.0,23159000.0,19266000.0
Net Income From Continuing And Discontinued Operation,28275000.0,29638000.0,23159000.0,19266000.0
Diluted Average Shares,9264307.0,9204716.0,9091536.0,9379154.0
Basic Average Shares,9161565.0,9101523.0,9056117.0,9378769.0
Diluted EPS,3.05,3.22,2.55,2.05
Basic EPS,3.09,3.26,2.56,2.05
Diluted NI Availto Com Stockholders,28275000.0,29638000.0,23159000.0,19266000.0
Net Income Common Stockholders,28275000.0,29638000.0,23159000.0,19266000.0
Net Income,28275000.0,29638000.0,23159000.0,19266000.0
Net Income Including Noncontrolling Interests,28275000.0,29638000.0,23159000.0,19266000.0
Net Income Continuous Operations,28275000.0,29638000.0,23159000.0,19266000.0
Tax Provision,8948000.0,9619000.0,7755000.0,6618000.0
Pretax Income,37223000.0,39257000.0,30914000.0,25884000.0
Gain On Sale Of Security,-16000.0,-127000.0,0.0,0.0
Selling General And Administration,17812000.0,17517000.0,12265000.0,10530000.0
Selling And Marketing Expense,427000.0,477000.0,282000.0,400000.0
General And Administrative Expense,17385000.0,17040000.0,11983000.0,10130000.0
Other Gand A,,,2250000.0,1838000.0
Salaries And Wages,17385000.0,17040000.0,11983000.0,10130000.0
Total Revenue,91788000.0,72366000.0,55486000.0,48826000.0
Operating Revenue,91788000.0,72366000.0,55486000.0,48826000.0
Occupancy And Equipment,3684000.0,3797000.0,2782000.0,2825000.0
Professional Expense And Contract Services Expense,543000.0,984000.0,800000.0,536000.0
Other Non Interest Expense,11381000.0,6343000.0,4550000.0,3701000.0
