,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-747175.0,-266598.0,606035.0,1243099.0
Repurchase Of Capital Stock,-250525.0,-107012.0,,
Repayment Of Debt,-1053864.0,-168529.0,-3295623.0,-436456.0
Issuance Of Debt,,791370.0,3107100.0,77500.0
Issuance Of Capital Stock,,0.0,10696575.0,0.0
Capital Expenditure,-488388.0,-478396.0,-207920.0,-154420.0
Interest Paid Supplemental Data,85923.0,109366.0,119300.0,133213.0
Income Tax Paid Supplemental Data,0.0,209088.0,114179.0,0.0
End Cash Position,5300446.0,2150578.0,12385632.0,1321244.0
Beginning Cash Position,2150578.0,12385632.0,1321244.0,258101.0
Changes In Cash,3149868.0,-10235054.0,11064388.0,1063143.0
Financing Cash Flow,-1304389.0,590695.0,10458353.0,-358956.0
Cash Flow From Continuing Financing Activities,-1304389.0,590695.0,10458353.0,-358956.0
Net Other Financing Charges,,,-49699.0,
Proceeds From Stock Option Exercised,0.0,74866.0,0.0,
Net Common Stock Issuance,-250525.0,-107012.0,10696575.0,0.0
Common Stock Payments,-250525.0,-107012.0,,
Common Stock Issuance,,0.0,10696575.0,0.0
Net Issuance Payments Of Debt,-1053864.0,622841.0,-188523.0,-358956.0
Net Short Term Debt Issuance,-675471.0,,,
Short Term Debt Payments,-675471.0,,,
Net Long Term Debt Issuance,-378393.0,622841.0,-188523.0,-358956.0
Long Term Debt Payments,-378393.0,-168529.0,-3295623.0,-436456.0
Long Term Debt Issuance,,791370.0,3107100.0,77500.0
Investing Cash Flow,4713044.0,-11037547.0,-207920.0,24580.0
Cash Flow From Continuing Investing Activities,4713044.0,-11037547.0,-207920.0,24580.0
Net Other Investing Changes,,-37543.0,,179000.0
Net Investment Purchase And Sale,4705432.0,-6033009.0,0.0,
Sale Of Investment,5237835.0,19629514.0,0.0,
Purchase Of Investment,-532403.0,-25662523.0,0.0,
Net Business Purchase And Sale,0.0,-4488599.0,0.0,
Purchase Of Business,0.0,-4488599.0,0.0,
Net PPE Purchase And Sale,7612.0,-478396.0,-207920.0,-154420.0
Sale Of PPE,496000.0,0.0,,
Purchase Of PPE,-488388.0,-478396.0,-207920.0,-154420.0
Operating Cash Flow,-258787.0,211798.0,813955.0,1397519.0
Cash Flow From Continuing Operating Activities,-258787.0,211798.0,813955.0,1397519.0
Change In Working Capital,231130.0,147354.0,-112078.0,236103.0
Change In Payables And Accrued Expense,235750.0,185113.0,-18085.0,242334.0
Change In Accrued Expense,129108.0,237569.0,-166393.0,214334.0
Change In Payable,106642.0,-52456.0,148308.0,28000.0
Change In Account Payable,106642.0,156632.0,37198.0,-67080.0
Change In Tax Payable,0.0,-209088.0,111110.0,95080.0
Change In Income Tax Payable,0.0,-209088.0,111110.0,95080.0
Change In Prepaid Assets,-9849.0,-10211.0,-21838.0,1580.0
Change In Inventory,-42982.0,-22851.0,-18934.0,-4144.0
Change In Receivables,48211.0,-4697.0,-53221.0,-3667.0
Other Non Cash Items,-163090.0,19214.0,56905.0,-30456.0
Stock Based Compensation,174000.0,118700.0,26250.0,0.0
Unrealized Gain Loss On Investment Securities,-80139.0,86422.0,0.0,
Asset Impairment Charge,,,0.0,190493.0
Deferred Tax,-145000.0,-180000.0,1000.0,20000.0
Deferred Income Tax,-145000.0,-180000.0,1000.0,20000.0
Depreciation Amortization Depletion,598540.0,449038.0,234027.0,189387.0
Depreciation And Amortization,598540.0,449038.0,234027.0,189387.0
Amortization Cash Flow,58865.0,37022.0,,
Amortization Of Intangibles,58865.0,37022.0,,
Depreciation,539675.0,412016.0,,187687.0
Operating Gains Losses,13140.0,133355.0,,
Earnings Losses From Equity Investments,346380.0,194813.0,0.0,
Gain Loss On Investment Securities,-23058.0,-47708.0,,
Gain Loss On Sale Of PPE,-310182.0,0.0,,0.0
Net Income From Continuing Operations,-887368.0,-562285.0,607851.0,791992.0
