,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,2097535.0,1044008.0,568565.0,94789.0
Share Issued,2097535.0,1044008.0,568565.0,94789.0
Net Debt,82000.0,822000.0,,6701819.907244
Total Debt,125000.0,870000.0,101641000.0,71244241.042046
Tangible Book Value,19442000.0,19280000.0,3520497.011343,-102946290.542299
Invested Capital,19567000.0,20150000.0,3520497.011343,-37465752.376288
Working Capital,3843000.0,2992000.0,-51005318.397891,-142218786.830545
Net Tangible Assets,19442000.0,19280000.0,3520497.011343,-102946290.542299
Capital Lease Obligations,,,95641000.0,50749238.516523
Common Stock Equity,19442000.0,19280000.0,3520497.011343,-57960754.901811
Total Capitalization,19442000.0,19280000.0,3520497.011343,-57960754.901811
Total Equity Gross Minority Interest,19442000.0,19280000.0,5738064.981723,-55491405.568396
Minority Interest,,0.0,2217567.97038,2469349.333415
Stockholders Equity,19442000.0,19280000.0,3520497.011343,-57960754.901811
Retained Earnings,-186599000.0,-183775000.0,-207173718.642632,-143303843.386956
Additional Paid In Capital,205920000.0,202992000.0,210660171.632074,85337425.190945
Capital Stock,121000.0,63000.0,34044.021901,5663.2942
Common Stock,121000.0,63000.0,34044.021901,5663.2942
Total Liabilities Net Minority Interest,5101000.0,11064000.0,133162485.684253,223680528.982291
Total Non Current Liabilities Net Minority Interest,0.0,0.0,21013162.642569,44191296.894372
Liabilities Heldfor Sale Non Current,,0.0,21013162.642569,
Tradeand Other Payables Non Current,,,34137000.0,5160944.698697
Non Current Deferred Liabilities,,,39979000.0,8355348.751779
Non Current Deferred Revenue,,,35546000.0,7182740.728269
Non Current Deferred Taxes Liabilities,,,4433000.0,1172608.02351
Long Term Debt And Capital Lease Obligation,,,59824000.0,30675003.443895
Long Term Capital Lease Obligation,,,59824000.0,30675003.443895
Current Liabilities,5101000.0,11064000.0,112149323.041684,179489232.087919
Other Current Liabilities,,,107364020.018512,
Current Deferred Liabilities,792000.0,0.0,552758000.0,111460517.655702
Current Deferred Revenue,792000.0,0.0,552758000.0,111460517.655702
Current Debt And Capital Lease Obligation,125000.0,870000.0,41817000.0,40569237.598151
Current Capital Lease Obligation,,,35817000.0,20074235.072628
Current Debt,125000.0,870000.0,6000000.0,20495002.525523
Other Current Borrowings,125000.0,870000.0,,
Line Of Credit,,,6000000.0,20495002.525523
Payables And Accrued Expenses,4184000.0,10194000.0,4785303.023172,27459476.834065
Current Accrued Expenses,,,8138000.0,2768432.492003
Payables,4184000.0,10194000.0,4785303.023172,24691044.342063
Other Payable,,,40100000.0,12315675.079975
Dueto Related Parties Current,4056000.0,6739000.0,4785303.023172,7682488.17596
Total Tax Payable,,,14116000.0,2088837.187945
Income Tax Payable,,,195000.0,40867.555447
Accounts Payable,128000.0,3455000.0,0.0,2604043.898183
Total Assets,24543000.0,30344000.0,138900550.665976,168189123.413895
Total Non Current Assets,15599000.0,16288000.0,77756546.022184,130918678.156521
Other Non Current Assets,,,77756546.022184,1585416.252124
Non Current Prepaid Assets,,,26178000.0,6230235.86855
Non Current Deferred Assets,,,37140000.0,2496900.49439
Non Current Deferred Taxes Assets,,,25991000.0,1070974.851913
Investments And Advances,2897000.0,2885000.0,0.0,3757978.357032
Long Term Equity Investment,2897000.0,2885000.0,0.0,3757978.357032
Goodwill And Other Intangible Assets,,,207637000.0,44985535.640488
Other Intangible Assets,,,14675000.0,2959759.998776
Goodwill,,,192962000.0,42025775.641712
Net PPE,12702000.0,13403000.0,0.0,71862611.543936
Accumulated Depreciation,-4539000.0,-1816000.0,0.0,-9236526.716973
Gross PPE,17241000.0,15219000.0,0.0,81099138.260909
Leases,,,24252000.0,10888218.817443
Construction In Progress,,,76000.0,7653.100271
Other Properties,17241000.0,15219000.0,136858000.0,56997535.701713
Machinery Furniture Equipment,,,9889000.0,1711998.530605
Buildings And Improvements,,,75092000.0,11493732.110878
Properties,,,0.0,0.0
Current Assets,8944000.0,14056000.0,61144004.643793,37270445.257374
Other Current Assets,803000.0,1103000.0,1428280.070912,1573936.601717
Assets Held For Sale Current,,0.0,22308874.978428,
Current Deferred Assets,,,32241000.0,7213047.005342
Prepaid Assets,2613000.0,4003000.0,10986805.980452,5640641.023679
Receivables,5485000.0,8902000.0,0.0,9049638.008357
Other Receivables,,,15474000.0,3700580.105001
Duefrom Related Parties Current,,,7265000.0,1214393.95099
Accounts Receivable,5485000.0,8902000.0,0.0,4134663.952367
Allowance For Doubtful Accounts Receivable,0.0,0.0,0.0,-3957112.026082
Gross Accounts Receivable,5485000.0,8902000.0,0.0,8091775.978449
Cash Cash Equivalents And Short Term Investments,43000.0,48000.0,26420043.614,13793182.618279
Cash And Cash Equivalents,43000.0,48000.0,26420043.614,13793182.618279
