,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,606756.0,,,
Ordinary Shares Number,111966298.0,111249801.0,111288605.0,111288605.0
Share Issued,112573054.0,111249801.0,111288605.0,111288605.0
Total Debt,92829000.0,100230000.0,92428000.0,22827000.0
Tangible Book Value,327789000.0,318017000.0,287964000.0,136301000.0
Invested Capital,355184000.0,348144000.0,317539000.0,146781000.0
Working Capital,52322000.0,98346000.0,165298000.0,-7061000.0
Net Tangible Assets,327789000.0,318017000.0,287964000.0,136301000.0
Capital Lease Obligations,70211000.0,70425000.0,62968000.0,21950000.0
Common Stock Equity,332566000.0,318339000.0,288079000.0,145904000.0
Total Capitalization,355184000.0,348144000.0,317539000.0,146781000.0
Total Equity Gross Minority Interest,332566000.0,318339000.0,288079000.0,145904000.0
Stockholders Equity,332566000.0,318339000.0,288079000.0,145904000.0
Gains Losses Not Affecting Retained Earnings,385023000.0,311536000.0,220909000.0,0.0
Treasury Stock,2604000.0,0.0,,
Retained Earnings,-49853000.0,6803000.0,67169000.0,0.0
Capital Stock,0.0,0.0,1000.0,145904000.0
Common Stock,0.0,0.0,1000.0,145904000.0
Total Liabilities Net Minority Interest,306821000.0,333070000.0,358895000.0,707398000.0
Total Non Current Liabilities Net Minority Interest,94449000.0,111856000.0,99975000.0,22827000.0
Non Current Deferred Liabilities,1620000.0,11626000.0,7547000.0,0.0
Non Current Deferred Taxes Liabilities,1620000.0,11626000.0,7547000.0,0.0
Long Term Debt And Capital Lease Obligation,92829000.0,100230000.0,92428000.0,22827000.0
Long Term Capital Lease Obligation,70211000.0,70425000.0,62968000.0,21950000.0
Long Term Debt,22618000.0,29805000.0,29460000.0,877000.0
Current Liabilities,212372000.0,221214000.0,258920000.0,684571000.0
Current Deferred Liabilities,144337000.0,182297000.0,213449000.0,11552000.0
Current Deferred Revenue,144337000.0,182297000.0,213449000.0,11552000.0
Current Provisions,1363000.0,1343000.0,,
Payables And Accrued Expenses,66672000.0,37574000.0,45471000.0,673019000.0
Current Accrued Expenses,9732000.0,5539000.0,2108000.0,1061000.0
Payables,56940000.0,32035000.0,43363000.0,671958000.0
Other Payable,11104000.0,6366000.0,6966000.0,567000.0
Dueto Related Parties Current,33000.0,316000.0,19000.0,662948000.0
Total Tax Payable,13319000.0,9585000.0,18638000.0,5381000.0
Income Tax Payable,3367000.0,657000.0,10454000.0,56000.0
Accounts Payable,32484000.0,15768000.0,17740000.0,3062000.0
Total Assets,639387000.0,651409000.0,646974000.0,853302000.0
Total Non Current Assets,374693000.0,331849000.0,222756000.0,175792000.0
Other Non Current Assets,19841000.0,3748000.0,8742000.0,906000.0
Non Current Deferred Assets,991000.0,4857000.0,4622000.0,30102000.0
Non Current Deferred Taxes Assets,991000.0,4857000.0,4622000.0,30102000.0
Investments And Advances,37775000.0,60959000.0,1250000.0,55000.0
Other Investments,,89000.0,99000.0,55000.0
Investmentin Financial Assets,37775000.0,60959000.0,1250000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,37775000.0,60959000.0,1250000.0,
Investment Properties,34346000.0,35542000.0,0.0,
Goodwill And Other Intangible Assets,4777000.0,322000.0,115000.0,9603000.0
Other Intangible Assets,,322000.0,115000.0,9603000.0
Net PPE,276963000.0,226421000.0,208027000.0,135126000.0
Accumulated Depreciation,-203105000.0,-152750000.0,-104588000.0,-80815000.0
Gross PPE,480068000.0,379171000.0,312615000.0,215941000.0
Leases,176434000.0,164599000.0,107366000.0,47094000.0
Construction In Progress,30095000.0,16512000.0,33589000.0,3373000.0
Other Properties,26866000.0,19052000.0,8857000.0,4038000.0
Machinery Furniture Equipment,217251000.0,155075000.0,138870000.0,138389000.0
Buildings And Improvements,27364000.0,23449000.0,23449000.0,22563000.0
Land And Improvements,2058000.0,484000.0,484000.0,484000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,264694000.0,319560000.0,424218000.0,677510000.0
Restricted Cash,9538000.0,11494000.0,10310000.0,7339000.0
Prepaid Assets,89538000.0,54700000.0,21119000.0,11951000.0
Receivables,20889000.0,22004000.0,20701000.0,613467000.0
Other Receivables,,2546000.0,10203000.0,441118000.0
Duefrom Related Parties Current,,397000.0,1500000.0,
Taxes Receivable,3425000.0,757000.0,760000.0,2019000.0
Loans Receivable,0.0,322000.0,1087000.0,168294000.0
Accounts Receivable,17464000.0,18379000.0,8651000.0,2036000.0
Cash Cash Equivalents And Short Term Investments,144729000.0,231362000.0,372088000.0,44753000.0
Cash And Cash Equivalents,144729000.0,231362000.0,372088000.0,44753000.0
Cash Financial,144729000.0,231362000.0,372088000.0,44753000.0
