,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1705000.0,,,
Ordinary Shares Number,1300691192.0,1074694856.0,1056333691.0,1051138175.0
Share Issued,1302396192.0,1074694856.0,1056333691.0,1051138175.0
Total Debt,192125000.0,57228000.0,75134000.0,110022000.0
Tangible Book Value,3810379000.0,3008126000.0,2860294000.0,2572016000.0
Invested Capital,3962349000.0,3065354000.0,2935428000.0,2682038000.0
Working Capital,397258000.0,801555000.0,814928000.0,476605000.0
Net Tangible Assets,3810379000.0,3008126000.0,2860294000.0,2572016000.0
Capital Lease Obligations,28839000.0,33254000.0,,
Common Stock Equity,3810379000.0,3008126000.0,2860294000.0,2572016000.0
Total Capitalization,3962349000.0,3049835000.0,2910020000.0,2647927000.0
Total Equity Gross Minority Interest,3909975000.0,3111789000.0,2961007000.0,2660590000.0
Minority Interest,99596000.0,103663000.0,100713000.0,88574000.0
Stockholders Equity,3810379000.0,3008126000.0,2860294000.0,2572016000.0
Gains Losses Not Affecting Retained Earnings,-125256000.0,-145869000.0,-136299000.0,-138533000.0
Other Equity Adjustments,-125256000.0,-145869000.0,-136299000.0,-138533000.0
Retained Earnings,395854000.0,588139000.0,507381000.0,254343000.0
Additional Paid In Capital,84970000.0,78232000.0,67028000.0,48472000.0
Capital Stock,3454811000.0,2487624000.0,2422184000.0,2407734000.0
Common Stock,3454811000.0,2487624000.0,2422184000.0,2407734000.0
Total Liabilities Net Minority Interest,964644000.0,569444000.0,600286000.0,701789000.0
Total Non Current Liabilities Net Minority Interest,651173000.0,335828000.0,369097000.0,415696000.0
Other Non Current Liabilities,23820000.0,7915000.0,7822000.0,8726000.0
Derivative Product Liabilities,139600000.0,0.0,,
Employee Benefits,19171000.0,8121000.0,7115000.0,5874000.0
Non Current Deferred Liabilities,188106000.0,182515000.0,187887000.0,220903000.0
Non Current Deferred Taxes Liabilities,188106000.0,182515000.0,187887000.0,220903000.0
Long Term Debt And Capital Lease Obligation,175869000.0,41709000.0,49726000.0,75911000.0
Long Term Capital Lease Obligation,23899000.0,28349000.0,,
Long Term Debt,151970000.0,41709000.0,49726000.0,75911000.0
Long Term Provisions,104607000.0,95568000.0,116547000.0,104282000.0
Current Liabilities,313471000.0,233616000.0,231189000.0,286093000.0
Other Current Liabilities,6369000.0,2138000.0,1056000.0,8211000.0
Current Debt And Capital Lease Obligation,16256000.0,15519000.0,25408000.0,34111000.0
Current Capital Lease Obligation,4940000.0,4905000.0,,
Current Debt,,15519000.0,25408000.0,34111000.0
Current Provisions,3050000.0,5545000.0,734000.0,
Payables And Accrued Expenses,287796000.0,210414000.0,203991000.0,243771000.0
Payables,287796000.0,210414000.0,203991000.0,243771000.0
Total Tax Payable,120679000.0,95623000.0,92275000.0,154709000.0
Accounts Payable,167117000.0,114791000.0,111716000.0,89062000.0
Total Assets,4874619000.0,3681233000.0,3561293000.0,3362379000.0
Total Non Current Assets,4163890000.0,2646062000.0,2515176000.0,2599681000.0
Other Non Current Assets,157940000.0,86289000.0,73412000.0,60345000.0
Non Current Prepaid Assets,,,,19099000.0
Non Current Deferred Assets,16927000.0,6711000.0,10414000.0,29996000.0
Non Current Deferred Taxes Assets,16927000.0,0.0,1455000.0,24547000.0
Non Current Note Receivables,5763000.0,5095000.0,0.0,
Non Current Accounts Receivable,199671000.0,121323000.0,63165000.0,35383000.0
Financial Assets,,,2602000.0,1348000.0
Investments And Advances,220099000.0,151914000.0,136354000.0,85589000.0
Other Investments,86007000.0,31865000.0,32118000.0,9354000.0
Investmentin Financial Assets,,,32118000.0,9354000.0
Long Term Equity Investment,134092000.0,120049000.0,104236000.0,76235000.0
Investmentsin Associatesat Cost,134092000.0,120049000.0,,
Net PPE,3563490000.0,2274730000.0,2231831000.0,2387020000.0
Accumulated Depreciation,-2849705000.0,-2136490000.0,-1539997000.0,-1149135000.0
Gross PPE,6413195000.0,4411220000.0,3771828000.0,3536155000.0
Construction In Progress,1394143000.0,16596000.0,0.0,
Machinery Furniture Equipment,,32419000.0,28540000.0,24160000.0
Buildings And Improvements,1954150000.0,1679345000.0,,
Current Assets,710729000.0,1035171000.0,1046117000.0,762698000.0
Hedging Assets Current,481000.0,5009000.0,12823000.0,3252000.0
Assets Held For Sale Current,,0.0,12700000.0,11855000.0
Prepaid Assets,19172000.0,16867000.0,11442000.0,10111000.0
Inventory,346495000.0,332031000.0,272354000.0,238055000.0
Finished Goods,53065000.0,49467000.0,52867000.0,39157000.0
Work In Process,18220000.0,14653000.0,13260000.0,7984000.0
Raw Materials,275210000.0,267911000.0,206227000.0,190914000.0
Receivables,37686000.0,29318000.0,63799000.0,19740000.0
Other Receivables,7838000.0,10785000.0,49406000.0,7943000.0
Taxes Receivable,29848000.0,18533000.0,14393000.0,11797000.0
Cash Cash Equivalents And Short Term Investments,306895000.0,651946000.0,672999000.0,479685000.0
Cash And Cash Equivalents,306895000.0,651946000.0,672999000.0,479685000.0
