,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-6182654.0,-5819668.0,-5785062.0,-3609185.0,
Total Unusual Items,-10703598.0,-16807353.0,773286.0,125215.0,
Total Unusual Items Excluding Goodwill,-10703598.0,-16807353.0,773286.0,125215.0,
Net Income From Continuing Operation Net Minority Interest,-17531647.0,-28216352.0,62205.0,-2166570.0,
Reconciled Depreciation,900938.0,5361955.0,276763.0,0.0,
Reconciled Cost Of Revenue,3833684.0,10826620.0,403384.0,0.0,
EBITDA,-16886252.0,-22627021.0,-5011776.0,-3483970.0,
EBIT,-17787190.0,-27988976.0,-5288539.0,-3483970.0,
Net Interest Income,-1614633.0,-587727.0,-57566.0,-291008.0,
Interest Expense,497768.0,227376.0,54137.0,156048.0,
Interest Income,,,,1114.0,3048.0
Normalized Income,-6828049.0,-11408999.0,-711081.0,-2291785.0,
Net Income From Continuing And Discontinued Operation,-17531647.0,-28216352.0,3239390.0,-45609519.0,
Total Expenses,8855209.0,17082363.0,6250619.0,3474225.0,
Total Operating Income As Reported,-14835793.0,-28304640.0,-6108731.0,-3640018.0,
Diluted Average Shares,,3279049.0,2016459.0,1106479.0,747250.0
Basic Average Shares,,3279049.0,2016459.0,1106479.0,747250.0
Diluted EPS,,-8.61,-1.07,-42.55,-6.0
Basic EPS,,-8.61,-1.07,-42.55,-6.0
Diluted NI Availto Com Stockholders,-17531647.0,-28216352.0,3239390.0,-45609519.0,
Net Income Common Stockholders,-17531647.0,-28216352.0,3239390.0,-45609519.0,
Net Income,-17531647.0,-28216352.0,3239390.0,-45609519.0,
Minority Interests,753311.0,0.0,5404881.0,1473448.0,
Net Income Including Noncontrolling Interests,-18284958.0,-28216352.0,-2165491.0,-47082967.0,
Net Income Discontinuous Operations,0.0,0.0,3177185.0,-43442949.0,
Net Income Continuous Operations,-18284958.0,-28216352.0,-5342676.0,-3640018.0,
Tax Provision,0.0,0.0,0.0,0.0,
Pretax Income,-18284958.0,-28216352.0,-5342676.0,-3640018.0,
Other Income Expense,-10703598.0,-16807353.0,773158.0,125215.0,
Other Non Operating Income Expenses,,,-128.0,100.0,-89405.0
Special Income Charges,-8774917.0,-16807353.0,773286.0,125215.0,
Gain On Sale Of Ppe,94149.0,676015.0,0.0,0.0,
Other Special Charges,,,-823749.0,-125215.0,
Write Off,2396800.0,791565.0,50463.0,0.0,
Impairment Of Capital Assets,6472266.0,16691803.0,0.0,0.0,
Gain On Sale Of Security,-1928681.0,676015.0,,,
Net Non Operating Interest Income Expense,-1614633.0,-587727.0,-57566.0,-291008.0,
Total Other Finance Cost,1116865.0,360351.0,3429.0,134960.0,
Interest Expense Non Operating,497768.0,227376.0,54137.0,156048.0,
Interest Income Non Operating,,,,1114.0,3048.0
Operating Income,-5966727.0,-10821272.0,-6058268.0,-3474225.0,
Operating Expense,5021525.0,6255743.0,5847235.0,3474225.0,
Provision For Doubtful Accounts,1131988.0,3273860.0,0.0,0.0,
Selling General And Administration,3889537.0,2981883.0,5847235.0,3474225.0,
Selling And Marketing Expense,,,,238624.0,794193.0
General And Administrative Expense,3889537.0,2981883.0,5847235.0,3474225.0,
Other Gand A,3816307.0,2914612.0,4225149.0,1585052.0,
Salaries And Wages,73230.0,67271.0,1622086.0,1889173.0,
Gross Profit,-945202.0,-4565529.0,-211033.0,0.0,
Cost Of Revenue,3833684.0,10826620.0,403384.0,0.0,
Total Revenue,2888482.0,6261091.0,192351.0,0.0,
Operating Revenue,2888482.0,6261091.0,192351.0,0.0,
