,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.027204,0.10602,0.27,0.130222
Net Income From Continuing Operation Net Minority Interest,610522000.0,30506000.0,-28751000.0,143275000.0
Reconciled Depreciation,,4362000.0,3193000.0,10689000.0
Net Interest Income,-94605000.0,-74116000.0,-56454000.0,-39048000.0
Interest Expense,94605000.0,74116000.0,56454000.0,39048000.0
Interest Income,0.0,0.0,0.0,0.0
Normalized Income,610522000.0,30506000.0,-28751000.0,143275000.0
Net Income From Continuing And Discontinued Operation,610522000.0,30506000.0,-28751000.0,143275000.0
Diluted Average Shares,223014890.0,221802486.0,219049877.0,219635784.0
Basic Average Shares,218865816.0,218757232.0,219049877.0,218919822.0
Diluted EPS,2.74,0.14,-0.13,0.65
Basic EPS,2.79,0.14,-0.13,0.65
Diluted NI Availto Com Stockholders,610522000.0,30506000.0,-28751000.0,143275000.0
Net Income Common Stockholders,610522000.0,30506000.0,-28751000.0,143275000.0
Net Income,610522000.0,30506000.0,-28751000.0,143275000.0
Minority Interests,-107677000.0,-66953000.0,-21813000.0,-13700000.0
Net Income Including Noncontrolling Interests,718199000.0,97459000.0,-6938000.0,156975000.0
Net Income Continuous Operations,718199000.0,97459000.0,-6938000.0,156975000.0
Tax Provision,20084000.0,11558000.0,9727000.0,23502000.0
Pretax Income,738283000.0,109017000.0,2789000.0,180477000.0
Gain On Sale Of Security,1333262000.0,330811000.0,199411000.0,
Operating Expense,68787000.0,52351000.0,48881000.0,48200000.0
Other Operating Expenses,4530000.0,3273000.0,2193000.0,12851000.0
Depreciation And Amortization In Income Statement,,0.0,0.0,8703000.0
Amortization,,0.0,0.0,8703000.0
Depreciation Income Statement,,0.0,0.0,0.0
Selling General And Administration,64257000.0,49078000.0,46688000.0,39497000.0
General And Administrative Expense,64257000.0,49078000.0,46688000.0,39497000.0
Total Revenue,807070000.0,161368000.0,51670000.0,228677000.0
Operating Revenue,807070000.0,161368000.0,51670000.0,228677000.0
