,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,11375803.0,7418575.0,,
Share Issued,11375803.0,7418575.0,,
Net Debt,,,,54655000.0
Total Debt,37251000.0,49039000.0,36828000.0,54655000.0
Tangible Book Value,183633000.0,82136000.0,67733000.0,59722000.0
Invested Capital,236316000.0,146790000.0,120274000.0,128676000.0
Net Tangible Assets,183633000.0,82136000.0,67733000.0,59722000.0
Common Stock Equity,199065000.0,97751000.0,83446000.0,74021000.0
Total Capitalization,236316000.0,146790000.0,120274000.0,125676000.0
Total Equity Gross Minority Interest,199065000.0,97751000.0,83446000.0,74021000.0
Stockholders Equity,199065000.0,97751000.0,83446000.0,74021000.0
Other Equity Interest,-7328000.0,-2341000.0,-272000.0,
Gains Losses Not Affecting Retained Earnings,-1958000.0,-2341000.0,-96000.0,361000.0
Other Equity Adjustments,-1958000.0,-2341000.0,-96000.0,361000.0
Treasury Stock,,,0.0,1979000.0
Retained Earnings,97772000.0,84612000.0,74088000.0,64647000.0
Additional Paid In Capital,110465000.0,15406000.0,9383000.0,10919000.0
Capital Stock,114000.0,74000.0,71000.0,73000.0
Common Stock,114000.0,74000.0,71000.0,73000.0
Preferred Stock,0.0,0.0,,
Total Liabilities Net Minority Interest,686189000.0,747212000.0,731684000.0,741544000.0
Long Term Debt And Capital Lease Obligation,37251000.0,49039000.0,36828000.0,51655000.0
Long Term Debt,37251000.0,49039000.0,36828000.0,51655000.0
Current Debt And Capital Lease Obligation,,,0.0,3000000.0
Current Debt,,,0.0,3000000.0
Other Current Borrowings,,,0.0,3000000.0
Total Assets,885254000.0,844963000.0,815130000.0,815565000.0
Investments And Advances,45246000.0,43716000.0,41852000.0,35262000.0
Investmentin Financial Assets,44990000.0,43495000.0,41852000.0,35262000.0
Held To Maturity Securities,10209000.0,10461000.0,4059000.0,2799000.0
Available For Sale Securities,34781000.0,33034000.0,37793000.0,32463000.0
Long Term Equity Investment,256000.0,221000.0,0.0,
Goodwill And Other Intangible Assets,15432000.0,15615000.0,15713000.0,14299000.0
Other Intangible Assets,1012000.0,1195000.0,1293000.0,1469000.0
Goodwill,14420000.0,14420000.0,14420000.0,12830000.0
Net PPE,14250000.0,15176000.0,15050000.0,15482000.0
Accumulated Depreciation,-4893000.0,-4079000.0,-3299000.0,-2508000.0
Gross PPE,19143000.0,19255000.0,18349000.0,17990000.0
Leases,317000.0,306000.0,306000.0,301000.0
Machinery Furniture Equipment,3027000.0,2879000.0,2496000.0,2156000.0
Buildings And Improvements,12289000.0,12364000.0,11829000.0,11815000.0
Land And Improvements,3510000.0,3706000.0,3718000.0,3718000.0
Receivables,3279000.0,2952000.0,2583000.0,2936000.0
Accounts Receivable,3279000.0,2952000.0,2583000.0,2936000.0
Other Short Term Investments,34781000.0,33034000.0,37793000.0,32463000.0
Cash And Cash Equivalents,73742000.0,68652000.0,111190000.0,91990000.0
Cash Financial,9260000.0,12704000.0,8484000.0,10971000.0
Cash Cash Equivalents And Federal Funds Sold,73742000.0,68652000.0,111190000.0,91990000.0
