,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,7882616.0,7730699.0,7803166.0,7919278.0
Share Issued,7882616.0,7730699.0,7803166.0,7919278.0
Total Debt,159205000.0,158959000.0,84441000.0,200258000.0
Tangible Book Value,263163000.0,235880000.0,199398000.0,173937000.0
Invested Capital,424957000.0,397428000.0,286428000.0,376860000.0
Net Tangible Assets,263163000.0,235880000.0,199398000.0,173937000.0
Common Stock Equity,265752000.0,238469000.0,201987000.0,176602000.0
Total Capitalization,424957000.0,397428000.0,286428000.0,376860000.0
Total Equity Gross Minority Interest,265752000.0,238469000.0,201987000.0,176602000.0
Stockholders Equity,265752000.0,238469000.0,201987000.0,176602000.0
Gains Losses Not Affecting Retained Earnings,-1664000.0,-189000.0,-8561000.0,-15575000.0
Retained Earnings,149169000.0,123640000.0,92400000.0,70839000.0
Capital Stock,118247000.0,115018000.0,118148000.0,121338000.0
Common Stock,118247000.0,115018000.0,118148000.0,121338000.0
Total Liabilities Net Minority Interest,2949730000.0,3013980000.0,2254277000.0,2077145000.0
Long Term Debt And Capital Lease Obligation,159205000.0,158959000.0,84441000.0,200258000.0
Long Term Debt,159205000.0,158959000.0,84441000.0,200258000.0
Payables And Accrued Expenses,,54203000.0,45838000.0,49571000.0
Current Accrued Expenses,,54203000.0,45838000.0,49571000.0
Total Assets,3215482000.0,3252449000.0,2456264000.0,2253747000.0
Investments And Advances,127623000.0,121634000.0,108409000.0,106890000.0
Held To Maturity Securities,15817000.0,15983000.0,16043000.0,16078000.0
Available For Sale Securities,,1988000.0,2168000.0,2207000.0
Trading Securities,2070000.0,1988000.0,2168000.0,2207000.0
Goodwill And Other Intangible Assets,2589000.0,2589000.0,2589000.0,2665000.0
Other Intangible Assets,,,,76000.0
Goodwill,2589000.0,2589000.0,2589000.0,2589000.0
Net PPE,27018000.0,27199000.0,25588000.0,21762000.0
Accumulated Depreciation,-8369000.0,-7454000.0,-5802000.0,-9565000.0
Gross PPE,35387000.0,34653000.0,31390000.0,31327000.0
Leases,6543000.0,6935000.0,7133000.0,5418000.0
Other Properties,20002000.0,19422000.0,18156000.0,12239000.0
Machinery Furniture Equipment,2935000.0,2837000.0,2517000.0,2954000.0
Buildings And Improvements,5057000.0,4609000.0,2734000.0,9866000.0
Land And Improvements,850000.0,850000.0,850000.0,850000.0
Receivables,14863000.0,13070000.0,7512000.0,6579000.0
Accounts Receivable,14863000.0,13070000.0,7512000.0,6579000.0
Other Short Term Investments,109736000.0,103663000.0,90198000.0,88605000.0
Cash And Cash Equivalents,267521000.0,344925000.0,291598000.0,405340000.0
Cash Cash Equivalents And Federal Funds Sold,269157000.0,355679000.0,344682000.0,409598000.0
