,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,29704926.0,7358536.0,-52763477.0,12550902.0,
Net Interest Income,17957413.0,17871941.0,18216914.0,18752055.0,
Interest Expense,3697600.0,3391498.0,1195853.0,479888.0,
Interest Income,21655013.0,21263439.0,19412767.0,19231943.0,
Normalized Income,29704926.0,7358536.0,-52763477.0,12550902.0,
Net Income From Continuing And Discontinued Operation,29704926.0,7358536.0,-52763477.0,12550902.0,
Diluted Average Shares,,17112874.0,16803655.0,16734536.0,19630643.0
Basic Average Shares,,17112874.0,16803655.0,16734536.0,19630643.0
Diluted EPS,,0.43,-3.14,0.75,-0.28
Basic EPS,,0.43,-3.14,0.75,-0.28
Diluted NI Availto Com Stockholders,29704926.0,7358536.0,-52763477.0,12550902.0,
Net Income Common Stockholders,29704926.0,7358536.0,-52763477.0,12550902.0,
Net Income,29704926.0,7358536.0,-52763477.0,12550902.0,
Net Income Including Noncontrolling Interests,29704926.0,7358536.0,-52763477.0,12550902.0,
Net Income Continuous Operations,29704926.0,7358536.0,-52763477.0,12550902.0,
Pretax Income,29704926.0,7358536.0,-52763477.0,12550902.0,
Gain On Sale Of Security,-5455777.0,-22955280.0,-25279900.0,-16823077.0,
Operating Expense,2017460.0,2207337.0,2486034.0,3151327.0,
Other Operating Expenses,1496341.0,1732003.0,2033136.0,2763878.0,
Selling General And Administration,521119.0,475334.0,452898.0,387449.0,
General And Administrative Expense,521119.0,475334.0,452898.0,387449.0,
Total Revenue,31722386.0,9565873.0,-50277443.0,15702229.0,
Operating Revenue,31722386.0,9565873.0,-50277443.0,15702229.0,
