,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-12827430.0,-6784470.0,-12202920.0,-3431.917029
Tax Rate For Calcs,0.21,0.21,0.27,0.000167
Normalized EBITDA,178017000.0,119874000.0,110274000.0,39261000.0
Total Unusual Items,-61083000.0,-32307000.0,-45196000.0,-20516000.0
Total Unusual Items Excluding Goodwill,-61083000.0,-32307000.0,-45196000.0,-20516000.0
Net Income From Continuing Operation Net Minority Interest,-90141000.0,-41772000.0,-30646000.0,-15696000.0
Reconciled Depreciation,98402000.0,86358000.0,51508000.0,20167000.0
Reconciled Cost Of Revenue,911354000.0,719445000.0,400050000.0,174114000.0
EBITDA,116934000.0,87567000.0,65078000.0,18745000.0
EBIT,18532000.0,1209000.0,13570000.0,-1422000.0
Net Interest Income,-119465000.0,-71072000.0,-26899000.0,-7857000.0
Interest Expense,119465000.0,71072000.0,26899000.0,7857000.0
Normalized Income,-41885430.0,-16249470.0,2347080.0,4816568.082971
Net Income From Continuing And Discontinued Operation,-90141000.0,-41772000.0,-30646000.0,-15696000.0
Total Expenses,1189207000.0,968282000.0,546402000.0,233101000.0
Total Operating Income As Reported,-42551000.0,-31098000.0,-31626000.0,-21938000.0
Diluted Average Shares,60134776.0,56825348.0,47587866.0,27175705.0
Basic Average Shares,60134776.0,56825348.0,47587866.0,27175705.0
Diluted EPS,-1.5,-0.74,-0.64,-0.58
Basic EPS,-1.5,-0.74,-0.64,-0.58
Diluted NI Availto Com Stockholders,-90141000.0,-41772000.0,-30646000.0,-15696000.0
Net Income Common Stockholders,-90141000.0,-41772000.0,-30646000.0,-15696000.0
Net Income,-90141000.0,-41772000.0,-30646000.0,-15696000.0
Minority Interests,73878000.0,34976000.0,27474000.0,14189000.0
Net Income Including Noncontrolling Interests,-164019000.0,-76748000.0,-58120000.0,-29885000.0
Net Income Continuous Operations,-164019000.0,-76748000.0,-58120000.0,-29885000.0
Tax Provision,1285000.0,715000.0,19000.0,-5000.0
Pretax Income,-162734000.0,-76033000.0,-58101000.0,-29890000.0
Other Income Expense,-61801000.0,-6170000.0,-44772000.0,-20611000.0
Other Non Operating Income Expenses,-718000.0,26137000.0,424000.0,-95000.0
Special Income Charges,-61083000.0,-32307000.0,-45196000.0,-20516000.0
Restructuring And Mergern Acquisition,61083000.0,32307000.0,45196000.0,20516000.0
Net Non Operating Interest Income Expense,-119465000.0,-71072000.0,-26899000.0,-7857000.0
Total Other Finance Cost,119465000.0,71072000.0,26899000.0,7857000.0
Interest Expense Non Operating,119465000.0,71072000.0,26899000.0,7857000.0
Operating Income,18532000.0,1209000.0,13570000.0,-1422000.0
Operating Expense,277853000.0,248837000.0,146352000.0,58987000.0
Other Operating Expenses,179451000.0,162479000.0,94844000.0,38820000.0
Depreciation Amortization Depletion Income Statement,98402000.0,86358000.0,51508000.0,20167000.0
Depreciation And Amortization In Income Statement,98402000.0,86358000.0,51508000.0,20167000.0
Amortization,92704000.0,81738000.0,48720000.0,19038000.0
Amortization Of Intangibles Income Statement,92704000.0,81738000.0,48720000.0,19038000.0
Depreciation Income Statement,5698000.0,4620000.0,2788000.0,1129000.0
Selling General And Administration,,,,48060000.0
Gross Profit,296385000.0,250046000.0,159922000.0,57565000.0
Cost Of Revenue,911354000.0,719445000.0,400050000.0,174114000.0
Total Revenue,1207739000.0,969491000.0,559972000.0,231679000.0
Operating Revenue,1207739000.0,969491000.0,559972000.0,231679000.0
