,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-6392400.0,36000.0,2089896.0,1568821.0
Tax Rate For Calcs,0.21,0.25,0.248,0.149
Normalized EBITDA,168115000.0,464502000.0,459148000.0,160867000.0
Total Unusual Items,-30440000.0,144000.0,8427000.0,10529000.0
Total Unusual Items Excluding Goodwill,-30440000.0,144000.0,8427000.0,10529000.0
Net Income From Continuing Operation Net Minority Interest,48536000.0,296176000.0,296133000.0,80882000.0
Reconciled Depreciation,32043000.0,27613000.0,28192000.0,28901000.0
Reconciled Cost Of Revenue,2609364000.0,3617230000.0,3498751000.0,2619594000.0
EBITDA,137675000.0,464646000.0,467575000.0,171396000.0
EBIT,105632000.0,437033000.0,439383000.0,142495000.0
Net Interest Income,-23746000.0,-42272000.0,-45507000.0,-47414000.0
Interest Expense,23746000.0,42272000.0,45507000.0,47414000.0
Normalized Income,72583600.0,296068000.0,289795896.0,71921821.0
Net Income From Continuing And Discontinued Operation,48536000.0,296176000.0,296133000.0,80882000.0
Total Expenses,2997932000.0,4011271000.0,3847528000.0,2965616000.0
Total Operating Income As Reported,138449000.0,439087000.0,438077000.0,142241000.0
Diluted Average Shares,8994000.0,9398000.0,9874391.0,9459883.0
Basic Average Shares,8987000.0,9328000.0,9614708.0,9426807.0
Diluted EPS,5.39,31.51,29.99,8.55
Basic EPS,5.4,31.75,30.8,8.58
Diluted NI Availto Com Stockholders,48536000.0,296176000.0,296133000.0,80882000.0
Net Income Common Stockholders,48536000.0,296176000.0,296133000.0,80882000.0
Net Income,48536000.0,296176000.0,296133000.0,80882000.0
Net Income Including Noncontrolling Interests,48536000.0,296176000.0,296133000.0,80882000.0
Net Income Continuous Operations,48536000.0,296176000.0,296133000.0,80882000.0
Tax Provision,33350000.0,98585000.0,97743000.0,14199000.0
Pretax Income,81886000.0,394761000.0,393876000.0,95081000.0
Other Income Expense,-32817000.0,-1910000.0,9733000.0,10783000.0
Other Non Operating Income Expenses,-2377000.0,-2054000.0,1306000.0,254000.0
Special Income Charges,-30440000.0,144000.0,8427000.0,10529000.0
Gain On Sale Of Ppe,0.0,144000.0,8427000.0,10529000.0
Other Special Charges,30440000.0,,,
Gain On Sale Of Security,,3934000.0,3935000.0,4008000.0
Net Non Operating Interest Income Expense,-23746000.0,-42272000.0,-45507000.0,-47414000.0
Interest Expense Non Operating,23746000.0,42272000.0,45507000.0,47414000.0
Operating Income,138449000.0,438943000.0,429650000.0,131712000.0
Operating Expense,388568000.0,394041000.0,348777000.0,346022000.0
Other Operating Expenses,706000.0,123000.0,-1620000.0,2893000.0
Depreciation Amortization Depletion Income Statement,32043000.0,27613000.0,28192000.0,28901000.0
Depreciation And Amortization In Income Statement,32043000.0,27613000.0,28192000.0,28901000.0
Selling General And Administration,355819000.0,366305000.0,322205000.0,314228000.0
Gross Profit,527017000.0,832984000.0,778427000.0,477734000.0
Cost Of Revenue,2609364000.0,3617230000.0,3498751000.0,2619594000.0
Total Revenue,3136381000.0,4450214000.0,4277178000.0,3097328000.0
Operating Revenue,3198270000.0,4530762000.0,4346148000.0,3143500000.0
