,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,458841000.0,396825000.0,382483000.0,336607000.0
Repayment Of Debt,-3418456000.0,-4389087000.0,-8974653000.0,-5083353000.0
Issuance Of Debt,2029610000.0,7400575000.0,14249979000.0,5097107000.0
Issuance Of Capital Stock,0.0,70651000.0,638005000.0,278322000.0
Interest Paid Supplemental Data,1292958000.0,608259000.0,287715000.0,312093000.0
Income Tax Paid Supplemental Data,6668000.0,676000.0,,232000.0
End Cash Position,350014000.0,291340000.0,551154000.0,289970000.0
Beginning Cash Position,291340000.0,551154000.0,289970000.0,150090000.0
Effect Of Exchange Rate Changes,3699000.0,-10328000.0,-2062000.0,2293000.0
Changes In Cash,54975000.0,-249486000.0,263246000.0,137587000.0
Financing Cash Flow,-1847943000.0,2607224000.0,5508224000.0,-110769000.0
Cash Flow From Continuing Financing Activities,-1847943000.0,2607224000.0,5508224000.0,-110769000.0
Net Other Financing Charges,-32170000.0,-53529000.0,-34445000.0,-53938000.0
Cash Dividends Paid,-426927000.0,-421386000.0,-370662000.0,-348907000.0
Common Stock Dividend Paid,-426927000.0,-421386000.0,-370662000.0,-348907000.0
Net Common Stock Issuance,0.0,70651000.0,638005000.0,278322000.0
Common Stock Issuance,0.0,70651000.0,638005000.0,278322000.0
Net Issuance Payments Of Debt,-1388846000.0,3011488000.0,5275326000.0,13754000.0
Net Long Term Debt Issuance,-1388846000.0,3011488000.0,5275326000.0,13754000.0
Long Term Debt Payments,-3418456000.0,-4389087000.0,-8974653000.0,-5083353000.0
Long Term Debt Issuance,2029610000.0,7400575000.0,14249979000.0,5097107000.0
Investing Cash Flow,1444077000.0,-3253535000.0,-5627461000.0,-88251000.0
Cash Flow From Continuing Investing Activities,1444077000.0,-3253535000.0,-5627461000.0,-88251000.0
Net Other Investing Changes,-390000.0,-103110000.0,51050000.0,-20250000.0
Net Investment Purchase And Sale,-69862000.0,330268000.0,-1389000.0,-43003000.0
Sale Of Investment,163682000.0,353325000.0,76383000.0,90427000.0
Purchase Of Investment,-233544000.0,-23057000.0,-77772000.0,-133430000.0
Operating Cash Flow,458841000.0,396825000.0,382483000.0,336607000.0
Cash Flow From Continuing Operating Activities,458841000.0,396825000.0,382483000.0,336607000.0
Change In Working Capital,-14423000.0,-47444000.0,3240000.0,-2959000.0
Change In Other Current Liabilities,6243000.0,58928000.0,24856000.0,-6311000.0
Change In Other Current Assets,-20666000.0,-106372000.0,-21616000.0,3352000.0
Other Non Cash Items,-2865000.0,,,37403000.0
Stock Based Compensation,30655000.0,33414000.0,31647000.0,53809000.0
Unrealized Gain Loss On Investment Securities,,,,-4233000.0
Operating Gains Losses,-30049000.0,-19979000.0,-6910000.0,-2869000.0
Net Foreign Currency Exchange Gain Loss,0.0,-31000.0,-6866000.0,-3366000.0
Net Income From Continuing Operations,249897000.0,251057000.0,422273000.0,140414000.0
