,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,458815000.0,672948000.0,-3828514000.0,-2320165000.0
Repurchase Of Capital Stock,,-263017000.0,0.0,
Repayment Of Debt,-2091209000.0,-877152000.0,-2780121000.0,-1947550000.0
Issuance Of Debt,1440343000.0,920827000.0,5778952000.0,2992142000.0
Issuance Of Capital Stock,665260000.0,0.0,981102000.0,1582509000.0
Interest Paid Supplemental Data,,,,51918000.0
End Cash Position,154857000.0,131272000.0,102879000.0,217993000.0
Beginning Cash Position,131272000.0,102879000.0,217993000.0,65495000.0
Effect Of Exchange Rate Changes,-3069000.0,3624000.0,0.0,0.0
Changes In Cash,26654000.0,24769000.0,-115114000.0,152498000.0
Financing Cash Flow,-432161000.0,-648179000.0,3713400000.0,2472663000.0
Cash Flow From Continuing Financing Activities,,,,2472663000.0
Net Other Financing Charges,0.0,-263017000.0,0.0,0.0
Cash Dividends Paid,-437966000.0,-423441000.0,-253776000.0,-145122000.0
Common Stock Dividend Paid,-437966000.0,-423441000.0,-253776000.0,-145122000.0
Net Common Stock Issuance,665260000.0,0.0,981102000.0,1582509000.0
Common Stock Payments,,-263017000.0,0.0,
Common Stock Issuance,665260000.0,0.0,981102000.0,1582509000.0
Net Issuance Payments Of Debt,-650866000.0,43675000.0,2998831000.0,1044592000.0
Net Long Term Debt Issuance,-650866000.0,43675000.0,2998831000.0,1044592000.0
Long Term Debt Payments,-2091209000.0,-877152000.0,-2780121000.0,-1947550000.0
Long Term Debt Issuance,1440343000.0,920827000.0,5778952000.0,2992142000.0
Operating Cash Flow,458815000.0,672948000.0,-3828514000.0,-2320165000.0
Cash Flow From Continuing Operating Activities,,,,-2320165000.0
Change In Working Capital,53771000.0,44577000.0,-24892000.0,-54317000.0
Change In Other Current Liabilities,0.0,0.0,0.0,0.0
Change In Other Current Assets,0.0,194000.0,384000.0,4000.0
Change In Payables And Accrued Expense,,,,61956000.0
Change In Accrued Expense,11966000.0,-2244000.0,2529000.0,-217000.0
Change In Interest Payable,,,,9219000.0
Change In Payable,-10467000.0,-11767000.0,41739000.0,62173000.0
Change In Account Payable,,,,11008000.0
Change In Receivables,52272000.0,58394000.0,-69544000.0,-116277000.0
Other Non Cash Items,-89616000.0,-73340000.0,-62173000.0,-51046000.0
Unrealized Gain Loss On Investment Securities,,,,16593000.0
Amortization Of Securities,,,,-50058000.0
Operating Gains Losses,,,,4367000.0
Gain Loss On Investment Securities,-121023000.0,301499000.0,-4202420000.0,-2433429000.0
Net Foreign Currency Exchange Gain Loss,3732000.0,-4344000.0,549000.0,-11000.0
Net Income From Continuing Operations,611951000.0,404556000.0,460422000.0,218638000.0
