,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3832675000.0,6100756000.0,3921672000.0,1824295000.0
Repurchase Of Capital Stock,-418024000.0,-465956000.0,-1272774000.0,-504912000.0
Repayment Of Debt,-502460000.0,-280768000.0,0.0,-1889000.0
Issuance Of Debt,494975000.0,3521544000.0,2222544000.0,888636000.0
Capital Expenditure,-224231000.0,-235497000.0,-64316000.0,-111650000.0
End Cash Position,3272063000.0,4493715000.0,2199732000.0,2064456000.0
Beginning Cash Position,4493715000.0,2199732000.0,2064456000.0,2523651000.0
Effect Of Exchange Rate Changes,4988000.0,-12318000.0,-9806000.0,15716000.0
Changes In Cash,-1226640000.0,2306301000.0,145082000.0,-474911000.0
Financing Cash Flow,-5053895000.0,-3794455000.0,-3776590000.0,-2244036000.0
Net Other Financing Charges,-359939000.0,-50490000.0,-123786000.0,-240295000.0
Cash Dividends Paid,-4268447000.0,-6518785000.0,-4602574000.0,-2385576000.0
Common Stock Dividend Paid,-4268447000.0,-6518785000.0,-4602574000.0,-2385576000.0
Net Common Stock Issuance,-418024000.0,-465956000.0,-1272774000.0,-504912000.0
Common Stock Payments,-418024000.0,-465956000.0,-1272774000.0,-504912000.0
Net Issuance Payments Of Debt,-7485000.0,3240776000.0,2222544000.0,886747000.0
Net Long Term Debt Issuance,-7485000.0,3240776000.0,2222544000.0,886747000.0
Long Term Debt Payments,-502460000.0,-280768000.0,0.0,-1889000.0
Long Term Debt Issuance,494975000.0,3521544000.0,2222544000.0,888636000.0
Investing Cash Flow,-229651000.0,-235497000.0,-64316000.0,-166820000.0
Net Business Purchase And Sale,-5420000.0,0.0,0.0,-55170000.0
Purchase Of Business,-5420000.0,0.0,0.0,-55170000.0
Net PPE Purchase And Sale,-224231000.0,-235497000.0,-64316000.0,-111650000.0
Purchase Of PPE,-224231000.0,-235497000.0,-64316000.0,-111650000.0
Operating Cash Flow,4056906000.0,6336253000.0,3985988000.0,1935945000.0
Change In Working Capital,-617751000.0,-1085148000.0,-2340830000.0,-1641707000.0
Change In Other Current Liabilities,0.0,0.0,0.0,-104150000.0
Change In Other Current Assets,-160888000.0,4938000.0,-4792000.0,-280248000.0
Change In Accrued Expense,-1071559000.0,-2197446000.0,-1692562000.0,-1077195000.0
Change In Payable,45450000.0,275238000.0,192885000.0,152321000.0
Change In Receivables,569246000.0,832122000.0,-836361000.0,-332435000.0
Other Non Cash Items,2317351000.0,3871633000.0,-1956125000.0,1597175000.0
Depreciation And Amortization,40075000.0,67097000.0,74871000.0,71053000.0
Amortization Cash Flow,40075000.0,67097000.0,74871000.0,71053000.0
Depreciation,0.0,0.0,0.0,0.0
Gain Loss On Investment Securities,-127022000.0,493762000.0,-4166923000.0,-352082000.0
Net Income From Continuing Operations,2444253000.0,2988909000.0,12374995000.0,2261506000.0
