,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,64624140.0,63773982.0,63400899.0,62820351.0
Share Issued,64624140.0,63773982.0,63400899.0,62820351.0
Net Debt,947037000.0,823686000.0,396380000.0,
Total Debt,1217141000.0,1193743000.0,1157173000.0,40108000.0
Tangible Book Value,-513368000.0,-203548000.0,132495000.0,367097000.0
Invested Capital,624174000.0,930060000.0,1262169000.0,392097000.0
Working Capital,298490000.0,530618000.0,957859000.0,243259000.0
Net Tangible Assets,-513368000.0,-203548000.0,132495000.0,367097000.0
Capital Lease Obligations,79599000.0,60135000.0,27499000.0,15108000.0
Common Stock Equity,-513368000.0,-203548000.0,132495000.0,367097000.0
Total Capitalization,624174000.0,930060000.0,1262169000.0,367097000.0
Total Equity Gross Minority Interest,-513368000.0,-203548000.0,132495000.0,367097000.0
Stockholders Equity,-513368000.0,-203548000.0,132495000.0,367097000.0
Gains Losses Not Affecting Retained Earnings,-5249000.0,-4802000.0,-553000.0,1748000.0
Other Equity Adjustments,-5249000.0,-4802000.0,-553000.0,1748000.0
Retained Earnings,-1081253000.0,-743109000.0,-376972000.0,-194867000.0
Additional Paid In Capital,573128000.0,544357000.0,510014000.0,560210000.0
Capital Stock,6000.0,6000.0,6000.0,6000.0
Common Stock,6000.0,6000.0,6000.0,6000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1287818000.0,1265772000.0,1246904000.0,100909000.0
Total Non Current Liabilities Net Minority Interest,1213464000.0,1189931000.0,1152715000.0,11942000.0
Long Term Debt And Capital Lease Obligation,1213464000.0,1189931000.0,1152715000.0,11942000.0
Long Term Capital Lease Obligation,75922000.0,56323000.0,23041000.0,11942000.0
Long Term Debt,1137542000.0,1133608000.0,1129674000.0,
Current Liabilities,74354000.0,75841000.0,94189000.0,88967000.0
Current Debt And Capital Lease Obligation,3677000.0,3812000.0,4458000.0,28166000.0
Current Capital Lease Obligation,3677000.0,3812000.0,4458000.0,3166000.0
Current Debt,,,,25000000.0
Other Current Borrowings,,,,25000000.0
Line Of Credit,,,,25000000.0
Pensionand Other Post Retirement Benefit Plans Current,4790000.0,0.0,128000.0,57000.0
Payables And Accrued Expenses,65887000.0,72029000.0,89731000.0,60744000.0
Current Accrued Expenses,9855000.0,16729000.0,20691000.0,4830000.0
Payables,56032000.0,55300000.0,69040000.0,55914000.0
Other Payable,,,155000.0,2843000.0
Accounts Payable,56032000.0,55300000.0,69040000.0,53071000.0
Total Assets,774450000.0,1062224000.0,1379399000.0,468006000.0
Total Non Current Assets,401606000.0,455765000.0,327351000.0,135780000.0
Other Non Current Assets,13792000.0,23371000.0,6836000.0,5911000.0
Non Current Prepaid Assets,,,59188000.0,0.0
Investments And Advances,1673000.0,2325000.0,8023000.0,0.0
Long Term Equity Investment,1673000.0,2325000.0,8023000.0,0.0
Investmentsin Joint Venturesat Cost,1673000.0,2325000.0,8023000.0,0.0
Net PPE,386141000.0,430069000.0,312492000.0,129869000.0
Accumulated Depreciation,-92205000.0,-80411000.0,-53452000.0,-33158000.0
Gross PPE,478346000.0,510480000.0,365944000.0,163027000.0
Leases,23898000.0,22740000.0,20250000.0,9277000.0
Construction In Progress,61635000.0,85472000.0,59188000.0,0.0
Other Properties,359291000.0,370320000.0,255386000.0,135793000.0
Machinery Furniture Equipment,5231000.0,3827000.0,2749000.0,1393000.0
Buildings And Improvements,22813000.0,22675000.0,22937000.0,12569000.0
Land And Improvements,5478000.0,5446000.0,5434000.0,3995000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,372844000.0,606459000.0,1052048000.0,332226000.0
Other Current Assets,12904000.0,20700000.0,33078000.0,15407000.0
Assets Held For Sale Current,4539000.0,5943000.0,0.0,
Restricted Cash,2830000.0,0.0,,
Prepaid Assets,,,33078000.0,15407000.0
Inventory,130336000.0,235696000.0,241870000.0,121717000.0
Finished Goods,31636000.0,59186000.0,61669000.0,25128000.0
Work In Process,37329000.0,37001000.0,50227000.0,12887000.0
Raw Materials,61371000.0,139509000.0,129974000.0,83702000.0
Receivables,31730000.0,34198000.0,43806000.0,35975000.0
Accounts Receivable,31730000.0,34198000.0,43806000.0,35975000.0
Allowance For Doubtful Accounts Receivable,-1500000.0,-1400000.0,-1300000.0,0.0
Gross Accounts Receivable,33230000.0,35598000.0,45106000.0,35975000.0
Cash Cash Equivalents And Short Term Investments,190505000.0,309922000.0,733294000.0,159127000.0
Cash And Cash Equivalents,190505000.0,309922000.0,733294000.0,159127000.0
