,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-3294146.0,-836512.0,-50000.0,0.0
Repurchase Of Capital Stock,-145584637.0,0.0,,
Repayment Of Debt,0.0,-443094.0,0.0,
Issuance Of Debt,4935000.0,0.0,144414.0,178407.0
Issuance Of Capital Stock,0.0,178453866.0,0.0,
End Cash Position,2306735.0,936061.0,631.0,0.0
Beginning Cash Position,936061.0,631.0,0.0,0.0
Changes In Cash,1370674.0,935430.0,631.0,
Financing Cash Flow,-140649637.0,177712282.0,50631.0,0.0
Cash Flow From Continuing Financing Activities,-140649637.0,177712282.0,50631.0,0.0
Net Other Financing Charges,,-298490.0,-93783.0,-178407.0
Net Common Stock Issuance,-145584637.0,178453866.0,0.0,
Common Stock Payments,-145584637.0,0.0,,
Common Stock Issuance,0.0,178453866.0,0.0,
Net Issuance Payments Of Debt,4935000.0,-443094.0,144414.0,178407.0
Net Short Term Debt Issuance,4935000.0,-443094.0,144414.0,178407.0
Short Term Debt Payments,0.0,-443094.0,0.0,
Short Term Debt Issuance,4935000.0,0.0,144414.0,178407.0
Net Long Term Debt Issuance,,,144414.0,178407.0
Long Term Debt Issuance,,,144414.0,178407.0
Investing Cash Flow,145314457.0,-175940340.0,0.0,
Cash Flow From Continuing Investing Activities,145314457.0,-175940340.0,0.0,
Net Other Investing Changes,145314457.0,-175940340.0,,
Operating Cash Flow,-3294146.0,-836512.0,-50000.0,0.0
Cash Flow From Continuing Operating Activities,-3294146.0,-836512.0,-50000.0,0.0
Change In Working Capital,-466291.0,621935.0,16287.0,223.0
Change In Other Working Capital,,127030.0,,
Change In Other Current Liabilities,,0.0,5497.0,150.0
Change In Payables And Accrued Expense,-651397.0,841859.0,10790.0,73.0
Change In Accrued Expense,-167648.0,208967.0,-4356.0,73.0
Change In Payable,-483749.0,632892.0,15146.0,
Change In Tax Payable,-553749.0,595465.0,5073.0,0.0
Change In Income Tax Payable,-553749.0,595465.0,5073.0,0.0
Change In Prepaid Assets,185106.0,-219924.0,0.0,
Other Non Cash Items,-6573440.0,-2141392.0,,
Unrealized Gain Loss On Investment Securities,428980.0,-604902.0,0.0,
Deferred Tax,-90084.0,127030.0,,
Deferred Income Tax,-90084.0,127030.0,,
Net Income From Continuing Operations,3406689.0,1160817.0,-66287.0,-223.0
