,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,10276272.0,23940000.0,23000000.0,23000000.0
Share Issued,10276272.0,23940000.0,23000000.0,23000000.0
Net Debt,2628265.0,,442463.0,298680.0
Total Debt,4935000.0,47500.0,443094.0,298680.0
Tangible Book Value,28981290.0,172615084.0,-42960.0,23327.0
Invested Capital,33916290.0,172615084.0,400134.0,322007.0
Working Capital,-4322847.0,140950.0,-718294.0,-357178.0
Net Tangible Assets,28981290.0,172615084.0,-42960.0,23327.0
Common Stock Equity,28981290.0,172615084.0,-42960.0,23327.0
Total Capitalization,28981290.0,172615084.0,-42960.0,23327.0
Total Equity Gross Minority Interest,28981290.0,172615084.0,-42960.0,23327.0
Stockholders Equity,28981290.0,172615084.0,-42960.0,23327.0
Retained Earnings,-10443733.0,-5337938.0,-67960.0,-1673.0
Additional Paid In Capital,0.0,0.0,24425.0,24425.0
Capital Stock,39425023.0,177953022.0,575.0,575.0
Common Stock,39425023.0,177953022.0,575.0,575.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,12876900.0,7227535.0,718925.0,357178.0
Total Non Current Liabilities Net Minority Interest,6212500.0,6212500.0,0.0,0.0
Non Current Deferred Liabilities,6212500.0,6212500.0,0.0,
Current Liabilities,6664400.0,1015035.0,718925.0,357178.0
Current Deferred Liabilities,36946.0,127030.0,0.0,
Current Deferred Taxes Liabilities,36946.0,127030.0,0.0,
Current Debt And Capital Lease Obligation,4935000.0,47500.0,443094.0,298680.0
Current Debt,4935000.0,47500.0,443094.0,298680.0
Other Current Borrowings,4935000.0,47500.0,443094.0,298680.0
Current Notes Payable,,,443094.0,298680.0
Payables And Accrued Expenses,1692454.0,888005.0,275831.0,58498.0
Current Accrued Expenses,72319.0,239967.0,260685.0,58498.0
Payables,1620135.0,648038.0,15146.0,
Dueto Related Parties Current,117500.0,47500.0,10073.0,0.0
Total Tax Payable,1502635.0,600538.0,5073.0,0.0
Total Assets,41858190.0,179842619.0,675965.0,380505.0
Total Non Current Assets,39516637.0,178686634.0,675334.0,380505.0
Other Non Current Assets,39516637.0,178686634.0,,
Non Current Deferred Assets,,0.0,675334.0,380505.0
Current Assets,2341553.0,1155985.0,631.0,0.0
Other Current Assets,34818.0,219924.0,,
Cash Cash Equivalents And Short Term Investments,2306735.0,936061.0,631.0,0.0
Cash And Cash Equivalents,2306735.0,936061.0,631.0,0.0
Cash Financial,2306735.0,936061.0,631.0,0.0
