,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-63583000.0,-27434000.0,67302000.0,181600000.0
Repurchase Of Capital Stock,0.0,-80117000.0,0.0,0.0
Repayment Of Debt,-3606000.0,-3447000.0,-3030000.0,-2635000.0
Issuance Of Debt,,0.0,0.0,47500000.0
Issuance Of Capital Stock,,0.0,0.0,195540000.0
Capital Expenditure,-44997000.0,-14899000.0,-13617000.0,-14874000.0
Interest Paid Supplemental Data,1598000.0,1777000.0,1775000.0,1808000.0
Income Tax Paid Supplemental Data,556000.0,2562000.0,2262000.0,1452000.0
End Cash Position,302749000.0,371457000.0,503366000.0,496622000.0
Other Cash Adjustment Outside Changein Cash,0.0,0.0,0.0,-22559000.0
Beginning Cash Position,371457000.0,503366000.0,519181000.0,114898000.0
Changes In Cash,-68708000.0,-131909000.0,-15815000.0,404283000.0
Financing Cash Flow,-5492000.0,-86340000.0,-10598000.0,231364000.0
Cash From Discontinued Financing Activities,0.0,0.0,2085000.0,0.0
Cash Flow From Continuing Financing Activities,-5492000.0,-86340000.0,-12683000.0,231364000.0
Net Other Financing Charges,-3799000.0,-3700000.0,-9653000.0,-9041000.0
Proceeds From Stock Option Exercised,1913000.0,924000.0,0.0,0.0
Net Common Stock Issuance,0.0,-80117000.0,0.0,195540000.0
Common Stock Payments,0.0,-80117000.0,0.0,0.0
Common Stock Issuance,,0.0,0.0,195540000.0
Net Issuance Payments Of Debt,-3606000.0,-3447000.0,-3030000.0,44865000.0
Net Long Term Debt Issuance,-3606000.0,-3447000.0,-3030000.0,44865000.0
Long Term Debt Payments,-3606000.0,-3447000.0,-3030000.0,-2635000.0
Long Term Debt Issuance,,0.0,0.0,47500000.0
Investing Cash Flow,-44630000.0,-33034000.0,-86136000.0,-23555000.0
Cash From Discontinued Investing Activities,0.0,0.0,-29703000.0,-8284000.0
Cash Flow From Continuing Investing Activities,-44630000.0,-33034000.0,-56433000.0,-15271000.0
Net Other Investing Changes,-9441000.0,-439000.0,-1694000.0,-397000.0
Dividends Received Cfi,4000.0,1224000.0,0.0,0.0
Net Investment Purchase And Sale,9804000.0,-18920000.0,-41122000.0,0.0
Sale Of Investment,9804000.0,0.0,0.0,6306000.0
Purchase Of Investment,0.0,-18920000.0,-41122000.0,0.0
Net Business Purchase And Sale,,,,-4045000.0
Sale Of Business,,,,11000.0
Purchase Of Business,,,,-4056000.0
Net Intangibles Purchase And Sale,-25816000.0,0.0,0.0,0.0
Purchase Of Intangibles,-25816000.0,0.0,0.0,0.0
Net PPE Purchase And Sale,,,,-19132000.0
Purchase Of PPE,,,,-19132000.0
Capital Expenditure Reported,-19181000.0,-14899000.0,-13617000.0,-14874000.0
Operating Cash Flow,-18586000.0,-12535000.0,80919000.0,196474000.0
Cash From Discontinued Operating Activities,0.0,0.0,-17128000.0,-30152000.0
Cash Flow From Continuing Operating Activities,-18586000.0,-12535000.0,98047000.0,226626000.0
Change In Working Capital,41480000.0,-80331000.0,-43585000.0,97418000.0
Change In Other Working Capital,5117000.0,-14907000.0,-12778000.0,31049000.0
Change In Other Current Liabilities,475000.0,-5354000.0,-5411000.0,-4226000.0
Change In Other Current Assets,-757000.0,-1116000.0,-1755000.0,-264000.0
Change In Payables And Accrued Expense,42997000.0,-65446000.0,-29382000.0,83335000.0
Change In Accrued Expense,10442000.0,-36625000.0,-21595000.0,48907000.0
Change In Payable,32555000.0,-28821000.0,-7787000.0,34428000.0
Change In Account Payable,32555000.0,-28821000.0,-7787000.0,34428000.0
Change In Prepaid Assets,1889000.0,4076000.0,2958000.0,-5358000.0
Change In Inventory,-6514000.0,-1389000.0,1106000.0,-403000.0
Change In Receivables,-1727000.0,3805000.0,1677000.0,-6715000.0
Changes In Account Receivables,-1727000.0,3805000.0,1677000.0,-6715000.0
Other Non Cash Items,4044000.0,5489000.0,-210688000.0,53385000.0
Stock Based Compensation,23018000.0,18318000.0,11133000.0,7841000.0
Asset Impairment Charge,25875000.0,0.0,0.0,1518000.0
Deferred Tax,41349000.0,-1404000.0,-53829000.0,35000.0
Deferred Income Tax,41349000.0,-1404000.0,-53829000.0,35000.0
Depreciation Amortization Depletion,19447000.0,16706000.0,18564000.0,21776000.0
Depreciation And Amortization,19447000.0,16706000.0,18564000.0,21776000.0
Operating Gains Losses,134043000.0,63923000.0,-12585000.0,3054000.0
Earnings Losses From Equity Investments,140404000.0,63923000.0,-12585000.0,0.0
Gain Loss On Investment Securities,,,,-700000.0
Gain Loss On Sale Of PPE,-6361000.0,0.0,0.0,
Gain Loss On Sale Of Business,,,,-10705000.0
Net Income From Continuing Operations,-307842000.0,-35236000.0,389037000.0,46171000.0
