,2023-12-31,2022-12-31
Ordinary Shares Number,98118823.0,98118823.0
Share Issued,98118823.0,98118823.0
Net Debt,34242000.0,
Total Debt,39815000.0,4806000.0
Tangible Book Value,-226560000.0,-70539000.0
Invested Capital,-189105000.0,-67400000.0
Working Capital,-34827000.0,-7563000.0
Net Tangible Assets,-226560000.0,-70539000.0
Capital Lease Obligations,2360000.0,1667000.0
Common Stock Equity,-226560000.0,-70539000.0
Total Capitalization,-208496000.0,-67400000.0
Total Equity Gross Minority Interest,-226560000.0,-70539000.0
Stockholders Equity,-226560000.0,-70539000.0
Treasury Stock,0.0,0.0
Retained Earnings,-368056000.0,-280467000.0
Additional Paid In Capital,141496000.0,209928000.0
Capital Stock,0.0,0.0
Common Stock,0.0,0.0
Total Liabilities Net Minority Interest,245199000.0,89817000.0
Total Non Current Liabilities Net Minority Interest,197323000.0,69593000.0
Other Non Current Liabilities,24000.0,24000.0
Preferred Securities Outside Stock Equity,173347000.0,64020000.0
Derivative Product Liabilities,3730000.0,529000.0
Non Current Deferred Liabilities,367000.0,1100000.0
Non Current Deferred Revenue,367000.0,1100000.0
Long Term Debt And Capital Lease Obligation,19855000.0,3920000.0
Long Term Capital Lease Obligation,1791000.0,781000.0
Long Term Debt,18064000.0,3139000.0
Current Liabilities,47876000.0,20224000.0
Other Current Liabilities,301000.0,456000.0
Current Deferred Liabilities,733000.0,730000.0
Current Deferred Revenue,733000.0,730000.0
Current Debt And Capital Lease Obligation,19960000.0,886000.0
Current Capital Lease Obligation,569000.0,886000.0
Current Debt,19391000.0,
Other Current Borrowings,14641000.0,
Current Notes Payable,4750000.0,0.0
Pensionand Other Post Retirement Benefit Plans Current,1610000.0,1586000.0
Payables And Accrued Expenses,25272000.0,16566000.0
Current Accrued Expenses,10131000.0,7062000.0
Payables,15141000.0,9504000.0
Other Payable,215000.0,189000.0
Total Tax Payable,1000.0,591000.0
Income Tax Payable,1000.0,591000.0
Accounts Payable,14925000.0,8724000.0
Total Assets,18639000.0,19278000.0
Total Non Current Assets,5590000.0,6617000.0
Other Non Current Assets,579000.0,643000.0
Non Current Deferred Assets,1033000.0,926000.0
Non Current Deferred Taxes Assets,1033000.0,926000.0
Net PPE,3978000.0,5048000.0
Accumulated Depreciation,-18503000.0,-16523000.0
Gross PPE,22481000.0,21571000.0
Leases,1594000.0,1606000.0
Other Properties,2423000.0,1673000.0
Machinery Furniture Equipment,18464000.0,18292000.0
Properties,0.0,0.0
Current Assets,13049000.0,12661000.0
Other Current Assets,677000.0,965000.0
Current Deferred Assets,1491000.0,0.0
Prepaid Assets,227000.0,337000.0
Inventory,6522000.0,4336000.0
Finished Goods,16000.0,33000.0
Work In Process,1542000.0,874000.0
Raw Materials,4964000.0,3429000.0
Receivables,919000.0,2110000.0
Other Receivables,441000.0,210000.0
Accounts Receivable,478000.0,1900000.0
Cash Cash Equivalents And Short Term Investments,3213000.0,4913000.0
Cash And Cash Equivalents,3213000.0,4913000.0
Cash Financial,3213000.0,4913000.0
