,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-21001000.0,-25642000.0,-15225000.0,13015000.0
Repurchase Of Capital Stock,,-1698000.0,0.0,0.0
Repayment Of Debt,-1796000.0,0.0,-1306000.0,-217982000.0
Issuance Of Debt,2128000.0,5000000.0,152806000.0,237278000.0
Issuance Of Capital Stock,902000.0,0.0,35000000.0,0.0
Capital Expenditure,-14898000.0,-17785000.0,-16022000.0,-14538000.0
Interest Paid Supplemental Data,,,901000.0,1096000.0
Income Tax Paid Supplemental Data,,,1228000.0,83000.0
End Cash Position,35637000.0,55774000.0,79733000.0,106126000.0
Beginning Cash Position,55774000.0,79733000.0,106126000.0,74024000.0
Effect Of Exchange Rate Changes,-123000.0,-1993000.0,-985000.0,-103000.0
Changes In Cash,-20014000.0,-21966000.0,-25408000.0,32205000.0
Financing Cash Flow,812000.0,3176000.0,181823000.0,19455000.0
Cash Flow From Continuing Financing Activities,812000.0,3176000.0,181823000.0,19455000.0
Net Other Financing Charges,-451000.0,-2283000.0,-11652000.0,
Proceeds From Stock Option Exercised,29000.0,459000.0,6975000.0,159000.0
Net Common Stock Issuance,902000.0,0.0,35000000.0,0.0
Common Stock Payments,,-1698000.0,0.0,0.0
Common Stock Issuance,902000.0,0.0,35000000.0,0.0
Net Issuance Payments Of Debt,332000.0,5000000.0,151500000.0,19296000.0
Net Short Term Debt Issuance,332000.0,5000000.0,7694000.0,19896000.0
Short Term Debt Payments,-1796000.0,0.0,-1306000.0,0.0
Short Term Debt Issuance,2128000.0,5000000.0,9000000.0,19896000.0
Net Long Term Debt Issuance,0.0,0.0,143806000.0,-600000.0
Long Term Debt Payments,,0.0,0.0,-217982000.0
Long Term Debt Issuance,0.0,0.0,143806000.0,217382000.0
Investing Cash Flow,-14723000.0,-17285000.0,-208028000.0,-14803000.0
Cash From Discontinued Investing Activities,0.0,0.0,0.0,
Cash Flow From Continuing Investing Activities,-14723000.0,-17285000.0,-208028000.0,-14803000.0
Net Other Investing Changes,175000.0,500000.0,,
Net Investment Purchase And Sale,,,0.0,0.0
Sale Of Investment,,,0.0,0.0
Purchase Of Investment,,,0.0,0.0
Net Business Purchase And Sale,0.0,0.0,-192006000.0,-265000.0
Purchase Of Business,0.0,0.0,-192006000.0,-265000.0
Net Intangibles Purchase And Sale,,,-11039000.0,-9830000.0
Purchase Of Intangibles,,,-11039000.0,-9830000.0
Capital Expenditure Reported,-14898000.0,-17785000.0,-16022000.0,-14538000.0
Operating Cash Flow,-6103000.0,-7857000.0,797000.0,27553000.0
Cash From Discontinued Operating Activities,-6692000.0,-8454000.0,22840000.0,
Cash Flow From Continuing Operating Activities,589000.0,597000.0,-22043000.0,27553000.0
Change In Working Capital,3716000.0,13464000.0,-16799000.0,-1154000.0
Change In Other Working Capital,-6946000.0,7154000.0,-10215000.0,1401000.0
Change In Other Current Liabilities,-23421000.0,-23249000.0,0.0,0.0
Change In Payables And Accrued Expense,-11449000.0,3078000.0,4006000.0,1994000.0
Change In Accrued Expense,-30707000.0,-8504000.0,460000.0,3515000.0
Change In Payable,19258000.0,11582000.0,3546000.0,-1521000.0
Change In Account Payable,19258000.0,11582000.0,3546000.0,-1521000.0
Change In Prepaid Assets,4795000.0,2540000.0,2361000.0,2537000.0
Change In Receivables,40737000.0,23941000.0,-12951000.0,-7086000.0
Changes In Account Receivables,40737000.0,23941000.0,-12951000.0,-7086000.0
Other Non Cash Items,24962000.0,24138000.0,1683000.0,
Stock Based Compensation,5579000.0,19169000.0,23565000.0,1189000.0
Unrealized Gain Loss On Investment Securities,,-1260000.0,0.0,-500000.0
Provisionand Write Offof Assets,-581000.0,785000.0,-161000.0,322000.0
Asset Impairment Charge,0.0,66464000.0,0.0,0.0
Deferred Tax,3236000.0,-1594000.0,-28087000.0,112000.0
Deferred Income Tax,3236000.0,-1594000.0,-28087000.0,112000.0
Depreciation Amortization Depletion,21941000.0,24263000.0,22093000.0,17486000.0
Depreciation And Amortization,21941000.0,24263000.0,22093000.0,17486000.0
Operating Gains Losses,2068000.0,-5609000.0,-28207000.0,-1058000.0
Gain Loss On Investment Securities,3331000.0,-10498000.0,-31485000.0,
Net Foreign Currency Exchange Gain Loss,-1088000.0,5389000.0,1824000.0,-2623000.0
Gain Loss On Sale Of Business,0.0,0.0,1234000.0,711000.0
Net Income From Continuing Operations,-60332000.0,-140483000.0,3870000.0,11156000.0
