,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,513327.251995,1571370.463622,-366000.0,-1666500.0
Tax Rate For Calcs,0.106499,0.133791,0.25,0.25
Normalized EBITDA,63144000.0,37914000.0,38413000.0,18115000.0
Total Unusual Items,4820000.0,11745000.0,-1464000.0,-6666000.0
Total Unusual Items Excluding Goodwill,4820000.0,11745000.0,-1464000.0,-6666000.0
Net Income From Continuing Operation Net Minority Interest,37658000.0,21181000.0,11050000.0,-4980000.0
Reconciled Depreciation,18708000.0,25173000.0,27113000.0,22057000.0
Reconciled Cost Of Revenue,455823000.0,422782000.0,401034000.0,342201000.0
EBITDA,67964000.0,49659000.0,36949000.0,11449000.0
EBIT,49256000.0,24486000.0,9836000.0,-10608000.0
Net Interest Income,290000.0,-530000.0,-583000.0,-205000.0
Interest Expense,1021000.0,1450000.0,1437000.0,1592000.0
Interest Income,1524000.0,1247000.0,1242000.0,1662000.0
Normalized Income,33351327.251995,11007370.463622,12148000.0,19500.0
Net Income From Continuing And Discontinued Operation,37658000.0,21181000.0,11050000.0,-4980000.0
Total Expenses,533332000.0,517870000.0,491915000.0,422965000.0
Total Operating Income As Reported,39245000.0,7951000.0,5518000.0,-8149000.0
Diluted Average Shares,30189421.0,30641274.0,30855431.0,31077196.0
Basic Average Shares,30185702.0,30639102.0,30851776.0,31077196.0
Diluted EPS,1.25,0.69,0.36,-0.16
Basic EPS,1.25,0.69,0.36,-0.16
Diluted NI Availto Com Stockholders,37658000.0,21181000.0,11050000.0,-4980000.0
Net Income Common Stockholders,37658000.0,21181000.0,11050000.0,-4980000.0
Net Income,37658000.0,21181000.0,11050000.0,-4980000.0
Minority Interests,-5080000.0,-1162000.0,324000.0,5291000.0
Net Income Including Noncontrolling Interests,42738000.0,22343000.0,10726000.0,-10271000.0
Net Income Continuous Operations,42738000.0,22343000.0,10726000.0,-10271000.0
Earnings From Equity Interest Net Of Tax,-360000.0,2389000.0,6331000.0,4092000.0
Tax Provision,5137000.0,3082000.0,4004000.0,2163000.0
Pretax Income,48235000.0,23036000.0,8399000.0,-12200000.0
Other Income Expense,4923000.0,11885000.0,2904000.0,-6666000.0
Other Non Operating Income Expenses,103000.0,140000.0,4368000.0,
Special Income Charges,,140000.0,70000.0,-996000.0
Other Special Charges,,-140000.0,-70000.0,996000.0
Gain On Sale Of Security,4820000.0,11745000.0,-1534000.0,-5670000.0
Net Non Operating Interest Income Expense,290000.0,-530000.0,-583000.0,-205000.0
Total Other Finance Cost,213000.0,327000.0,388000.0,275000.0
Interest Expense Non Operating,1021000.0,1450000.0,1437000.0,1592000.0
Interest Income Non Operating,1524000.0,1247000.0,1242000.0,1662000.0
Operating Income,43022000.0,11681000.0,6078000.0,-5329000.0
Operating Expense,60729000.0,71713000.0,66001000.0,60670000.0
Other Operating Expenses,-8553000.0,-6243000.0,-3981000.0,-5933000.0
Other Taxes,1597000.0,1238000.0,1474000.0,971000.0
Provision For Doubtful Accounts,1564000.0,4456000.0,2738000.0,6808000.0
Depreciation Amortization Depletion Income Statement,1928000.0,1798000.0,2233000.0,1963000.0
Depreciation And Amortization In Income Statement,1928000.0,1798000.0,2233000.0,1963000.0
Research And Development,29181000.0,36109000.0,28228000.0,25723000.0
Selling General And Administration,35012000.0,34355000.0,35309000.0,31138000.0
Selling And Marketing Expense,15610000.0,16910000.0,18278000.0,14506000.0
General And Administrative Expense,19402000.0,17445000.0,17031000.0,16632000.0
Other Gand A,5987000.0,5176000.0,5117000.0,6180000.0
Insurance And Claims,2199000.0,2128000.0,2221000.0,2037000.0
Salaries And Wages,11216000.0,10141000.0,9693000.0,8415000.0
Gross Profit,103751000.0,83394000.0,72079000.0,55341000.0
Cost Of Revenue,472603000.0,446157000.0,425914000.0,362295000.0
Total Revenue,576354000.0,529551000.0,497993000.0,417636000.0
Operating Revenue,576354000.0,529551000.0,497993000.0,417636000.0
