,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.27
Net Income From Continuing Operation Net Minority Interest,-45738000.0,-132543000.0,-13540000.0,61338000.0
Net Interest Income,57000.0,111000.0,81000.0,49000.0
Interest Income,57000.0,111000.0,81000.0,49000.0
Normalized Income,-45738000.0,-132543000.0,-13540000.0,61338000.0
Net Income From Continuing And Discontinued Operation,-45738000.0,-132543000.0,-13540000.0,61338000.0
Diluted Average Shares,,21871782.0,21838710.0,21906429.0
Basic Average Shares,,21871782.0,21838710.0,21906429.0
Diluted EPS,,-6.06,-0.62,2.8
Basic EPS,,-6.06,-0.62,2.8
Diluted NI Availto Com Stockholders,-45738000.0,-132543000.0,-13540000.0,61338000.0
Net Income Common Stockholders,-45738000.0,-132543000.0,-13540000.0,61338000.0
Net Income,-45738000.0,-132543000.0,-13540000.0,61338000.0
Net Income Including Noncontrolling Interests,-45738000.0,-132543000.0,-13540000.0,61338000.0
Net Income Continuous Operations,-45738000.0,-132543000.0,-13540000.0,61338000.0
Pretax Income,-45738000.0,-132543000.0,-13540000.0,61338000.0
Gain On Sale Of Security,-22770000.0,-65041000.0,14197000.0,50606000.0
Operating Expense,1035000.0,1180000.0,1279000.0,1325000.0
Other Operating Expenses,11000.0,11000.0,10000.0,13000.0
Selling General And Administration,1024000.0,1169000.0,1269000.0,1312000.0
General And Administrative Expense,1024000.0,1169000.0,1269000.0,1312000.0
Total Revenue,-44703000.0,-131363000.0,-12261000.0,62663000.0
Operating Revenue,-44703000.0,-131363000.0,-12261000.0,62663000.0
