,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,212220.0,-144578.0
Tax Rate For Calcs,0.156,0.241,0.27,0.023
Normalized EBITDA,42216000.0,66925000.0,87282000.0,55873000.0
Total Unusual Items,0.0,0.0,786000.0,-6286000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,786000.0,-6286000.0
Net Income From Continuing Operation Net Minority Interest,29325000.0,41010000.0,238378000.0,33484000.0
Reconciled Depreciation,16631000.0,14315000.0,15012000.0,13718000.0
Reconciled Cost Of Revenue,521277000.0,432399000.0,322807000.0,274220000.0
EBITDA,42216000.0,66925000.0,88068000.0,49587000.0
EBIT,25585000.0,52610000.0,73056000.0,35869000.0
Net Interest Income,9704000.0,2009000.0,-402000.0,-1585000.0
Interest Expense,,,402000.0,1585000.0
Interest Income,,2009000.0,,
Normalized Income,29325000.0,41010000.0,237804220.0,39625422.0
Net Income From Continuing And Discontinued Operation,29325000.0,41010000.0,238378000.0,33484000.0
Total Expenses,1014008000.0,815217000.0,606242000.0,498107000.0
Total Operating Income As Reported,25585000.0,52610000.0,73938000.0,36846000.0
Diluted Average Shares,69320000.0,68911000.0,67856000.0,61998000.0
Basic Average Shares,65980000.0,65058000.0,63277000.0,59074000.0
Diluted EPS,0.46,0.6,3.51,0.54
Basic EPS,0.48,0.63,3.77,0.57
Diluted NI Availto Com Stockholders,29325000.0,41010000.0,238378000.0,33484000.0
Net Income Common Stockholders,29325000.0,41010000.0,238378000.0,33484000.0
Net Income,29325000.0,41010000.0,238378000.0,33484000.0
Net Income Including Noncontrolling Interests,29325000.0,41010000.0,238378000.0,33484000.0
Net Income Continuous Operations,29325000.0,41010000.0,238378000.0,33484000.0
Tax Provision,5432000.0,13032000.0,-165724000.0,800000.0
Pretax Income,34757000.0,54042000.0,72654000.0,34284000.0
Other Income Expense,-532000.0,-577000.0,-96000.0,-7263000.0
Other Non Operating Income Expenses,-532000.0,-577000.0,-882000.0,-977000.0
Special Income Charges,0.0,0.0,786000.0,-6286000.0
Gain On Sale Of Business,,,,0.0
Impairment Of Capital Assets,,,0.0,0.0
Restructuring And Mergern Acquisition,0.0,0.0,-786000.0,6286000.0
Net Non Operating Interest Income Expense,9704000.0,2009000.0,-402000.0,-1585000.0
Total Other Finance Cost,-9704000.0,-2009000.0,,
Interest Expense Non Operating,,,402000.0,1585000.0
Interest Income Non Operating,,2009000.0,,
Operating Income,25585000.0,52610000.0,73152000.0,43132000.0
Operating Expense,492731000.0,382818000.0,283435000.0,223887000.0
Research And Development,177772000.0,131994000.0,101747000.0,85258000.0
Selling General And Administration,314959000.0,250824000.0,181688000.0,138629000.0
Selling And Marketing Expense,214564000.0,174549000.0,125909000.0,94185000.0
General And Administrative Expense,100395000.0,76275000.0,55779000.0,44444000.0
Other Gand A,100395000.0,76275000.0,55779000.0,44444000.0
Gross Profit,518316000.0,435428000.0,356587000.0,267019000.0
Cost Of Revenue,521277000.0,432399000.0,322807000.0,274220000.0
Total Revenue,1039593000.0,867827000.0,679394000.0,541239000.0
Operating Revenue,1039593000.0,867827000.0,679394000.0,541239000.0
