,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Treasury Shares Number,,,8451650.0,8120591.0
Ordinary Shares Number,35490019.0,35715752.0,37635145.0,37966204.0
Share Issued,35490019.0,35715752.0,46086795.0,46086795.0
Net Debt,160642000.0,273800000.0,259885000.0,360556000.0
Total Debt,747861000.0,887625000.0,871404000.0,1120853000.0
Tangible Book Value,357321000.0,205291000.0,91067000.0,-39824000.0
Invested Capital,742631000.0,728183000.0,608570000.0,649098000.0
Working Capital,45953000.0,-79741000.0,-189137000.0,-122953000.0
Net Tangible Assets,357321000.0,205291000.0,91067000.0,-39824000.0
Capital Lease Obligations,565861000.0,580125000.0,581404000.0,672002000.0
Common Stock Equity,560631000.0,420683000.0,318570000.0,200247000.0
Total Capitalization,560631000.0,420683000.0,318570000.0,399098000.0
Total Equity Gross Minority Interest,567570000.0,426113000.0,323387000.0,203854000.0
Minority Interest,6939000.0,5430000.0,4817000.0,3607000.0
Stockholders Equity,560631000.0,420683000.0,318570000.0,200247000.0
Gains Losses Not Affecting Retained Earnings,-34504000.0,-26750000.0,-8606000.0,-9136000.0
Other Equity Adjustments,-34504000.0,-26750000.0,-8606000.0,-9136000.0
Retained Earnings,410329000.0,266329000.0,157970000.0,48557000.0
Additional Paid In Capital,184451000.0,180747000.0,168830000.0,160446000.0
Capital Stock,355000.0,357000.0,376000.0,380000.0
Common Stock,355000.0,357000.0,376000.0,380000.0
Preferred Stock,,,0.0,0.0
Total Liabilities Net Minority Interest,1237176000.0,1410359000.0,1520539000.0,1663196000.0
Total Non Current Liabilities Net Minority Interest,494220000.0,499163000.0,494926000.0,757687000.0
Other Non Current Liabilities,27123000.0,28302000.0,24822000.0,26612000.0
Tradeand Other Payables Non Current,2464000.0,7786000.0,2464000.0,5038000.0
Non Current Deferred Liabilities,11536000.0,19001000.0,14731000.0,8244000.0
Non Current Deferred Taxes Liabilities,11536000.0,19001000.0,14731000.0,8244000.0
Long Term Debt And Capital Lease Obligation,453097000.0,444074000.0,452909000.0,717793000.0
Long Term Capital Lease Obligation,453097000.0,444074000.0,452909000.0,518942000.0
Long Term Debt,,,,198851000.0
Current Liabilities,742956000.0,911196000.0,1025613000.0,905509000.0
Other Current Liabilities,,,,39134000.0
Current Debt And Capital Lease Obligation,294764000.0,443551000.0,418495000.0,403060000.0
Current Capital Lease Obligation,112764000.0,136051000.0,128495000.0,153060000.0
Current Debt,182000000.0,307500000.0,290000000.0,250000000.0
Line Of Credit,182000000.0,307500000.0,290000000.0,250000000.0
Pensionand Other Post Retirement Benefit Plans Current,70316000.0,87041000.0,88034000.0,48641000.0
Payables And Accrued Expenses,377876000.0,380604000.0,519084000.0,414674000.0
Current Accrued Expenses,114742000.0,143046000.0,164992000.0,129104000.0
Payables,263134000.0,237558000.0,354092000.0,285570000.0
Total Tax Payable,11222000.0,7650000.0,22622000.0,5069000.0
Income Tax Payable,11222000.0,7650000.0,22622000.0,5069000.0
Accounts Payable,251912000.0,229908000.0,331470000.0,280501000.0
Total Assets,1804746000.0,1836472000.0,1843926000.0,1867050000.0
Total Non Current Assets,1015837000.0,1005017000.0,1007450000.0,1084494000.0
Other Non Current Assets,37563000.0,27150000.0,27140000.0,28850000.0
Defined Pension Benefit,74951000.0,83396000.0,99139000.0,88833000.0
Non Current Deferred Assets,4401000.0,0.0,,0.0
Non Current Deferred Taxes Assets,4401000.0,0.0,,0.0
Goodwill And Other Intangible Assets,203310000.0,215392000.0,227503000.0,240071000.0
Other Intangible Assets,198354000.0,210436000.0,222547000.0,235115000.0
Goodwill,4956000.0,4956000.0,4956000.0,4956000.0
Net PPE,695612000.0,679079000.0,653668000.0,726740000.0
Accumulated Depreciation,-408338000.0,-388979000.0,-373384000.0,-371208000.0
Gross PPE,1103950000.0,1068058000.0,1027052000.0,1097948000.0
Leases,216531000.0,204378000.0,197218000.0,208939000.0
Construction In Progress,14204000.0,20504000.0,3066000.0,6773000.0
Other Properties,579719000.0,568824000.0,552980000.0,603408000.0
Machinery Furniture Equipment,254701000.0,236958000.0,225433000.0,225267000.0
Land And Improvements,38795000.0,37394000.0,48355000.0,53561000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,788909000.0,831455000.0,836476000.0,782556000.0
Other Current Assets,55485000.0,50434000.0,48790000.0,45387000.0
Assets Held For Sale Current,16777000.0,16777000.0,5455000.0,0.0
Prepaid Assets,,,48790000.0,45387000.0
Inventory,540674000.0,580215000.0,596807000.0,487955000.0
Finished Goods,525811000.0,558474000.0,579429000.0,473014000.0
Work In Process,665000.0,569000.0,614000.0,349000.0
Raw Materials,14198000.0,21172000.0,16764000.0,14592000.0
Receivables,154615000.0,150329000.0,155309000.0,160919000.0
Taxes Receivable,14215000.0,17527000.0,33073000.0,33925000.0
Accounts Receivable,140400000.0,132802000.0,122236000.0,126994000.0
Allowance For Doubtful Accounts Receivable,-30317000.0,-30820000.0,-29930000.0,-31971000.0
Gross Accounts Receivable,170717000.0,163622000.0,152166000.0,158965000.0
Cash Cash Equivalents And Short Term Investments,21358000.0,33700000.0,30115000.0,88295000.0
Cash And Cash Equivalents,21358000.0,33700000.0,30115000.0,88295000.0
