,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,22956304.0,23956772.0,26430919.0,26385041.0
Share Issued,22956304.0,23956772.0,26430919.0,26385041.0
Net Debt,338871000.0,133681000.0,,
Total Debt,393400000.0,180550000.0,7000000.0,35000000.0
Tangible Book Value,351243000.0,328627000.0,407596000.0,440174000.0
Invested Capital,744643000.0,509177000.0,414596000.0,475174000.0
Net Tangible Assets,351243000.0,328627000.0,407596000.0,440174000.0
Common Stock Equity,351243000.0,328627000.0,407596000.0,440174000.0
Total Capitalization,744643000.0,509177000.0,414596000.0,475174000.0
Total Equity Gross Minority Interest,351243000.0,328627000.0,407596000.0,440174000.0
Stockholders Equity,351243000.0,328627000.0,407596000.0,440174000.0
Gains Losses Not Affecting Retained Earnings,-71439000.0,-85616000.0,1702000.0,15721000.0
Other Equity Adjustments,-71439000.0,-85616000.0,1702000.0,15721000.0
Retained Earnings,309083000.0,285593000.0,235475000.0,254611000.0
Additional Paid In Capital,90642000.0,104693000.0,143988000.0,143457000.0
Capital Stock,22957000.0,23957000.0,26431000.0,26385000.0
Common Stock,22957000.0,23957000.0,26431000.0,26385000.0
Total Liabilities Net Minority Interest,4161296000.0,3875892000.0,3726150000.0,3739005000.0
Long Term Debt And Capital Lease Obligation,393400000.0,180550000.0,7000000.0,35000000.0
Long Term Debt,393400000.0,180550000.0,7000000.0,35000000.0
Long Term Provisions,3193000.0,2292000.0,,
Total Assets,4512539000.0,4204519000.0,4133746000.0,4179179000.0
Investments And Advances,779003000.0,836273000.0,922400000.0,778679000.0
Goodwill And Other Intangible Assets,,,,0.0
Goodwill,,,,0.0
Net PPE,73707000.0,72114000.0,75297000.0,85307000.0
Accumulated Depreciation,-41453000.0,-39024000.0,-36312000.0,-34889000.0
Gross PPE,115160000.0,111138000.0,111609000.0,120196000.0
Leases,1579000.0,1618000.0,854000.0,613000.0
Other Properties,58983000.0,54872000.0,55463000.0,60571000.0
Machinery Furniture Equipment,35772000.0,34945000.0,34529000.0,31339000.0
Land And Improvements,18826000.0,19703000.0,20763000.0,27673000.0
Properties,,,55463000.0,27673000.0
Other Short Term Investments,779003000.0,836273000.0,922400000.0,778679000.0
Cash And Cash Equivalents,54529000.0,46869000.0,277799000.0,241942000.0
Cash Financial,39676000.0,42364000.0,36698000.0,38535000.0
Cash Cash Equivalents And Federal Funds Sold,54529000.0,46869000.0,277799000.0,241942000.0
