,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,175000000.0,1369000000.0,2154000000.0,1564204000.0
Repurchase Of Capital Stock,-665000000.0,-1850000000.0,-369000000.0,-50028000.0
Repayment Of Debt,-4664000000.0,-1683000000.0,-409000000.0,-1360027000.0
Issuance Of Debt,5805000000.0,1872000000.0,597000000.0,926223000.0
Capital Expenditure,-305000000.0,-260000000.0,-210000000.0,-266575000.0
Interest Paid Supplemental Data,191000000.0,89000000.0,41000000.0,67463000.0
Income Tax Paid Supplemental Data,467000000.0,604000000.0,330000000.0,51681000.0
End Cash Position,1371000000.0,1405000000.0,2540000000.0,2039247000.0
Beginning Cash Position,1405000000.0,2540000000.0,2039000000.0,1093745000.0
Effect Of Exchange Rate Changes,13000000.0,-166000000.0,-92000000.0,81564000.0
Changes In Cash,-47000000.0,-969000000.0,593000000.0,863938000.0
Financing Cash Flow,154000000.0,-1766000000.0,-490000000.0,-222756000.0
Cash Flow From Continuing Financing Activities,154000000.0,-1766000000.0,-490000000.0,-222756000.0
Net Other Financing Charges,-322000000.0,-105000000.0,-309000000.0,261076000.0
Net Common Stock Issuance,-665000000.0,-1850000000.0,-369000000.0,-50028000.0
Common Stock Payments,-665000000.0,-1850000000.0,-369000000.0,-50028000.0
Net Issuance Payments Of Debt,1141000000.0,189000000.0,188000000.0,-433804000.0
Net Short Term Debt Issuance,-178000000.0,178000000.0,27000000.0,0.0
Short Term Debt Payments,-4184000000.0,-1655000000.0,0.0,-835671000.0
Short Term Debt Issuance,4006000000.0,1833000000.0,27000000.0,835671000.0
Net Long Term Debt Issuance,1319000000.0,11000000.0,161000000.0,-433804000.0
Long Term Debt Payments,-480000000.0,-28000000.0,-409000000.0,-524356000.0
Long Term Debt Issuance,1799000000.0,39000000.0,570000000.0,90552000.0
Investing Cash Flow,-681000000.0,-832000000.0,-1281000000.0,-744085000.0
Cash Flow From Continuing Investing Activities,-681000000.0,-832000000.0,-1281000000.0,-744085000.0
Net Other Investing Changes,-6000000.0,-19000.0,-24000000.0,10516000.0
Dividends Received Cfi,54000000.0,87000000.0,76000000.0,88731000.0
Net Investment Purchase And Sale,0.0,-101000000.0,213000000.0,-402500000.0
Sale Of Investment,0.0,0.0,213000000.0,0.0
Purchase Of Investment,0.0,-101000000.0,0.0,-402500000.0
Net Investment Properties Purchase And Sale,-94000000.0,0.0,0.0,
Sale Of Investment Properties,77000000.0,0.0,0.0,
Purchase Of Investment Properties,-171000000.0,0.0,0.0,
Net Business Purchase And Sale,-330000000.0,-558000000.0,-1336000000.0,-174257000.0
Purchase Of Business,-330000000.0,-558000000.0,-1336000000.0,-174257000.0
Capital Expenditure Reported,-305000000.0,-260000000.0,-210000000.0,-266575000.0
Operating Cash Flow,480000000.0,1629000000.0,2364000000.0,1830779000.0
Cash Flow From Continuing Operating Activities,480000000.0,1629000000.0,2364000000.0,1830779000.0
Dividend Received Cfo,256000000.0,389000000.0,520000000.0,155975000.0
Change In Working Capital,-1108000000.0,-574000000.0,317000000.0,550006000.0
Change In Other Working Capital,-270000000.0,-135000000.0,978000000.0,73506000.0
Change In Other Current Liabilities,218000000.0,-830000000.0,-107000000.0,406789000.0
Change In Payables And Accrued Expense,22000000.0,64000000.0,105000000.0,105491000.0
Change In Payable,,64102000.0,104749000.0,105491000.0
Change In Account Payable,,64102000.0,104749000.0,105491000.0
Change In Inventory,81000000.0,95000000.0,-55000000.0,-105619000.0
Change In Receivables,-860000000.0,-503000000.0,-766000000.0,371009000.0
Other Non Cash Items,-114000000.0,-260000000.0,-202000000.0,-182676000.0
Stock Based Compensation,96000000.0,160000000.0,185000000.0,60391000.0
Provisionand Write Offof Assets,16000000.0,17000000.0,24000000.0,44366000.0
Asset Impairment Charge,0.0,59000000.0,0.0,88676000.0
Depreciation Amortization Depletion,622000000.0,613000000.0,526000000.0,501728000.0
Depreciation And Amortization,622000000.0,613000000.0,526000000.0,501728000.0
Operating Gains Losses,-315000000.0,-199000000.0,-848000000.0,-143555000.0
Earnings Losses From Equity Investments,-282000000.0,-229000000.0,-619000000.0,-126161000.0
Gain Loss On Investment Securities,-6000000.0,30000000.0,-42000000.0,-17394000.0
Gain Loss On Sale Of Business,0.0,0.0,-187000000.0,0.0
Net Income From Continuing Operations,1027000000.0,1424000000.0,1842000000.0,755868000.0
