,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Ordinary Shares Number,22203043.0,22153625.0,22281443.0,23497166.0,
Share Issued,22203043.0,22153625.0,22281443.0,23497166.0,
Net Debt,464621000.0,389832000.0,378268000.0,182784000.0,
Total Debt,1202486000.0,1163728000.0,1200103000.0,1126133000.0,
Tangible Book Value,415724000.0,455709000.0,485579000.0,637658000.0,
Invested Capital,916805000.0,898804000.0,934852000.0,991010000.0,
Working Capital,-175993000.0,-206679000.0,-185048000.0,-111666000.0,
Net Tangible Assets,415724000.0,455709000.0,485579000.0,637658000.0,
Capital Lease Obligations,725830000.0,748749000.0,776730000.0,798756000.0,
Common Stock Equity,440149000.0,483825000.0,511479000.0,663633000.0,
Total Capitalization,916730000.0,898729000.0,934728000.0,990886000.0,
Total Equity Gross Minority Interest,440149000.0,483825000.0,511479000.0,663633000.0,
Stockholders Equity,440149000.0,483825000.0,511479000.0,663633000.0,
Gains Losses Not Affecting Retained Earnings,,,,0.0,-20346000.0
Other Equity Adjustments,,,,,-20346000.0
Retained Earnings,427352000.0,479718000.0,511256000.0,663398000.0,
Additional Paid In Capital,12575000.0,3886000.0,0.0,0.0,
Capital Stock,222000.0,221000.0,223000.0,235000.0,
Common Stock,222000.0,221000.0,223000.0,235000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,1721345000.0,1734269000.0,1783432000.0,1728061000.0,
Total Non Current Liabilities Net Minority Interest,1267138000.0,1245303000.0,1281108000.0,1262799000.0,
Other Non Current Liabilities,46852000.0,53730000.0,55507000.0,88615000.0,
Derivative Product Liabilities,,,,0.0,23860000.0
Non Current Deferred Liabilities,67712000.0,74256000.0,80193000.0,98626000.0,
Non Current Deferred Taxes Liabilities,67712000.0,74256000.0,80193000.0,98626000.0,
Long Term Debt And Capital Lease Obligation,1152574000.0,1117317000.0,1145408000.0,1075558000.0,
Long Term Capital Lease Obligation,675993000.0,702413000.0,722159000.0,748305000.0,
Long Term Debt,476581000.0,414904000.0,423249000.0,327253000.0,
Current Liabilities,454207000.0,488966000.0,502324000.0,465262000.0,
Other Current Liabilities,17908000.0,24491000.0,17299000.0,25837000.0,
Current Deferred Liabilities,87488000.0,95016000.0,93615000.0,93157000.0,
Current Deferred Revenue,87488000.0,95016000.0,93615000.0,93157000.0,
Current Debt And Capital Lease Obligation,49912000.0,46411000.0,54695000.0,50575000.0,
Current Capital Lease Obligation,49837000.0,46336000.0,54571000.0,50451000.0,
Current Debt,75000.0,75000.0,124000.0,124000.0,
Other Current Borrowings,75000.0,75000.0,124000.0,124000.0,
Pensionand Other Post Retirement Benefit Plans Current,88861000.0,89238000.0,76672000.0,88516000.0,
Payables And Accrued Expenses,210038000.0,233810000.0,260043000.0,207177000.0,
Payables,210038000.0,233810000.0,260043000.0,207177000.0,
Dividends Payable,6317000.0,29491000.0,29960000.0,23970000.0,
Total Tax Payable,41433000.0,38835000.0,60212000.0,48031000.0,
Accounts Payable,162288000.0,165484000.0,169871000.0,135176000.0,
Total Assets,2161494000.0,2218094000.0,2294911000.0,2391694000.0,
Total Non Current Assets,1883280000.0,1935807000.0,1977635000.0,2038098000.0,
Other Non Current Assets,48199000.0,46440000.0,48602000.0,57796000.0,
Investments And Advances,,,,,0.0
Long Term Equity Investment,,,,,0.0
Investmentsin Subsidiariesat Cost,,,,,0.0
Goodwill And Other Intangible Assets,24425000.0,28116000.0,25900000.0,25975000.0,
Other Intangible Assets,24425000.0,23426000.0,21210000.0,21285000.0,
Goodwill,0.0,4690000.0,4690000.0,4690000.0,
Net PPE,1810656000.0,1861251000.0,1903133000.0,1954327000.0,
Accumulated Depreciation,-1479030000.0,-1408368000.0,-1339969000.0,-1254639000.0,
Gross PPE,3289686000.0,3269619000.0,3243102000.0,3208966000.0,
Leases,449507000.0,438495000.0,422485000.0,405785000.0,
Construction In Progress,15709000.0,26978000.0,22404000.0,13761000.0,
Other Properties,1747093000.0,1741748000.0,1750764000.0,1757741000.0,
Machinery Furniture Equipment,,,,783264000.0,748606000.0
Buildings And Improvements,823561000.0,807585000.0,792211000.0,776441000.0,
Land And Improvements,253816000.0,254813000.0,255238000.0,255238000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,278214000.0,282287000.0,317276000.0,353596000.0,
Other Current Assets,36135000.0,35268000.0,24225000.0,22188000.0,
Prepaid Assets,,,24225000.0,22188000.0,17916000.0
Inventory,180958000.0,189364000.0,213249000.0,138320000.0,
Finished Goods,164107000.0,169602000.0,196130000.0,125726000.0,
Raw Materials,16851000.0,19762000.0,17119000.0,12594000.0,
Receivables,49086000.0,32508000.0,34697000.0,48495000.0,
Taxes Receivable,9882000.0,2062000.0,2451000.0,21123000.0,
Accounts Receivable,39204000.0,30446000.0,32246000.0,27372000.0,
Cash Cash Equivalents And Short Term Investments,12035000.0,25147000.0,45105000.0,144593000.0,
Cash And Cash Equivalents,12035000.0,25147000.0,45105000.0,144593000.0,
