,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,32663.0,2003.0,2003.0,2003.0
Ordinary Shares Number,20567656.0,976892.0,775479.0,741300.0
Share Issued,20600319.0,978895.0,777482.0,743303.0
Total Debt,24621000.0,13911000.0,17876000.0,19758000.0
Tangible Book Value,-176839000.0,7075000.0,14132000.0,36875000.0
Invested Capital,294839000.0,7233000.0,14132000.0,38393000.0
Working Capital,13897000.0,2470000.0,10327000.0,32645000.0
Net Tangible Assets,-176839000.0,7075000.0,14132000.0,36875000.0
Capital Lease Obligations,23252000.0,13911000.0,17876000.0,18240000.0
Common Stock Equity,293470000.0,7233000.0,14132000.0,36875000.0
Total Capitalization,294006000.0,7233000.0,14132000.0,38393000.0
Total Equity Gross Minority Interest,338294000.0,7233000.0,14132000.0,36875000.0
Minority Interest,44824000.0,0.0,,
Stockholders Equity,293470000.0,7233000.0,14132000.0,36875000.0
Gains Losses Not Affecting Retained Earnings,8000.0,0.0,,0.0
Other Equity Adjustments,8000.0,,,
Treasury Stock,1785000.0,1043000.0,1043000.0,1043000.0
Retained Earnings,-479778000.0,-212151000.0,-196092000.0,-166893000.0
Additional Paid In Capital,775017000.0,220422000.0,211263000.0,204807000.0
Capital Stock,8000.0,5000.0,4000.0,4000.0
Common Stock,8000.0,5000.0,4000.0,4000.0
Total Liabilities Net Minority Interest,206117000.0,15188000.0,23062000.0,26452000.0
Total Non Current Liabilities Net Minority Interest,184794000.0,13526000.0,18208000.0,19507000.0
Other Non Current Liabilities,1868000.0,79000.0,702000.0,113000.0
Dueto Related Parties Non Current,165252000.0,0.0,,
Tradeand Other Payables Non Current,0.0,0.0,,
Long Term Debt And Capital Lease Obligation,17674000.0,13447000.0,17506000.0,19394000.0
Long Term Capital Lease Obligation,17138000.0,13447000.0,17506000.0,17876000.0
Long Term Debt,536000.0,,,1518000.0
Current Liabilities,21323000.0,1662000.0,4854000.0,6945000.0
Other Current Liabilities,1434000.0,296000.0,191000.0,45000.0
Current Deferred Liabilities,1210000.0,107000.0,,
Current Deferred Revenue,1210000.0,107000.0,,
Current Debt And Capital Lease Obligation,6947000.0,464000.0,370000.0,364000.0
Current Capital Lease Obligation,6114000.0,464000.0,370000.0,364000.0
Current Debt,833000.0,,,
Other Current Borrowings,833000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,3858000.0,107000.0,2522000.0,1950000.0
Payables And Accrued Expenses,7874000.0,688000.0,1771000.0,4586000.0
Current Accrued Expenses,1747000.0,173000.0,339000.0,2891000.0
Payables,6127000.0,515000.0,1432000.0,1695000.0
Dueto Related Parties Current,0.0,175000.0,172000.0,766000.0
Accounts Payable,6127000.0,340000.0,1260000.0,929000.0
Total Assets,544411000.0,22421000.0,37194000.0,63327000.0
Total Non Current Assets,509191000.0,18289000.0,22013000.0,23737000.0
Other Non Current Assets,1422000.0,158000.0,282000.0,877000.0
Goodwill And Other Intangible Assets,470309000.0,158000.0,,
Other Intangible Assets,35411000.0,158000.0,,
Goodwill,434898000.0,0.0,,
Net PPE,37460000.0,18131000.0,21731000.0,22860000.0
Accumulated Depreciation,-8977000.0,-5877000.0,-7728000.0,-5546000.0
Gross PPE,46437000.0,24008000.0,29459000.0,28406000.0
Leases,3912000.0,364000.0,10238000.0,10183000.0
Construction In Progress,704000.0,0.0,849000.0,1329000.0
Other Properties,21685000.0,13615000.0,,
Machinery Furniture Equipment,19236000.0,9129000.0,8066000.0,6742000.0
Buildings And Improvements,900000.0,900000.0,4616000.0,4462000.0
Land And Improvements,,0.0,5690000.0,5690000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,35220000.0,4132000.0,15181000.0,39590000.0
Other Current Assets,1991000.0,606000.0,859000.0,3930000.0
Restricted Cash,0.0,99000.0,499000.0,393000.0
Prepaid Assets,,,859000.0,3930000.0
Inventory,,,0.0,1383000.0
Finished Goods,,,,0.0
Work In Process,,,,0.0
Raw Materials,,,0.0,1383000.0
Receivables,530000.0,0.0,0.0,4887000.0
Accounts Receivable,530000.0,0.0,0.0,4887000.0
Allowance For Doubtful Accounts Receivable,0.0,0.0,0.0,0.0
Gross Accounts Receivable,530000.0,0.0,0.0,4887000.0
Cash Cash Equivalents And Short Term Investments,32699000.0,3427000.0,13823000.0,28997000.0
Other Short Term Investments,,,0.0,11698000.0
Cash And Cash Equivalents,32699000.0,3427000.0,13823000.0,17299000.0
