,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,12632000000.0,11258000000.0,11151000000.0,9785000000.0
Repurchase Of Capital Stock,-2411000000.0,-2894000000.0,-4861000000.0,-523000000.0
Repayment Of Debt,-475000000.0,-1000000000.0,0.0,-1301000000.0
Issuance Of Debt,0.0,0.0,1576000000.0,988000000.0
Interest Paid Supplemental Data,553000000.0,552000000.0,492000000.0,524000000.0
Income Tax Paid Supplemental Data,1465000000.0,1242000000.0,1298000000.0,902000000.0
End Cash Position,2621000000.0,2127000000.0,1811000000.0,1836000000.0
Beginning Cash Position,2127000000.0,1811000000.0,1836000000.0,1646000000.0
Effect Of Exchange Rate Changes,-1000000.0,-146000000.0,-106000000.0,8000000.0
Changes In Cash,495000000.0,462000000.0,81000000.0,182000000.0
Financing Cash Flow,-4489000000.0,-5142000000.0,-4411000000.0,-2082000000.0
Cash Flow From Continuing Financing Activities,-4489000000.0,-5142000000.0,-4411000000.0,-2082000000.0
Net Other Financing Charges,-677000000.0,-139000000.0,-25000000.0,-3000000.0
Proceeds From Stock Option Exercised,212000000.0,264000000.0,300000000.0,145000000.0
Cash Dividends Paid,-1394000000.0,-1375000000.0,-1401000000.0,-1388000000.0
Common Stock Dividend Paid,-1394000000.0,-1375000000.0,-1401000000.0,-1388000000.0
Net Common Stock Issuance,-2411000000.0,-2894000000.0,-4861000000.0,-523000000.0
Common Stock Payments,-2411000000.0,-2894000000.0,-4861000000.0,-523000000.0
Net Issuance Payments Of Debt,-475000000.0,-1000000000.0,1576000000.0,-313000000.0
Net Long Term Debt Issuance,-475000000.0,-1000000000.0,1576000000.0,-313000000.0
Long Term Debt Payments,-475000000.0,-1000000000.0,0.0,-1301000000.0
Long Term Debt Issuance,0.0,0.0,1576000000.0,988000000.0
Investing Cash Flow,-7648000000.0,-5654000000.0,-6659000000.0,-7521000000.0
Cash Flow From Continuing Investing Activities,-7648000000.0,-5654000000.0,-6659000000.0,-7521000000.0
Net Other Investing Changes,-889000000.0,-560000000.0,-337000000.0,-470000000.0
Dividends Received Cfi,1164000000.0,1017000000.0,1421000000.0,907000000.0
Net Investment Purchase And Sale,-5848000000.0,1704000000.0,-4088000000.0,-4411000000.0
Sale Of Investment,24580000000.0,32597000000.0,28114000000.0,28702000000.0
Purchase Of Investment,-30428000000.0,-30893000000.0,-32202000000.0,-33113000000.0
Net Business Purchase And Sale,-2075000000.0,-7815000000.0,-3655000000.0,-3547000000.0
Sale Of Business,,,,907000000.0
Purchase Of Business,-2075000000.0,-7815000000.0,-3655000000.0,-3547000000.0
Operating Cash Flow,12632000000.0,11258000000.0,11151000000.0,9785000000.0
Cash Flow From Continuing Operating Activities,12632000000.0,11258000000.0,11151000000.0,9785000000.0
Change In Working Capital,2263000000.0,3427000000.0,2322000000.0,5690000000.0
Change In Other Working Capital,128000000.0,-149000000.0,48000000.0,
Change In Payables And Accrued Expense,-890000000.0,378000000.0,-1841000000.0,483000000.0
Change In Payable,-890000000.0,378000000.0,-1841000000.0,483000000.0
Change In Account Payable,-890000000.0,378000000.0,-1841000000.0,437000000.0
Change In Tax Payable,,-149000000.0,48000000.0,46000000.0
Change In Income Tax Payable,,-149000000.0,48000000.0,46000000.0
Change In Receivables,-1570000000.0,-2433000000.0,-2933000000.0,-450000000.0
Changes In Account Receivables,-1570000000.0,-2433000000.0,-2933000000.0,-450000000.0
Other Non Cash Items,2126000000.0,709000000.0,3234000000.0,759000000.0
Amortization Of Securities,-148000000.0,189000000.0,332000000.0,367000000.0
Deferred Tax,-1124000000.0,318000000.0,-84000000.0,-333000000.0
Deferred Income Tax,-1124000000.0,318000000.0,-84000000.0,-333000000.0
Depreciation And Amortization,310000000.0,285000000.0,287000000.0,290000000.0
Amortization Cash Flow,310000000.0,285000000.0,287000000.0,290000000.0
Amortization Of Intangibles,310000000.0,285000000.0,287000000.0,290000000.0
Operating Gains Losses,127000000.0,1030000000.0,-3545000000.0,-521000000.0
Earnings Losses From Equity Investments,-867000000.0,-1000000.0,-2435000000.0,-1019000000.0
Gain Loss On Investment Securities,811000000.0,1428000000.0,-770000000.0,498000000.0
Net Foreign Currency Exchange Gain Loss,183000000.0,-397000000.0,-340000000.0,
Net Income From Continuing Operations,9015000000.0,5246000000.0,8525000000.0,3533000000.0
