,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.0,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,115378765.0,-17071604.0,-232782492.0,220616440.0,
Net Interest Income,-120071.0,-1329891.0,3425902.0,6106347.0,
Interest Expense,15803840.0,15230315.0,6926694.0,4413165.0,
Interest Income,15683769.0,13900424.0,10352596.0,10519512.0,
Normalized Income,115378765.0,-17071604.0,-232782492.0,220616440.0,
Net Income From Continuing And Discontinued Operation,115378765.0,-17071604.0,-232782492.0,220616440.0,
Diluted Average Shares,,27534845.0,25192910.0,24540205.0,24467739.0
Basic Average Shares,,27534845.0,25192910.0,24540205.0,24467739.0
Diluted EPS,,-0.62,-9.24,8.99,7.07
Basic EPS,,-0.62,-9.24,8.99,7.07
Diluted NI Availto Com Stockholders,115378765.0,-17071604.0,-232782492.0,220616440.0,
Net Income Common Stockholders,115378765.0,-17071604.0,-232782492.0,220616440.0,
Net Income,115378765.0,-17071604.0,-232782492.0,220616440.0,
Net Income Including Noncontrolling Interests,115378765.0,-17071604.0,-232782492.0,220616440.0,
Net Income Continuous Operations,115378765.0,-17071604.0,-232782492.0,220616440.0,
Pretax Income,115378765.0,-17071604.0,-232782492.0,220616440.0,
Gain On Sale Of Security,58411657.0,81214594.0,54790568.0,71709250.0,
Operating Expense,488893.0,539035.0,624093.0,576439.0,
Other Operating Expenses,89677.0,37845.0,51594.0,36190.0,
Selling General And Administration,399216.0,501190.0,572499.0,540249.0,
General And Administrative Expense,399216.0,501190.0,572499.0,540249.0,
Total Revenue,115867658.0,-16532569.0,-232158399.0,221192879.0,
Operating Revenue,115867658.0,-16532569.0,-232158399.0,221192879.0,
