,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,-74617028.0,4400674.0,2258082.0,24449002.0,
Repayment Of Debt,,-7455337.0,-10081453.0,-26500000.0,-9700000.0
Issuance Of Debt,,,15581453.0,15500000.0,20200000.0
Issuance Of Capital Stock,91580654.0,10816451.0,,,
End Cash Position,725402.0,2816066.0,1968276.0,4628425.0,
Beginning Cash Position,2816066.0,1968276.0,4628425.0,2765345.0,
Effect Of Exchange Rate Changes,448.0,,,,
Changes In Cash,-2091112.0,847790.0,-2660149.0,1863080.0,
Financing Cash Flow,72525916.0,-3552884.0,-4918231.0,-22585922.0,
Net Other Financing Charges,-1159119.0,0.0,0.0,0.0,
Cash Dividends Paid,-14768133.0,-6913998.0,-10365731.0,-11494103.0,
Common Stock Dividend Paid,-14768133.0,-6913998.0,-10365731.0,-11494103.0,
Net Preferred Stock Issuance,63517000.0,,,,
Preferred Stock Issuance,63517000.0,,,,
Net Common Stock Issuance,28063654.0,10816451.0,,,
Common Stock Issuance,28063654.0,10816451.0,,,
Net Issuance Payments Of Debt,,-7455337.0,5500000.0,-11000000.0,10500000.0
Net Long Term Debt Issuance,,-7455337.0,5500000.0,-11000000.0,10500000.0
Long Term Debt Payments,,-7455337.0,-10081453.0,-26500000.0,-9700000.0
Long Term Debt Issuance,,,15581453.0,15500000.0,20200000.0
Operating Cash Flow,-74617028.0,4400674.0,2258082.0,24449002.0,
Change In Working Capital,-1088057.0,-461383.0,1846297.0,-310050.0,
Change In Other Current Liabilities,0.0,0.0,0.0,0.0,
Change In Accrued Expense,,171755.0,-13271.0,-21429.0,-606766.0
Change In Payable,1253765.0,296626.0,239604.0,-685167.0,
Change In Prepaid Assets,-77860.0,168909.0,-210069.0,-155801.0,
Change In Receivables,-2263962.0,-1098673.0,1830033.0,552347.0,
Other Non Cash Items,477890.0,-630511.0,-1289364.0,-888689.0,
Gain Loss On Investment Securities,-79573603.0,17314627.0,4829881.0,17864023.0,
Net Income From Continuing Operations,5566742.0,-11822059.0,-3128732.0,7783718.0,
