,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-377628.0,-19385.0
Net Income From Continuing Operation Net Minority Interest,-377628.0,-19385.0
EBITDA,-377628.0,-19385.0
EBIT,-377628.0,-19385.0
Normalized Income,-377628.0,-19385.0
Net Income From Continuing And Discontinued Operation,-377628.0,-19385.0
Total Expenses,377628.0,19385.0
Diluted NI Availto Com Stockholders,-377628.0,-19385.0
Net Income Common Stockholders,-377628.0,-19385.0
Net Income,-377628.0,-19385.0
Net Income Including Noncontrolling Interests,-377628.0,-19385.0
Net Income Continuous Operations,-377628.0,-19385.0
Pretax Income,-377628.0,-19385.0
Operating Income,-377628.0,-19385.0
Operating Expense,377628.0,19385.0
Other Operating Expenses,,1850.0
Selling General And Administration,377628.0,19385.0
General And Administrative Expense,377628.0,19385.0
Other Gand A,377628.0,19385.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
