,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,65099759.0,65798770.0,59612273.0,50943042.0
Ordinary Shares Number,120644313.0,119945302.0,126131799.0,134801030.0
Share Issued,185744072.0,185744072.0,185744072.0,185744072.0
Net Debt,6164000000.0,6427000000.0,5731000000.0,7021000000.0
Total Debt,7699000000.0,7210000000.0,6462000000.0,8379000000.0
Tangible Book Value,-1965000000.0,-2460000000.0,-2620000000.0,-2703000000.0
Invested Capital,9884000000.0,8826000000.0,8174000000.0,10392000000.0
Working Capital,632000000.0,727000000.0,362000000.0,621000000.0
Net Tangible Assets,-1965000000.0,-2460000000.0,-2620000000.0,-2703000000.0
Capital Lease Obligations,225000000.0,233000000.0,200000000.0,185000000.0
Common Stock Equity,2410000000.0,1849000000.0,1912000000.0,2198000000.0
Total Capitalization,9109000000.0,8641000000.0,7964000000.0,10221000000.0
Total Equity Gross Minority Interest,2864000000.0,2287000000.0,2330000000.0,2604000000.0
Minority Interest,454000000.0,438000000.0,418000000.0,406000000.0
Stockholders Equity,2410000000.0,1849000000.0,1912000000.0,2198000000.0
Gains Losses Not Affecting Retained Earnings,-1687000000.0,-1892000000.0,-1898000000.0,-3193000000.0
Other Equity Adjustments,-1687000000.0,-1892000000.0,-1898000000.0,-3193000000.0
Treasury Stock,,,299000000.0,255000000.0
Retained Earnings,3476000000.0,3141000000.0,3180000000.0,4538000000.0
Additional Paid In Capital,17000000.0,0.0,0.0,179000000.0
Capital Stock,604000000.0,600000000.0,630000000.0,929000000.0
Common Stock,604000000.0,600000000.0,630000000.0,929000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,12170000000.0,12014000000.0,11528000000.0,14087000000.0
Total Non Current Liabilities Net Minority Interest,7969000000.0,8082000000.0,7395000000.0,9805000000.0
Other Non Current Liabilities,105000000.0,88000000.0,93000000.0,112000000.0
Liabilities Heldfor Sale Non Current,,,0.0,199000000.0
Derivative Product Liabilities,,,1000000.0,23000000.0
Employee Benefits,436000000.0,414000000.0,518000000.0,704000000.0
Non Current Pension And Other Postretirement Benefit Plans,436000000.0,414000000.0,518000000.0,704000000.0
Non Current Accrued Expenses,184000000.0,195000000.0,212000000.0,226000000.0
Tradeand Other Payables Non Current,27000000.0,30000000.0,26000000.0,26000000.0
Non Current Deferred Liabilities,338000000.0,374000000.0,336000000.0,350000000.0
Non Current Deferred Taxes Liabilities,338000000.0,374000000.0,336000000.0,350000000.0
Long Term Debt And Capital Lease Obligation,6879000000.0,6981000000.0,6210000000.0,8165000000.0
Long Term Capital Lease Obligation,180000000.0,189000000.0,158000000.0,142000000.0
Long Term Debt,6699000000.0,6792000000.0,6052000000.0,8023000000.0
Current Liabilities,4201000000.0,3932000000.0,4133000000.0,4282000000.0
Other Current Liabilities,20000000.0,35000000.0,46000000.0,1007000000.0
Current Debt And Capital Lease Obligation,820000000.0,229000000.0,252000000.0,214000000.0
Current Capital Lease Obligation,45000000.0,44000000.0,42000000.0,43000000.0
Current Debt,775000000.0,185000000.0,210000000.0,171000000.0
Other Current Borrowings,775000000.0,185000000.0,210000000.0,171000000.0
Pensionand Other Post Retirement Benefit Plans Current,25000000.0,20000000.0,25000000.0,21000000.0
