,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,12101847.0,12101847.0,12101847.0,12101847.0
Ordinary Shares Number,130251685.0,130251685.0,130251685.0,130251685.0
Share Issued,142353532.0,142353532.0,142353532.0,142353532.0
Net Debt,2998063000.0,2845727000.0,2340562000.0,1782660000.0
Total Debt,3295701000.0,3239879000.0,2732657000.0,2354063000.0
Tangible Book Value,-3418518000.0,-3200645000.0,-3026726000.0,-1825949000.0
Invested Capital,934257000.0,1140044000.0,1127832000.0,1453969000.0
Working Capital,-1334186000.0,-361436000.0,-220046000.0,163881000.0
Net Tangible Assets,-3418518000.0,-3200645000.0,-3026726000.0,-1825949000.0
Capital Lease Obligations,239499000.0,235869000.0,234709000.0,237139000.0
Common Stock Equity,-2121945000.0,-1863966000.0,-1370116000.0,-662955000.0
Total Capitalization,-107931000.0,627461000.0,828480000.0,1305093000.0
Total Equity Gross Minority Interest,1746987000.0,2015657000.0,2743721000.0,2400830000.0
Minority Interest,3868932000.0,3879623000.0,4113837000.0,3063785000.0
Stockholders Equity,-2121945000.0,-1863966000.0,-1370116000.0,-662955000.0
Gains Losses Not Affecting Retained Earnings,-65419000.0,-27766000.0,-29496000.0,-46429000.0
Other Equity Adjustments,-65419000.0,-27766000.0,-29496000.0,-46429000.0
Treasury Stock,7000.0,7000.0,7000.0,8000.0
Retained Earnings,-4064589000.0,-3766931000.0,-3277270000.0,-2456649000.0
Additional Paid In Capital,2007965000.0,1930633000.0,1936552000.0,1840026000.0
Capital Stock,105000.0,105000.0,105000.0,105000.0
Common Stock,105000.0,105000.0,105000.0,105000.0
Total Liabilities Net Minority Interest,4306956000.0,3989277000.0,3486230000.0,2933708000.0
Total Non Current Liabilities Net Minority Interest,2355562000.0,2868041000.0,2681709000.0,2421591000.0
Other Non Current Liabilities,4533000.0,3785000.0,3254000.0,1998000.0
Preferred Securities Outside Stock Equity,,,3680782000.0,2913675000.0
Derivative Product Liabilities,,0.0,5863000.0,0.0
Non Current Accrued Expenses,44470000.0,60299000.0,75347000.0,74728000.0
Non Current Deferred Liabilities,99538000.0,112577000.0,184424000.0,153339000.0
Non Current Deferred Taxes Liabilities,99538000.0,112577000.0,184424000.0,153339000.0
Long Term Debt And Capital Lease Obligation,2207021000.0,2691380000.0,2412821000.0,2191526000.0
Long Term Capital Lease Obligation,193007000.0,199953000.0,214225000.0,223478000.0
Long Term Debt,2014014000.0,2491427000.0,2198596000.0,1968048000.0
Current Liabilities,1951394000.0,1121236000.0,804521000.0,512117000.0
Other Current Liabilities,163000.0,5290000.0,,
Current Deferred Liabilities,59408000.0,100802000.0,81032000.0,87740000.0
Current Deferred Revenue,59408000.0,100802000.0,81032000.0,87740000.0
Current Debt And Capital Lease Obligation,1088680000.0,548499000.0,319836000.0,162537000.0
Current Capital Lease Obligation,46492000.0,35916000.0,20484000.0,13661000.0
Current Debt,1042188000.0,512583000.0,299352000.0,148876000.0
Other Current Borrowings,730373000.0,357087000.0,299352000.0,148876000.0
Line Of Credit,311815000.0,155496000.0,,24481000.0
Payables And Accrued Expenses,803143000.0,466645000.0,403653000.0,261840000.0
Current Accrued Expenses,387040000.0,75010000.0,121149000.0,99920000.0
Payables,416103000.0,391635000.0,282504000.0,161920000.0
Other Payable,269726000.0,216108000.0,159042000.0,134034000.0
Total Tax Payable,17141000.0,28779000.0,20954000.0,9254000.0
Income Tax Payable,1522000.0,818000.0,0.0,858000.0
Accounts Payable,129236000.0,146748000.0,102508000.0,18632000.0
Total Assets,6053943000.0,6004934000.0,6229951000.0,5334538000.0
Total Non Current Assets,5436735000.0,5245134000.0,5645476000.0,4658540000.0
Other Non Current Assets,6341000.0,7842000.0,13578000.0,107470000.0
