,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-396384000.0,-601500000.0,-1139606000.0,-742668000.0
Repayment Of Debt,-7561000.0,-197003000.0,-206057000.0,-1271001000.0
Issuance Of Debt,469845000.0,860604000.0,557179000.0,1624104000.0
Capital Expenditure,-119913000.0,-384806000.0,-780293000.0,-512902000.0
Interest Paid Supplemental Data,152359000.0,145257000.0,134180000.0,73848000.0
Income Tax Paid Supplemental Data,898000.0,3013000.0,0.0,3259000.0
End Cash Position,90419000.0,159343000.0,158911000.0,446395000.0
Beginning Cash Position,159343000.0,158911000.0,446395000.0,74307000.0
Effect Of Exchange Rate Changes,-2425000.0,-47170000.0,-4639000.0,-2563000.0
Changes In Cash,-66499000.0,47602000.0,-282845000.0,374651000.0
Financing Cash Flow,257653000.0,383088000.0,642449000.0,1138302000.0
Cash Flow From Continuing Financing Activities,257653000.0,383088000.0,642449000.0,1138302000.0
Net Other Financing Charges,-204631000.0,-280513000.0,291327000.0,785199000.0
Net Issuance Payments Of Debt,462284000.0,663601000.0,351122000.0,353103000.0
Net Short Term Debt Issuance,337695000.0,217470000.0,126112000.0,-288742000.0
Short Term Debt Payments,,-197598000.0,-24706000.0,-1029176000.0
Short Term Debt Issuance,337695000.0,217470000.0,126112000.0,740434000.0
Net Long Term Debt Issuance,124589000.0,446131000.0,225010000.0,641845000.0
Long Term Debt Payments,-7561000.0,-197003000.0,-206057000.0,-241825000.0
Long Term Debt Issuance,132150000.0,643134000.0,431067000.0,883670000.0
Investing Cash Flow,-47681000.0,-118792000.0,-565981000.0,-533885000.0
Cash Flow From Continuing Investing Activities,-47681000.0,-118792000.0,-565981000.0,-533885000.0
Net Other Investing Changes,,245629000.0,31525000.0,24842000.0
Dividends Received Cfi,12022000.0,5101000.0,15863000.0,0.0
Net Investment Purchase And Sale,0.0,11949000.0,19978000.0,-108490000.0
Sale Of Investment,0.0,11949000.0,19978000.0,0.0
Purchase Of Investment,,0.0,0.0,-108490000.0
Net Business Purchase And Sale,59900000.0,-2300000.0,-66029000.0,62394000.0
Sale Of Business,60000000.0,0.0,1569000.0,234574000.0
Purchase Of Business,-100000.0,-2300000.0,-67598000.0,-172180000.0
Net Intangibles Purchase And Sale,-4211000.0,-1033000.0,-19712000.0,-8198000.0
Sale Of Intangibles,,,,0.0
Purchase Of Intangibles,-4211000.0,-1033000.0,-19712000.0,-8198000.0
Net PPE Purchase And Sale,-115392000.0,-378138000.0,-547606000.0,-504433000.0
Sale Of PPE,310000.0,5635000.0,212975000.0,271000.0
Purchase Of PPE,-115702000.0,-383773000.0,-760581000.0,-504704000.0
Operating Cash Flow,-276471000.0,-216694000.0,-359313000.0,-229766000.0
Cash Flow From Continuing Operating Activities,-276471000.0,-216694000.0,-359313000.0,-229766000.0
Change In Working Capital,-55011000.0,105033000.0,-46598000.0,-32616000.0
Change In Other Working Capital,-41179000.0,57168000.0,-193464000.0,84543000.0
Change In Other Current Liabilities,-18147000.0,-2935000.0,-13339000.0,-12824000.0
Change In Other Current Assets,1618000.0,-15000.0,-175000.0,392000.0
Change In Payables And Accrued Expense,71492000.0,227077000.0,260090000.0,-1617000.0
Change In Accrued Expense,55008000.0,112516000.0,-1894000.0,-12841000.0
Change In Payable,16484000.0,114561000.0,261984000.0,11224000.0
Change In Account Payable,15779000.0,113743000.0,262842000.0,11119000.0
Change In Tax Payable,705000.0,818000.0,-858000.0,105000.0
Change In Income Tax Payable,705000.0,818000.0,-858000.0,105000.0
Change In Prepaid Assets,-149738000.0,-130156000.0,-30908000.0,-82497000.0
Change In Inventory,44489000.0,-46750000.0,-4352000.0,-14446000.0
Change In Receivables,36454000.0,644000.0,-64450000.0,-6167000.0
Changes In Account Receivables,36454000.0,644000.0,-64450000.0,-6167000.0
Other Non Cash Items,192352000.0,343929000.0,95509000.0,104389000.0
Stock Based Compensation,0.0,-5919000.0,14680000.0,20621000.0
Provisionand Write Offof Assets,64712000.0,5400000.0,2555000.0,6058000.0
Asset Impairment Charge,,0.0,0.0,8500000.0
Deferred Tax,-13039000.0,-71848000.0,11257000.0,-13347000.0
Deferred Income Tax,-13039000.0,-71848000.0,11257000.0,-13347000.0
Depreciation Amortization Depletion,128454000.0,132814000.0,104080000.0,80299000.0
Depreciation And Amortization,128454000.0,132814000.0,104080000.0,80299000.0
Amortization Cash Flow,46330000.0,44122000.0,39792000.0,25269000.0
Amortization Of Intangibles,46330000.0,44122000.0,39792000.0,25269000.0
Depreciation,82124000.0,88692000.0,64288000.0,55030000.0
Operating Gains Losses,-62918000.0,42887000.0,-18124000.0,359000.0
Earnings Losses From Equity Investments,-58287000.0,-17647000.0,-18163000.0,-6021000.0
Gain Loss On Investment Securities,-5207000.0,-1015000.0,39000.0,
Gain Loss On Sale Of PPE,-62000.0,3000.0,0.0,-677000.0
Gain Loss On Sale Of Business,638000.0,61546000.0,0.0,7057000.0
Net Income From Continuing Operations,-531021000.0,-768990000.0,-522672000.0,-404029000.0
