,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-12577000.0,-67390000.0,-51087000.0,-17715000.0
Repurchase Of Capital Stock,0.0,-40000000.0,0.0,0.0
Repayment Of Debt,-31000.0,-35000.0,0.0,-23000.0
Issuance Of Debt,30000000.0,0.0,0.0,223100000.0
Issuance Of Capital Stock,55000.0,379000.0,486388000.0,10185000.0
Capital Expenditure,-12392000.0,-13486000.0,-12564000.0,-10117000.0
Interest Paid Supplemental Data,4240000.0,2381000.0,2328000.0,63000.0
Income Tax Paid Supplemental Data,,,0.0,0.0
End Cash Position,91830000.0,121985000.0,233562000.0,293349000.0
Beginning Cash Position,121985000.0,233562000.0,293349000.0,104587000.0
Effect Of Exchange Rate Changes,118000.0,-1926000.0,-567000.0,47000.0
Changes In Cash,-30273000.0,-109651000.0,-59220000.0,188715000.0
Financing Cash Flow,-20026000.0,-39987000.0,485998000.0,206430000.0
Cash Flow From Continuing Financing Activities,-20026000.0,-39987000.0,485998000.0,206430000.0
Net Other Financing Charges,-50050000.0,-331000.0,-390000.0,-26832000.0
Net Common Stock Issuance,55000.0,-39621000.0,486388000.0,10185000.0
Common Stock Payments,0.0,-40000000.0,0.0,0.0
Common Stock Issuance,55000.0,379000.0,486388000.0,10185000.0
Net Issuance Payments Of Debt,29969000.0,-35000.0,0.0,223077000.0
Net Long Term Debt Issuance,29969000.0,-35000.0,0.0,223077000.0
Long Term Debt Payments,-31000.0,-35000.0,0.0,-23000.0
Long Term Debt Issuance,30000000.0,0.0,0.0,223100000.0
Investing Cash Flow,-10062000.0,-15760000.0,-506695000.0,-10117000.0
Cash Flow From Continuing Investing Activities,-10062000.0,-15760000.0,-506695000.0,-10117000.0
Net Business Purchase And Sale,2330000.0,-2274000.0,-494131000.0,0.0
Sale Of Business,2330000.0,0.0,0.0,
Purchase Of Business,0.0,-2274000.0,-494131000.0,0.0
Net Intangibles Purchase And Sale,0.0,-175000.0,-133000.0,-76000.0
Purchase Of Intangibles,0.0,-175000.0,-133000.0,-76000.0
Net PPE Purchase And Sale,-667000.0,-1171000.0,-3108000.0,-5408000.0
Purchase Of PPE,-667000.0,-1171000.0,-3108000.0,-5408000.0
Capital Expenditure Reported,-11725000.0,-12140000.0,-9323000.0,-4633000.0
Operating Cash Flow,-185000.0,-53904000.0,-38523000.0,-7598000.0
Cash Flow From Continuing Operating Activities,-185000.0,-53904000.0,-38523000.0,-7598000.0
Change In Working Capital,-13474000.0,-11317000.0,-6697000.0,-3753000.0
Change In Other Current Liabilities,-988000.0,3103000.0,22350000.0,-70000.0
Change In Other Current Assets,,,0.0,0.0
Change In Payables And Accrued Expense,-7253000.0,-10409000.0,355000.0,-1222000.0
Change In Accrued Expense,-7492000.0,-9516000.0,-905000.0,-1238000.0
Change In Payable,239000.0,-893000.0,1260000.0,16000.0
Change In Account Payable,239000.0,-893000.0,1260000.0,16000.0
Change In Prepaid Assets,2492000.0,535000.0,-1466000.0,-65000.0
Change In Receivables,-7725000.0,-4546000.0,-27936000.0,-2396000.0
Changes In Account Receivables,,,,-2396000.0
Other Non Cash Items,428000.0,-117591000.0,18685000.0,7589000.0
Stock Based Compensation,40980000.0,44686000.0,50264000.0,32396000.0
Asset Impairment Charge,70518000.0,453288000.0,0.0,0.0
Deferred Tax,0.0,-1446000.0,-7864000.0,0.0
Deferred Income Tax,0.0,-1446000.0,-7864000.0,0.0
Depreciation Amortization Depletion,29515000.0,43740000.0,35654000.0,11592000.0
Depreciation And Amortization,29515000.0,43740000.0,35654000.0,11592000.0
Depreciation,29515000.0,43740000.0,35654000.0,11592000.0
Operating Gains Losses,6550000.0,,,
Gain Loss On Sale Of Business,6550000.0,0.0,0.0,
Net Income From Continuing Operations,-134702000.0,-465264000.0,-128565000.0,-55422000.0
