,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-20708100.0,22470.0,4664.0,-77740.0
Tax Rate For Calcs,0.21,0.21,0.044,0.052
Normalized EBITDA,13691000.0,-61331000.0,-17947000.0,-6676000.0
Total Unusual Items,-98610000.0,107000.0,106000.0,-1495000.0
Total Unusual Items Excluding Goodwill,-98610000.0,107000.0,106000.0,-1495000.0
Net Income From Continuing Operation Net Minority Interest,-190284000.0,-76613000.0,-30662000.0,-18714000.0
Reconciled Depreciation,19824000.0,16007000.0,11885000.0,9544000.0
Reconciled Cost Of Revenue,101999000.0,112212000.0,97389000.0,63117000.0
EBITDA,-84919000.0,-61224000.0,-17841000.0,-8171000.0
EBIT,-104743000.0,-77231000.0,-29726000.0,-17715000.0
Net Interest Income,11867000.0,3762000.0,160000.0,271000.0
Interest Income,11867000.0,3762000.0,160000.0,271000.0
Normalized Income,-112382100.0,-76697530.0,-30763336.0,-17296740.0
Net Income From Continuing And Discontinued Operation,-190284000.0,-76613000.0,-30662000.0,-18714000.0
Total Expenses,385067000.0,399024000.0,326123000.0,209909000.0
Total Operating Income As Reported,-203363000.0,-77231000.0,-29726000.0,-22528000.0
Diluted Average Shares,53764705.0,53321625.0,52241076.0,46481772.0
Basic Average Shares,53764705.0,53321625.0,52241076.0,46481772.0
Diluted EPS,-3.54,-1.44,-0.59,-0.4
Basic EPS,-3.54,-1.44,-0.59,-0.4
Diluted NI Availto Com Stockholders,-190284000.0,-76613000.0,-30662000.0,-18714000.0
Net Income Common Stockholders,-190284000.0,-76613000.0,-30662000.0,-18714000.0
Net Income,-190284000.0,-76613000.0,-30662000.0,-18714000.0
Minority Interests,,,,0.0
Net Income Including Noncontrolling Interests,-190284000.0,-76613000.0,-30662000.0,-18714000.0
Net Income Continuous Operations,-190284000.0,-76613000.0,-30662000.0,-18714000.0
Tax Provision,141000.0,379000.0,-1426000.0,-1036000.0
Pretax Income,-190143000.0,-76234000.0,-32088000.0,-19750000.0
Other Income Expense,-97267000.0,-2765000.0,-2522000.0,-2306000.0
Other Non Operating Income Expenses,1343000.0,-2872000.0,-2628000.0,-811000.0
Special Income Charges,-98620000.0,0.0,0.0,0.0
Other Special Charges,96300000.0,,,
Restructuring And Mergern Acquisition,2320000.0,0.0,0.0,
Gain On Sale Of Security,10000.0,107000.0,106000.0,-1495000.0
Net Non Operating Interest Income Expense,11867000.0,3762000.0,160000.0,271000.0
Total Other Finance Cost,,,,-271000.0
Interest Income Non Operating,11867000.0,3762000.0,160000.0,271000.0
Operating Income,-104743000.0,-77231000.0,-29726000.0,-17715000.0
Operating Expense,283068000.0,286812000.0,228734000.0,146792000.0
Other Operating Expenses,,,,-4813000.0
Research And Development,81866000.0,90388000.0,76525000.0,48941000.0
Selling General And Administration,201202000.0,196424000.0,152209000.0,102664000.0
Selling And Marketing Expense,83334000.0,96027000.0,77245000.0,53858000.0
General And Administrative Expense,117868000.0,100397000.0,74964000.0,48806000.0
Other Gand A,117868000.0,100397000.0,74964000.0,48806000.0
Gross Profit,178325000.0,209581000.0,199008000.0,129077000.0
Cost Of Revenue,101999000.0,112212000.0,97389000.0,63117000.0
Total Revenue,280324000.0,321793000.0,296397000.0,192194000.0
Operating Revenue,280324000.0,321793000.0,296397000.0,192194000.0
