,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-12287430.0,0.0
Tax Rate For Calcs,0.21,0.27,0.27
Normalized EBITDA,-30216000.0,-20256000.0,-13149000.0
Total Unusual Items,0.0,-45509000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-45509000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-46382000.0,-68067000.0,-16274000.0
Reconciled Depreciation,556000.0,721000.0,931000.0
Reconciled Cost Of Revenue,4843000.0,4024000.0,4256000.0
EBITDA,-30216000.0,-65765000.0,-13149000.0
EBIT,-30772000.0,-66486000.0,-14081000.0
Net Interest Income,12460000.0,3982000.0,-520000.0
Interest Expense,12643000.0,561000.0,688000.0
Interest Income,25103000.0,4543000.0,168000.0
Normalized Income,-46382000.0,-34845430.0,-16274000.0
Net Income From Continuing And Discontinued Operation,-46382000.0,-68067000.0,-16274000.0
Total Expenses,171622000.0,105773000.0,84746000.0
Rent Expense Supplemental,526000.0,596000.0,575000.0
Total Operating Income As Reported,-55875000.0,-71029000.0,-14249000.0
Diluted Average Shares,45121956.0,6686432.0,45121956.0
Basic Average Shares,45121956.0,6686432.0,45121956.0
Diluted EPS,-1.03,-10.18,-0.360667
Basic EPS,-1.03,-10.18,-0.360667
Diluted NI Availto Com Stockholders,-46382000.0,-68067000.0,-16274000.0
Net Income Common Stockholders,-46382000.0,-68067000.0,-16274000.0
Net Income,-46382000.0,-68067000.0,-16274000.0
Minority Interests,1000.0,-54000.0,5000.0
Net Income Including Noncontrolling Interests,-46383000.0,-68013000.0,-16279000.0
Net Income Continuous Operations,-46383000.0,-68013000.0,-16279000.0
Tax Provision,2968000.0,966000.0,1510000.0
Pretax Income,-43415000.0,-67047000.0,-14769000.0
Other Income Expense,,-45509000.0,-81683000.0
Special Income Charges,0.0,-45509000.0,0.0
Restructuring And Mergern Acquisition,0.0,45509000.0,0.0
Gain On Sale Of Security,,,-81683000.0
Net Non Operating Interest Income Expense,12460000.0,3982000.0,-520000.0
Interest Expense Non Operating,12643000.0,561000.0,688000.0
Interest Income Non Operating,25103000.0,4543000.0,168000.0
Operating Income,-55875000.0,-25520000.0,-14249000.0
Operating Expense,166779000.0,101749000.0,80491000.0
Other Operating Expenses,1059000.0,793000.0,1258000.0
Other Taxes,11529000.0,8440000.0,8867000.0
Depreciation Amortization Depletion Income Statement,556000.0,721000.0,932000.0
Depreciation And Amortization In Income Statement,556000.0,721000.0,932000.0
Selling General And Administration,153635000.0,91795000.0,69434000.0
Selling And Marketing Expense,88412000.0,48214000.0,35063000.0
General And Administrative Expense,65223000.0,43581000.0,34371000.0
Other Gand A,49396000.0,35905000.0,28639000.0
Rent And Landing Fees,526000.0,596000.0,575000.0
Salaries And Wages,15301000.0,7080000.0,5157000.0
Gross Profit,110904000.0,76229000.0,66242000.0
Cost Of Revenue,4843000.0,4024000.0,4255000.0
Total Revenue,115747000.0,80253000.0,70497000.0
Operating Revenue,115747000.0,80053000.0,70497000.0
