,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-57056000.0,2977000.0,-28095000.0,-20212000.0
Repayment Of Debt,,0.0,0.0,-60000.0
Issuance Of Capital Stock,8652000.0,0.0,0.0,86250000.0
Capital Expenditure,-4418000.0,-8307000.0,-13828000.0,-3748000.0
Interest Paid Supplemental Data,44000.0,34000.0,14000.0,52000.0
Income Tax Paid Supplemental Data,194000.0,100000.0,102000.0,312000.0
End Cash Position,66697000.0,116026000.0,118895000.0,150817000.0
Beginning Cash Position,116026000.0,118895000.0,150817000.0,92221000.0
Changes In Cash,-49329000.0,-2869000.0,-31922000.0,58596000.0
Financing Cash Flow,8167000.0,-575000.0,3767000.0,80808000.0
Cash Flow From Continuing Financing Activities,8167000.0,-575000.0,3767000.0,80808000.0
Net Other Financing Charges,-907000.0,-1530000.0,-1413000.0,-6705000.0
Proceeds From Stock Option Exercised,422000.0,955000.0,5180000.0,1323000.0
Net Common Stock Issuance,8652000.0,0.0,0.0,86250000.0
Common Stock Issuance,8652000.0,0.0,0.0,86250000.0
Net Issuance Payments Of Debt,,0.0,0.0,-60000.0
Net Long Term Debt Issuance,,0.0,0.0,-60000.0
Long Term Debt Payments,,0.0,0.0,-60000.0
Investing Cash Flow,-4858000.0,-13578000.0,-21422000.0,-5748000.0
Cash Flow From Continuing Investing Activities,-4858000.0,-13578000.0,-21422000.0,-5748000.0
Net Investment Purchase And Sale,-1191000.0,-5300000.0,-7630000.0,-2000000.0
Sale Of Investment,,,0.0,0.0
Purchase Of Investment,-1191000.0,-5300000.0,-7630000.0,-2000000.0
Net PPE Purchase And Sale,-3667000.0,-8278000.0,-13792000.0,-3748000.0
Sale Of PPE,751000.0,29000.0,36000.0,0.0
Purchase Of PPE,-4418000.0,-8307000.0,-13828000.0,-3748000.0
Operating Cash Flow,-52638000.0,11284000.0,-14267000.0,-16464000.0
Cash Flow From Continuing Operating Activities,-52638000.0,11284000.0,-14267000.0,-16464000.0
Change In Working Capital,-18217000.0,21572000.0,-7624000.0,-3891000.0
Change In Other Working Capital,-33889000.0,30501000.0,7875000.0,8922000.0
Change In Other Current Liabilities,-5341000.0,-5223000.0,-4147000.0,-2586000.0
Change In Other Current Assets,20247000.0,-3225000.0,-9156000.0,-8723000.0
Change In Payables And Accrued Expense,2287000.0,207000.0,268000.0,101000.0
Change In Payable,2287000.0,207000.0,268000.0,101000.0
Change In Account Payable,2287000.0,207000.0,268000.0,101000.0
Change In Prepaid Assets,-865000.0,181000.0,-2268000.0,-1012000.0
Change In Inventory,-656000.0,-869000.0,-196000.0,-593000.0
Other Non Cash Items,4000.0,-29000.0,-19000.0,15000.0
Stock Based Compensation,9971000.0,14531000.0,11593000.0,7728000.0
Unrealized Gain Loss On Investment Securities,0.0,-208000.0,-1272000.0,0.0
Provisionand Write Offof Assets,-65000.0,4000.0,342000.0,40000.0
Asset Impairment Charge,22199000.0,0.0,0.0,
Depreciation Amortization Depletion,9923000.0,10251000.0,5947000.0,4554000.0
Depreciation And Amortization,9923000.0,10251000.0,5947000.0,4554000.0
Depreciation,9923000.0,10251000.0,5947000.0,4554000.0
Operating Gains Losses,-213000.0,-1245000.0,-1955000.0,-900000.0
Gain Loss On Investment Securities,-213000.0,-1245000.0,-1955000.0,-900000.0
Net Income From Continuing Operations,-76240000.0,-33592000.0,-21279000.0,-24010000.0
