,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1165710.0,0.0,-223020.0,-3308850.0
Tax Rate For Calcs,0.21,0.21,0.27,0.27
Normalized EBITDA,-18940000.0,-15890000.0,-19438000.0,-12106000.0
Total Unusual Items,-5551000.0,0.0,-826000.0,-12255000.0
Total Unusual Items Excluding Goodwill,-5551000.0,0.0,-826000.0,-12255000.0
Net Income From Continuing Operation Net Minority Interest,-31446000.0,-24792000.0,-31249000.0,-37817000.0
Reconciled Depreciation,1369000.0,672000.0,438000.0,381000.0
Reconciled Cost Of Revenue,2765000.0,2049000.0,0.0,
EBITDA,-24491000.0,-15890000.0,-20264000.0,-24361000.0
EBIT,-25860000.0,-16562000.0,-20702000.0,-24742000.0
Net Interest Income,-4944000.0,-8263000.0,-11959000.0,-11665000.0
Interest Expense,5575000.0,8263000.0,9595000.0,10899000.0
Interest Income,631000.0,0.0,,
Normalized Income,-27060710.0,-24792000.0,-30646020.0,-28870850.0
Net Income From Continuing And Discontinued Operation,-31446000.0,-24792000.0,-31249000.0,-37817000.0
Total Expenses,22931000.0,18063000.0,18076000.0,12295000.0
Total Operating Income As Reported,-20940000.0,-16562000.0,-17512000.0,-11754000.0
Diluted Average Shares,65656000.0,49871000.0,40561000.0,34188000.0
Basic Average Shares,65656000.0,49871000.0,40561000.0,34188000.0
Diluted EPS,-0.56,-0.6,-0.84,-1.11
Basic EPS,-0.56,-0.6,-0.84,-1.11
Diluted NI Availto Com Stockholders,-36552000.0,-29898000.0,-33986000.0,-37817000.0
Net Income Common Stockholders,-36552000.0,-29898000.0,-33986000.0,-37817000.0
Preferred Stock Dividends,5106000.0,5106000.0,2737000.0,
Net Income,-31446000.0,-24792000.0,-31249000.0,-37817000.0
Net Income Including Noncontrolling Interests,-31446000.0,-24792000.0,-31249000.0,-37817000.0
Net Income Continuous Operations,-31446000.0,-24792000.0,-31249000.0,-37817000.0
Earnings From Equity Interest Net Of Tax,0.0,40000.0,-942000.0,-2169000.0
Tax Provision,11000.0,7000.0,10000.0,7000.0
Pretax Income,-31435000.0,-24825000.0,-30297000.0,-35641000.0
Other Income Expense,-5551000.0,,-826000.0,-12222000.0
Other Non Operating Income Expenses,,,,33000.0
Special Income Charges,-5331000.0,0.0,-1399000.0,-12394000.0
Other Special Charges,5331000.0,,1399000.0,12394000.0
Gain On Sale Of Security,-220000.0,,573000.0,139000.0
Net Non Operating Interest Income Expense,-4944000.0,-8263000.0,-11959000.0,-11665000.0
Total Other Finance Cost,,,2364000.0,766000.0
Interest Expense Non Operating,5575000.0,8263000.0,9595000.0,10899000.0
Interest Income Non Operating,631000.0,0.0,,
Operating Income,-20940000.0,-16562000.0,-17512000.0,-11754000.0
Operating Expense,20044000.0,15996000.0,18076000.0,12295000.0
Depreciation Amortization Depletion Income Statement,1247000.0,654000.0,423000.0,381000.0
Depreciation And Amortization In Income Statement,1247000.0,654000.0,423000.0,381000.0
Depreciation Income Statement,1247000.0,654000.0,423000.0,381000.0
Selling General And Administration,18797000.0,15342000.0,17653000.0,11914000.0
General And Administrative Expense,18797000.0,15342000.0,17653000.0,11914000.0
Other Gand A,18797000.0,15342000.0,17653000.0,11914000.0
Gross Profit,-896000.0,-566000.0,564000.0,
Cost Of Revenue,2887000.0,2067000.0,0.0,
Total Revenue,1991000.0,1501000.0,564000.0,541000.0
Operating Revenue,1991000.0,1501000.0,564000.0,541000.0
