,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-20090000.0,-17819000.0,-21229000.0,-19904000.0
Repurchase Of Capital Stock,-1441000.0,-4750000.0,-3196000.0,-534000.0
Issuance Of Capital Stock,0.0,14569000.0,18593000.0,458997000.0
End Cash Position,6904000.0,3404000.0,679000.0,1400000.0
Beginning Cash Position,3404000.0,679000.0,1400000.0,1253000.0
Changes In Cash,3500000.0,2725000.0,-721000.0,147000.0
Financing Cash Flow,-1441000.0,9784000.0,15352000.0,455270000.0
Net Other Financing Charges,0.0,0.0,0.0,0.0
Net Common Stock Issuance,-1441000.0,9819000.0,15397000.0,458463000.0
Common Stock Payments,-1441000.0,-4750000.0,-3196000.0,-534000.0
Common Stock Issuance,0.0,14569000.0,18593000.0,458997000.0
Investing Cash Flow,25031000.0,10760000.0,5156000.0,-435219000.0
Net Investment Purchase And Sale,25031000.0,10760000.0,5156000.0,-435219000.0
Sale Of Investment,25031000.0,10760000.0,7942000.0,5043000.0
Purchase Of Investment,0.0,0.0,-2786000.0,-440262000.0
Operating Cash Flow,-20090000.0,-17819000.0,-21229000.0,-19904000.0
Change In Working Capital,605000.0,1127000.0,-63000.0,-1032000.0
Change In Other Current Liabilities,0.0,0.0,0.0,0.0
Change In Payable,605000.0,1127000.0,-63000.0,-1032000.0
Other Non Cash Items,,,,-1026915000.0
Gain Loss On Investment Securities,-329231000.0,-23673000.0,289534000.0,-1026915000.0
Net Income From Continuing Operations,308536000.0,4727000.0,-310700000.0,1008043000.0
