,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.2621,0.0,0.265
Net Income From Continuing Operation Net Minority Interest,308536000.0,4727000.0,-310700000.0,1008043000.0
Normalized Income,308536000.0,4727000.0,-310700000.0,1008043000.0
Net Income From Continuing And Discontinued Operation,308536000.0,4727000.0,-310700000.0,1008043000.0
Diluted Average Shares,214594708.0,217714815.0,220847830.0,209428881.0
Basic Average Shares,214594708.0,217714815.0,220847830.0,209428881.0
Diluted EPS,1.44,0.02,-1.41,4.81
Basic EPS,1.44,0.02,-1.41,4.81
Diluted NI Availto Com Stockholders,308536000.0,4727000.0,-310700000.0,1008043000.0
Net Income Common Stockholders,308536000.0,4727000.0,-310700000.0,1008043000.0
Net Income,308536000.0,4727000.0,-310700000.0,1008043000.0
Net Income Including Noncontrolling Interests,308536000.0,4727000.0,-310700000.0,1008043000.0
Net Income Continuous Operations,308536000.0,4727000.0,-310700000.0,1008043000.0
Pretax Income,308536000.0,4727000.0,-310700000.0,1008043000.0
Gain On Sale Of Security,29166000.0,24121000.0,10784000.0,759000.0
Operating Expense,4414000.0,3423000.0,4472000.0,4105000.0
Other Operating Expenses,1510000.0,1047000.0,1471000.0,1311000.0
Selling General And Administration,2904000.0,2376000.0,3001000.0,2794000.0
General And Administrative Expense,2904000.0,2376000.0,3001000.0,2794000.0
Total Revenue,312950000.0,8150000.0,-306228000.0,1012148000.0
Operating Revenue,312950000.0,8150000.0,-306228000.0,1012148000.0
