,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,123785000.0,99918000.0,-99736000.0,2821000.0
Repayment Of Debt,-44000.0,-63000.0,-94000.0,-9882000.0
Issuance Of Debt,,,,0.0
Issuance Of Capital Stock,0.0,542018000.0,67769000.0,21892000.0
Capital Expenditure,-17433000.0,-8264000.0,-3150000.0,-574000.0
Interest Paid Supplemental Data,0.0,0.0,7000.0,448000.0
Income Tax Paid Supplemental Data,56748000.0,14335000.0,0.0,0.0
End Cash Position,755981000.0,652927000.0,16255000.0,43248000.0
Beginning Cash Position,652927000.0,16255000.0,43248000.0,23091000.0
Effect Of Exchange Rate Changes,1257000.0,50000.0,-538000.0,434000.0
Changes In Cash,101797000.0,636622000.0,-26455000.0,19723000.0
Financing Cash Flow,-25221000.0,534112000.0,71395000.0,15571000.0
Cash Flow From Continuing Financing Activities,-25221000.0,534112000.0,71395000.0,15571000.0
Net Other Financing Charges,,,,-566000.0
Proceeds From Stock Option Exercised,2285000.0,3683000.0,3720000.0,4127000.0
Cash Dividends Paid,-27462000.0,-11526000.0,0.0,0.0
Preferred Stock Dividend Paid,-27462000.0,-11526000.0,0.0,0.0
Net Preferred Stock Issuance,0.0,542018000.0,0.0,0.0
Preferred Stock Issuance,0.0,542018000.0,0.0,0.0
Net Common Stock Issuance,0.0,0.0,67769000.0,21892000.0
Common Stock Issuance,0.0,0.0,67769000.0,21892000.0
Net Issuance Payments Of Debt,-44000.0,-63000.0,-94000.0,-9882000.0
Net Short Term Debt Issuance,,,0.0,-9601531.0
Short Term Debt Payments,,,0.0,-9601531.0
Net Long Term Debt Issuance,-44000.0,-63000.0,-94000.0,-9882000.0
Long Term Debt Payments,-44000.0,-63000.0,-94000.0,-9882000.0
Long Term Debt Issuance,,,,0.0
Investing Cash Flow,-14200000.0,-5672000.0,-1264000.0,757000.0
Cash Flow From Continuing Investing Activities,-14200000.0,-5672000.0,-1264000.0,757000.0
Net Other Investing Changes,3233000.0,2592000.0,1886000.0,1331000.0
Net Business Purchase And Sale,,,,0.0
Purchase Of Business,,,,0.0
Net PPE Purchase And Sale,-17433000.0,-8264000.0,-3150000.0,-574000.0
Purchase Of PPE,-17433000.0,-8264000.0,-3150000.0,-574000.0
Operating Cash Flow,141218000.0,108182000.0,-96586000.0,3395000.0
Cash Flow From Continuing Operating Activities,141218000.0,108182000.0,-96586000.0,3395000.0
Change In Working Capital,-92988000.0,235408000.0,-133762000.0,-13610000.0
Change In Other Working Capital,51087000.0,206403000.0,13379000.0,3377000.0
Change In Other Current Liabilities,7203000.0,2427000.0,403000.0,55000.0
Change In Other Current Assets,-28000.0,37000.0,0.0,0.0
Change In Payables And Accrued Expense,41587000.0,38894000.0,51807000.0,4743000.0
Change In Accrued Expense,-11764000.0,38630000.0,26484000.0,0.0
Change In Payable,53351000.0,264000.0,25323000.0,4743000.0
Change In Account Payable,5249000.0,428000.0,23966000.0,4743000.0
Change In Tax Payable,48102000.0,-164000.0,1357000.0,
Change In Income Tax Payable,48102000.0,-164000.0,1357000.0,
Change In Prepaid Assets,-7980000.0,2214000.0,1072000.0,-10457000.0
Change In Inventory,-63299000.0,11802000.0,-175174000.0,-3859000.0
Change In Receivables,-121558000.0,-26369000.0,-25249000.0,-7469000.0
Changes In Account Receivables,-121558000.0,-26369000.0,-25249000.0,-7469000.0
Other Non Cash Items,14124000.0,5885000.0,-28000.0,-152000.0
Stock Based Compensation,21226000.0,20665000.0,36475000.0,6340000.0
Provisionand Write Offof Assets,9440000.0,8483000.0,3849000.0,748000.0
Asset Impairment Charge,0.0,2379000.0,0.0,257000.0
Deferred Tax,-42055000.0,20244000.0,-9201000.0,0.0
Deferred Income Tax,-42055000.0,20244000.0,-9201000.0,0.0
Depreciation Amortization Depletion,3226000.0,1917000.0,1264000.0,1611000.0
Depreciation And Amortization,3226000.0,1917000.0,1264000.0,1611000.0
Amortization Cash Flow,,555000.0,713532.0,1484000.0
Amortization Of Intangibles,,555000.0,713532.0,1484000.0
Depreciation,,1362000.0,549689.0,127000.0
Operating Gains Losses,1444000.0,483000.0,880000.0,-323000.0
Net Foreign Currency Exchange Gain Loss,1246000.0,483000.0,880000.0,-323000.0
Gain Loss On Sale Of PPE,198000.0,0.0,0.0,
Gain Loss On Sale Of Business,,,0.0,-322936.0
Net Income From Continuing Operations,226801000.0,-187282000.0,3937000.0,8524000.0
