,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,30828778.0,30084199.0,26125620.0,26125620.0
Share Issued,30828778.0,30084199.0,26125620.0,26125620.0
Net Debt,,,,2119271.0
Total Debt,,66107743.0,3494037.0,7155462.0
Tangible Book Value,,167802877.0,263769992.0,7849396.0
Invested Capital,,229739496.0,265938015.0,14563131.0
Working Capital,,132761628.0,254673512.0,5596758.0
Net Tangible Assets,,167802877.0,263769992.0,7849396.0
Capital Lease Obligations,,8734916.0,1329327.0,487157.0
Common Stock Equity,,172366669.0,263773305.0,7894826.0
Total Capitalization,,172366669.0,263773305.0,7894826.0
Total Equity Gross Minority Interest,,171889534.0,263773305.0,7866188.0
Minority Interest,,-477135.0,0.0,-28638.0
Stockholders Equity,,172366669.0,263773305.0,7894826.0
Gains Losses Not Affecting Retained Earnings,,-5306972.0,-1392699.0,-1904839.0
Other Equity Adjustments,,-5306972.0,-1392699.0,-1904839.0
Retained Earnings,,-219824176.0,-109735935.0,-93314128.0
Additional Paid In Capital,,397497817.0,374901939.0,103113793.0
Capital Stock,,0.0,0.0,0.0
Common Stock,,0.0,0.0,0.0
Total Liabilities Net Minority Interest,,95958782.0,27591064.0,14892780.0
Total Non Current Liabilities Net Minority Interest,,25709574.0,1189997.0,356143.0
Other Non Current Liabilities,,,700000.0,
Derivative Product Liabilities,,17790508.0,0.0,
Non Current Deferred Liabilities,,497484.0,,
Non Current Deferred Taxes Liabilities,,0.0,,
Long Term Debt And Capital Lease Obligation,,7421582.0,489997.0,356143.0
Long Term Capital Lease Obligation,,7421582.0,489997.0,356143.0
Current Liabilities,,70249208.0,26401067.0,14536637.0
Other Current Liabilities,,174487.0,213486.0,318699.0
Current Deferred Liabilities,,2415013.0,1943623.0,1690837.0
Current Deferred Revenue,,2415013.0,1943623.0,1690837.0
Current Debt And Capital Lease Obligation,,58686161.0,3004040.0,6799319.0
Current Capital Lease Obligation,,1313334.0,839330.0,131014.0
Current Debt,,57372827.0,2164710.0,6668305.0
Other Current Borrowings,,57372827.0,2164710.0,6668305.0
Line Of Credit,,,,0.0
Payables And Accrued Expenses,,8973547.0,21239918.0,5727782.0
Current Accrued Expenses,,3691228.0,2429843.0,370555.0
Interest Payable,,383250.0,0.0,
Payables,,5282319.0,18810075.0,5357227.0
Other Payable,,1064457.0,1071620.0,973637.0
Dueto Related Parties Current,,716372.0,14010960.0,654328.0
Total Tax Payable,,118469.0,48672.0,6576.0
Accounts Payable,,3383021.0,3678823.0,3722686.0
Total Assets,,267848316.0,291364369.0,22758968.0
Total Non Current Assets,,64837480.0,10289790.0,2625573.0
Non Current Prepaid Assets,,2039012.0,2151700.0,113719.0
Non Current Deferred Assets,,,0.0,1003929.0
Duefrom Related Parties Non Current,,0.0,4834973.0,0.0
Non Current Accounts Receivable,,,4834973.0,
Investments And Advances,,35084936.0,329197.0,0.0
Investmentin Financial Assets,,29759195.0,0.0,
Available For Sale Securities,,29759195.0,,
Long Term Equity Investment,,5325741.0,329197.0,0.0
Investmentsin Associatesat Cost,407778.0,3041772.0,329197.0,
Investmentsin Subsidiariesat Cost,2216494.0,2283969.0,0.0,
Goodwill And Other Intangible Assets,,4563792.0,3313.0,45430.0
Other Intangible Assets,,4563792.0,3313.0,45430.0
Net PPE,,23149740.0,2970607.0,1462495.0
Accumulated Depreciation,,-3405862.0,-2786150.0,-2851020.0
Gross PPE,,26555602.0,5756757.0,4313515.0
Leases,,2956515.0,899538.0,652520.0
Construction In Progress,,,,0.0
Other Properties,,,1669381.0,423304.0
Machinery Furniture Equipment,,15411938.0,3187838.0,3237691.0
Buildings And Improvements,,8187149.0,1669381.0,0.0
Properties,,0.0,0.0,0.0
Current Assets,,203010836.0,281074579.0,20133395.0
Other Current Assets,,440763.0,269412.0,178187.0
Restricted Cash,,130024.0,595548.0,0.0
Prepaid Assets,,9877337.0,3686708.0,814322.0
Inventory,,31843371.0,8139816.0,4207990.0
Finished Goods,,22241732.0,4973503.0,1562980.0
Work In Process,,290220.0,1110469.0,931249.0
Raw Materials,,9311419.0,2055844.0,1713761.0
Receivables,,6752564.0,7313681.0,10383862.0
Receivables Adjustments Allowances,,,0.0,-613850.0
Other Receivables,,678887.0,348773.0,8529520.0
Duefrom Related Parties Current,,366936.0,1232634.0,1101144.0
Taxes Receivable,,4097162.0,3684714.0,903715.0
Loans Receivable,,1044181.0,0.0,
Accounts Receivable,,565398.0,2047560.0,463333.0
Allowance For Doubtful Accounts Receivable,,-1961034.0,-1475983.0,-1121115.0
Gross Accounts Receivable,,2526432.0,3523543.0,1584448.0
Cash Cash Equivalents And Short Term Investments,,153966777.0,261069414.0,4549034.0
Cash And Cash Equivalents,,153966777.0,261069414.0,4549034.0
