,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,115779836000.0,162827174000.0,125347496000.0,21531924000.0
Repayment Of Debt,-99570845000.0,-26333200000.0,-78207660000.0,-9494938000.0
Issuance Of Debt,71906462000.0,0.0,0.0,12149081000.0
Capital Expenditure,-9834940000.0,-10434395000.0,-32586599000.0,-35195941000.0
End Cash Position,13470493000.0,28785809000.0,1708965000.0,819439000.0
Beginning Cash Position,28785809000.0,1708965000.0,2551793000.0,5979746000.0
Effect Of Exchange Rate Changes,20416299000.0,4059896000.0,487562000.0,813554000.0
Changes In Cash,-35731615000.0,23016948000.0,-1330390000.0,-5973861000.0
Other Cash Adjustment Inside Changein Cash,-18014900000.0,-2118590000.0,-995813000.0,-1040422000.0
Financing Cash Flow,-79753979000.0,-50780490000.0,-116266519000.0,-10829969000.0
Cash Flow From Continuing Financing Activities,-79753979000.0,-50780490000.0,-116266519000.0,-10829969000.0
Net Other Financing Charges,-1711546000.0,-888343000.0,-2112876000.0,-951103000.0
Interest Paid Cff,-23648968000.0,-18946446000.0,-25465098000.0,-10277688000.0
Cash Dividends Paid,-21914775000.0,-11171400000.0,-714491000.0,-188053000.0
Common Stock Dividend Paid,-21914775000.0,-11171400000.0,-714491000.0,-188053000.0
Net Issuance Payments Of Debt,-32478690000.0,-19774301000.0,-87974054000.0,586875000.0
Net Short Term Debt Issuance,-4814307000.0,6558899000.0,-9766394000.0,-2067268000.0
Net Long Term Debt Issuance,-27664383000.0,-26333200000.0,-78207660000.0,2654143000.0
Long Term Debt Payments,-99570845000.0,-26333200000.0,-78207660000.0,-9494938000.0
Long Term Debt Issuance,71906462000.0,0.0,0.0,12149081000.0
Investing Cash Flow,-63577512000.0,-97345541000.0,-42002152000.0,-50831335000.0
Cash Flow From Continuing Investing Activities,-63577512000.0,-97345541000.0,-42002152000.0,-50831335000.0
Dividends Received Cfi,6728299000.0,875311000.0,850261000.0,414528000.0
Net Investment Purchase And Sale,-24453035000.0,-55681163000.0,0.0,-16049922000.0
Purchase Of Investment,-24453035000.0,-55681163000.0,0.0,-16049922000.0
Net Business Purchase And Sale,-36017836000.0,-32252001000.0,-32376289000.0,0.0
Purchase Of Business,-36017836000.0,-32252001000.0,-32376289000.0,0.0
Net PPE Purchase And Sale,-9834940000.0,-10287688000.0,-10476124000.0,-35195941000.0
Sale Of PPE,0.0,146707000.0,22110475000.0,0.0
Purchase Of PPE,-9834940000.0,-10434395000.0,-32586599000.0,-35195941000.0
Operating Cash Flow,125614776000.0,173261569000.0,157934095000.0,56727865000.0
Cash Flow From Continuing Operating Activities,125614776000.0,173261569000.0,157934095000.0,56727865000.0
Taxes Refund Paid,-35297027000.0,-25046766000.0,-30518058000.0,-10990802000.0
Interest Received Cfo,29320380000.0,18030017000.0,21369929000.0,9149087000.0
Change In Working Capital,-8466276000.0,30348472000.0,-25668033000.0,19626181000.0
Change In Other Current Assets,-32310543000.0,10559232000.0,-6002547000.0,1003257000.0
Change In Payables And Accrued Expense,-19130210000.0,-11473497000.0,-41805221000.0,-24026845000.0
Change In Payable,-19130210000.0,-11473497000.0,-41805221000.0,-24026845000.0
Change In Account Payable,-19130210000.0,-11473497000.0,-41805221000.0,-24026845000.0
Change In Receivables,42974477000.0,31262737000.0,22139735000.0,42649769000.0
Other Non Cash Items,131279613000.0,48990926000.0,68934013000.0,4926658000.0
Stock Based Compensation,,0.0,0.0,4919000.0
Asset Impairment Charge,-43278369000.0,45265437000.0,47353522000.0,11935140000.0
Deferred Tax,2555941000.0,-818538000.0,2351816000.0,1185850000.0
Deferred Income Tax,2555941000.0,-818538000.0,2351816000.0,1185850000.0
Depreciation Amortization Depletion,70217877000.0,60572772000.0,64975416000.0,17509049000.0
Depreciation And Amortization,70217877000.0,60572772000.0,64975416000.0,17509049000.0
Amortization Cash Flow,6145364000.0,12334158000.0,18645411000.0,6863399000.0
Amortization Of Intangibles,6145364000.0,12334158000.0,18645411000.0,6863399000.0
Depreciation,64072513000.0,48238614000.0,46330005000.0,10645650000.0
Operating Gains Losses,-184616360000.0,-84418253000.0,-37090521000.0,-32124302000.0
Pension And Employee Benefit Expense,3692018000.0,1070834000.0,1857254000.0,397688000.0
Earnings Losses From Equity Investments,-6115780000.0,-347325000.0,3424273000.0,-319751000.0
Net Foreign Currency Exchange Gain Loss,-190654483000.0,-85079807000.0,-41734061000.0,-32202239000.0
Gain Loss On Sale Of PPE,8461885000.0,-61955000.0,-637987000.0,0.0
Net Income From Continuing Operations,163898997000.0,80337502000.0,46226011000.0,35506085000.0
