,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,12800000.0,12800000.0,12800000.0,12800000.0
Share Issued,12800000.0,12800000.0,12800000.0,12800000.0
Net Debt,182434.0,148927.0,110955.0,
Total Debt,182434.0,148927.0,110955.0,
Tangible Book Value,-295041.0,-42175.0,7174.0,25000.0
Invested Capital,-112607.0,106752.0,118129.0,25000.0
Net Tangible Assets,-295041.0,-42175.0,7174.0,25000.0
Common Stock Equity,-295041.0,-42175.0,7174.0,25000.0
Total Capitalization,-295041.0,-42175.0,7174.0,25000.0
Total Equity Gross Minority Interest,-295041.0,-42175.0,7174.0,25000.0
Stockholders Equity,-295041.0,-42175.0,7174.0,25000.0
Retained Earnings,-320041.0,-67175.0,-17826.0,0.0
Additional Paid In Capital,24712.0,24712.0,24353.0,23562.0
Capital Stock,288.0,288.0,647.0,1438.0
Common Stock,288.0,288.0,647.0,1438.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,295041.0,232975.0,226331.0,0.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0
Current Liabilities,295041.0,232975.0,226331.0,0.0
Current Debt And Capital Lease Obligation,182434.0,148927.0,110955.0,
Current Debt,182434.0,148927.0,110955.0,
Other Current Borrowings,182434.0,148927.0,110955.0,
Current Notes Payable,182434.0,148927.0,110955.0,0.0
Payables And Accrued Expenses,112607.0,84048.0,115376.0,0.0
Current Accrued Expenses,112607.0,84048.0,115376.0,0.0
Total Assets,0.0,190800.0,233505.0,25000.0
Total Non Current Assets,0.0,190800.0,233505.0,25000.0
Non Current Deferred Assets,0.0,190800.0,233505.0,25000.0
