,2022-12-31,2021-12-31
Free Cash Flow,-12403543.0,-10706946.0
Capital Expenditure,-694232.0,-612566.0
End Cash Position,6819564.0,19217482.0
Beginning Cash Position,19217482.0,29864173.0
Changes In Cash,-12397918.0,-10646691.0
Financing Cash Flow,5625.0,60255.0
Cash Flow From Continuing Financing Activities,5625.0,60255.0
Proceeds From Stock Option Exercised,5625.0,60255.0
Investing Cash Flow,-694232.0,-612566.0
Cash Flow From Continuing Investing Activities,-694232.0,-612566.0
Net PPE Purchase And Sale,-694232.0,-612566.0
Purchase Of PPE,-694232.0,-612566.0
Operating Cash Flow,-11709311.0,-10094380.0
Cash Flow From Continuing Operating Activities,-11709311.0,-10094380.0
Change In Working Capital,-1297082.0,492340.0
Change In Other Current Liabilities,-585250.0,-294650.0
Change In Payables And Accrued Expense,-761419.0,689264.0
Change In Accrued Expense,-692685.0,477090.0
Change In Payable,-68734.0,212174.0
Change In Account Payable,-68734.0,212174.0
Change In Prepaid Assets,49587.0,97726.0
Stock Based Compensation,381070.0,287735.0
Depreciation Amortization Depletion,1072809.0,735473.0
Depreciation And Amortization,1072809.0,735473.0
Depreciation,1072809.0,735473.0
Operating Gains Losses,-36992.0,-980308.0
Gain Loss On Investment Securities,-36992.0,-980308.0
Net Income From Continuing Operations,-11829116.0,-10629620.0
