,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-167604.15,245581.019465,0.0,0.0
Tax Rate For Calcs,0.21,0.110353,0.0,0.0
Normalized EBITDA,-2540975.0,-904272.0,-1540468.0,-943415.0
Total Unusual Items,-798115.0,2225421.0,2620621.0,-1130207.0
Total Unusual Items Excluding Goodwill,-798115.0,2225421.0,2620621.0,-1130207.0
Net Income From Continuing Operation Net Minority Interest,-5659723.0,147395.0,297551.0,-3435764.0
Reconciled Depreciation,32850.0,30076.0,32292.0,32912.0
Reconciled Cost Of Revenue,14017051.0,1489016.0,690032.0,654937.0
EBITDA,-3339090.0,1321149.0,1080153.0,-2073622.0
EBIT,-3371940.0,1291073.0,1047861.0,-2106534.0
Net Interest Income,-2137649.0,-1125395.0,-769369.0,-1329230.0
Interest Expense,2137649.0,1125395.0,769369.0,1329230.0
Normalized Income,-5029212.15,-1832444.980535,-2323070.0,-2305557.0
Net Income From Continuing And Discontinued Operation,-5659723.0,147395.0,297551.0,-3435764.0
Total Expenses,17768871.0,3652963.0,2873200.0,2382332.0
Rent Expense Supplemental,401293.0,349610.0,346454.0,363643.0
Total Operating Income As Reported,-2655408.0,-989751.0,-1572760.0,-1235616.0
Diluted Average Shares,38447916.0,692043.0,562983.0,19196529.0
Basic Average Shares,38447916.0,692043.0,562983.0,19196529.0
Diluted EPS,-0.14,0.212985,0.528526,-0.178978
Basic EPS,-0.14,0.212985,0.528526,-0.178978
Diluted NI Availto Com Stockholders,-5659723.0,147395.0,297551.0,-3435764.0
Net Income Common Stockholders,-5659723.0,147395.0,297551.0,-3435764.0
Net Income,-5659723.0,147395.0,297551.0,-3435764.0
Minority Interests,-127961.0,0.0,19059.0,0.0
Net Income Including Noncontrolling Interests,-5531762.0,147395.0,278492.0,-3435764.0
Net Income Continuous Operations,-5531762.0,147395.0,278492.0,-3435764.0
Tax Provision,22173.0,18283.0,0.0,0.0
Pretax Income,-5509589.0,165678.0,278492.0,-3435764.0
Other Income Expense,-716532.0,2280824.0,2620621.0,-1130207.0
Other Non Operating Income Expenses,81583.0,55403.0,,
Special Income Charges,-1124654.0,2556916.0,868502.0,139892.0
Other Special Charges,1124654.0,-2556916.0,-868502.0,-399181.0
Write Off,0.0,0.0,0.0,259289.0
Gain On Sale Of Security,326539.0,-331495.0,1752119.0,-1270099.0
Net Non Operating Interest Income Expense,-2137649.0,-1125395.0,-769369.0,-1329230.0
Interest Expense Non Operating,2137649.0,1125395.0,769369.0,1329230.0
Operating Income,-2655408.0,-989751.0,-1572761.0,-976327.0
Operating Expense,3745662.0,2163947.0,2183168.0,1727395.0
Other Operating Expenses,405334.0,166025.0,145170.0,86292.0
Depreciation Amortization Depletion Income Statement,26692.0,30076.0,32292.0,32912.0
Depreciation And Amortization In Income Statement,26692.0,30076.0,32292.0,32912.0
Selling General And Administration,3313636.0,1967846.0,2005706.0,1608191.0
General And Administrative Expense,3313636.0,1967846.0,2005706.0,1608191.0
Other Gand A,1241272.0,835579.0,886789.0,749279.0
Rent And Landing Fees,401293.0,349610.0,346454.0,363643.0
Salaries And Wages,1671071.0,782657.0,772463.0,495269.0
Gross Profit,1090254.0,1174196.0,610407.0,751068.0
Cost Of Revenue,14023209.0,1489016.0,690032.0,654937.0
Total Revenue,15113463.0,2663212.0,1300439.0,1406005.0
Operating Revenue,15113463.0,2663212.0,1300439.0,1406005.0
