,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,36860920.0,41254633.0,57448759.0,32703418.0
Repurchase Of Capital Stock,-5832480.0,-2730136.0,,-5367035.0
Capital Expenditure,-1201250.0,,,
End Cash Position,895639.0,641277.0,612861.0,970842.0
Beginning Cash Position,641277.0,612861.0,970842.0,660845.0
Changes In Cash,254362.0,28416.0,-357981.0,309997.0
Financing Cash Flow,-36606558.0,-41226217.0,-57806740.0,-32393421.0
Net Other Financing Charges,0.0,0.0,0.0,0.0
Cash Dividends Paid,-30774078.0,-38496081.0,-57806740.0,-27026386.0
Common Stock Dividend Paid,-30774078.0,-38496081.0,-57806740.0,-27026386.0
Net Common Stock Issuance,-5832480.0,-2730136.0,,-5367035.0
Common Stock Payments,-5832480.0,-2730136.0,,-5367035.0
Investing Cash Flow,-1201250.0,,,
Net PPE Purchase And Sale,-1201250.0,,,
Purchase Of PPE,-1201250.0,,,
Operating Cash Flow,38062170.0,41254633.0,57448759.0,32703418.0
Change In Working Capital,-52113.0,-355928.0,-430467.0,-607611.0
Change In Other Current Liabilities,0.0,0.0,-386965.0,-375543.0
Change In Other Current Assets,4862.0,-107578.0,-13822.0,1264.0
Change In Accrued Expense,-11236.0,-31928.0,22119.0,-10909.0
Change In Payable,0.0,0.0,0.0,0.0
Change In Receivables,-45739.0,-216422.0,-51799.0,-222423.0
Other Non Cash Items,452361.0,315319.0,871095.0,794705.0
Depreciation And Amortization,71367.0,7392.0,7231.0,7317.0
Depreciation,71367.0,7392.0,7231.0,7317.0
Gain Loss On Investment Securities,-187107918.0,199005134.0,-296575797.0,-41206695.0
Net Income From Continuing Operations,223635718.0,-158670718.0,353576697.0,73715702.0
