,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,162960.0,-1270080.0,196290.0,117990.0
Tax Rate For Calcs,0.21,0.21,0.27,0.27
Normalized EBITDA,-9360000.0,18203000.0,15898000.0,8349000.0
Total Unusual Items,776000.0,-6048000.0,727000.0,437000.0
Total Unusual Items Excluding Goodwill,776000.0,-6048000.0,727000.0,437000.0
Net Income From Continuing Operation Net Minority Interest,-18437000.0,-13878000.0,2397000.0,-2379000.0
Reconciled Depreciation,4883000.0,7561000.0,6985000.0,5821000.0
Reconciled Cost Of Revenue,7359000.0,9595000.0,5695000.0,7235000.0
EBITDA,-8584000.0,12155000.0,16625000.0,8786000.0
EBIT,-13467000.0,4594000.0,9640000.0,2965000.0
Net Interest Income,4486000.0,2793000.0,1453000.0,2847000.0
Interest Expense,,397000.0,420000.0,444000.0
Interest Income,4486000.0,3190000.0,1873000.0,3291000.0
Normalized Income,-19050040.0,-9100080.0,1866290.0,-2698010.0
Net Income From Continuing And Discontinued Operation,-11878000.0,-23183000.0,396000.0,-2379000.0
Total Expenses,110886000.0,113131000.0,106792000.0,101089000.0
Total Operating Income As Reported,-13467000.0,3896000.0,7040000.0,-763000.0
Diluted Average Shares,23484000.0,23172000.0,23251000.0,22107000.0
Basic Average Shares,23484000.0,23172000.0,22819000.0,22107000.0
Diluted EPS,-0.51,-1.0,0.02,-0.11
Basic EPS,-0.51,-1.0,0.02,-0.11
Diluted NI Availto Com Stockholders,-11878000.0,-23183000.0,396000.0,-2379000.0
Net Income Common Stockholders,-11878000.0,-23183000.0,396000.0,-2379000.0
Net Income,-11878000.0,-23183000.0,396000.0,-2379000.0
Net Income Including Noncontrolling Interests,-11878000.0,-23183000.0,396000.0,-2379000.0
Net Income Discontinuous Operations,6559000.0,-9305000.0,-2001000.0,
Net Income Continuous Operations,-18437000.0,-13878000.0,2397000.0,-2379000.0
Tax Provision,10232000.0,18075000.0,6823000.0,4900000.0
Pretax Income,-8205000.0,4197000.0,9220000.0,2521000.0
Other Income Expense,776000.0,-6048000.0,727000.0,437000.0
Special Income Charges,0.0,-3556000.0,0.0,0.0
Write Off,,3556000.0,0.0,0.0
Impairment Of Capital Assets,0.0,3556000.0,0.0,
Securities Amortization,,,420000.0,444000.0
Gain On Sale Of Security,776000.0,-2492000.0,727000.0,437000.0
Net Non Operating Interest Income Expense,4486000.0,2793000.0,1453000.0,2847000.0
Interest Expense Non Operating,,397000.0,420000.0,444000.0
Interest Income Non Operating,4486000.0,3190000.0,1873000.0,3291000.0
Operating Income,-13467000.0,7452000.0,7040000.0,-763000.0
Operating Expense,99238000.0,98000000.0,96414000.0,90340000.0
Depreciation Amortization Depletion Income Statement,594000.0,2025000.0,2302000.0,2307000.0
Depreciation And Amortization In Income Statement,594000.0,2025000.0,2302000.0,2307000.0
Amortization,594000.0,2025000.0,2302000.0,2307000.0
Amortization Of Intangibles Income Statement,594000.0,2025000.0,2302000.0,2307000.0
Research And Development,72689000.0,70317000.0,69089000.0,62010000.0
Selling General And Administration,25955000.0,25658000.0,25023000.0,26023000.0
Selling And Marketing Expense,11042000.0,11475000.0,12233000.0,11907000.0
General And Administrative Expense,14913000.0,14183000.0,12790000.0,14116000.0
Other Gand A,14913000.0,14183000.0,12790000.0,14116000.0
Gross Profit,85771000.0,105452000.0,103454000.0,89577000.0
Cost Of Revenue,11648000.0,15131000.0,10378000.0,10749000.0
Total Revenue,97419000.0,120583000.0,113832000.0,100326000.0
Operating Revenue,97419000.0,120583000.0,113832000.0,100326000.0
