,2024-11-30,2023-11-30,2022-11-30,2021-11-30,2020-11-30
Free Cash Flow,9428817.0,13121979.0,21706825.0,578111.0,
Repurchase Of Capital Stock,,,-1069604.0,,
Repayment Of Debt,-8280000.0,-22340000.0,-23000000.0,,-1590000.0
Issuance Of Debt,2400000.0,10800000.0,7600000.0,,1600000.0
End Cash Position,112656.0,394324.0,1841706.0,391504.0,
Beginning Cash Position,394324.0,1841706.0,391504.0,3845290.0,
Changes In Cash,-281668.0,-1447382.0,1450202.0,-3453786.0,
Financing Cash Flow,-9710485.0,-14569361.0,-20256623.0,-4031897.0,
Net Other Financing Charges,0.0,0.0,0.0,0.0,
Cash Dividends Paid,-3830485.0,-3029361.0,-3787019.0,-4031897.0,
Common Stock Dividend Paid,-3830485.0,-3029361.0,-3787019.0,-4031897.0,
Net Common Stock Issuance,,,-1069604.0,,
Common Stock Payments,,,-1069604.0,,
Net Issuance Payments Of Debt,-5880000.0,-11540000.0,-15400000.0,,10000.0
Net Long Term Debt Issuance,-5880000.0,-11540000.0,-15400000.0,,10000.0
Long Term Debt Payments,-8280000.0,-22340000.0,-23000000.0,,-1590000.0
Long Term Debt Issuance,2400000.0,10800000.0,7600000.0,,1600000.0
Operating Cash Flow,9428817.0,13121979.0,21706825.0,578111.0,
Change In Working Capital,-9188.0,160124.0,429962.0,-16694.0,
Change In Other Current Liabilities,-7587.0,-24100.0,0.0,0.0,
Change In Accrued Expense,12107.0,1240.0,20239.0,5733.0,
Change In Payable,48107.0,-19596.0,149933.0,-34987.0,
Change In Receivables,-61815.0,202580.0,259790.0,12560.0,
Other Non Cash Items,-497692.0,-183978.0,511907.0,408962.0,
Gain Loss On Investment Securities,4459764.0,10648429.0,38421544.0,-3519606.0,
Net Income From Continuing Operations,5475933.0,2497404.0,-17656588.0,3705449.0,
